customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST00038,34,Female,South,Primary,Salaried,2439786.05,1981027.48,Home,611.7,13,471,113.58,2021-04-27,0
CUST00039,27,Male,South,Secondary,Salaried,2305163.88,473902.69,Education,513.8,11,237,70.25,2022-02-26,1
CUST00040,26,Female,East,Post-Graduate,Unemployed,380270.61,1415705.19,Car,306.9,19,32,76.67,2019-11-24,1
CUST00041,63,Female,North,Secondary,Self-Employed,1400791.44,1709089.87,Home,759.0,0,78,111.39,2021-10-03,1
CUST00042,45,Other,East,Secondary,Self-Employed,617823.44,1006874.36,Education,811.0,24,351,56.44,2021-06-28,0
CUST00043,67,Other,North,Secondary,Unemployed,230005.57,1184331.14,Car,461.9,16,392,114.5,2025-10-12,1
CUST00044,21,Male,West,Secondary,Self-Employed,2451484.72,242856.03,Business,834.0,16,189,16.53,2019-11-06,0
CUST00045,62,Female,South,Primary,Unemployed,2111944.46,1940628.34,Car,598.9,22,407,79.96,2025-11-15,0
CUST00046,47,Other,South,Secondary,Self-Employed,417020.71,1045391.44,Other,602.2,23,96,63.6,2023-08-20,0
CUST00047,67,Other,East,Graduate,Salaried,1593251.06,1341640.25,Business,684.7,24,451,65.95,2020-03-03,0
CUST00048,51,Other,South,Primary,Self-Employed,2941721.39,1025340.86,Other,764.7,21,419,30.87,2025-04-07,0
CUST00049,55,Male,East,Post-Graduate,Self-Employed,299725.05,1348527.92,Business,318.6,13,16,35.22,2022-04-04,1
CUST00050,58,Other,East,Post-Graduate,Salaried,2727406.71,1887380.47,Home,410.5,22,257,109.01,2018-01-12,1
CUST00051,40,Female,North,Primary,Unemployed,2631442.96,1942458.86,Home,813.5,12,229,40.04,2019-12-10,0
CUST00052,30,Other,South,Primary,Unemployed,1628912.83,655178.44,Business,776.9,21,250,113.06,2019-01-20,0
CUST00053,64,Other,North,Secondary,Salaried,2313674.93,1109971.14,Home,527.6,11,491,91.14,2020-10-12,1
CUST00054,41,Other,East,Post-Graduate,Salaried,540374.38,618139.02,Business,701.9,13,277,35.57,2020-01-16,0
CUST00055,37,Female,North,Secondary,Unemployed,474906.46,841723.97,Home,310.7,7,19,104.1,2023-08-20,1
CUST00056,42,Other,East,Primary,Salaried,226896.79,826343.12,Business,819.1,9,195,115.12,2026-01-01,0
CUST00057,24,Female,East,Graduate,Salaried,868575.74,20315.21,Car,334.0,3,409,23.97,2022-12-22,1
CUST00058,34,Female,South,Post-Graduate,Unemployed,890576.4,1360335.49,Other,772.8,21,59,60.22,2021-12-21,0
CUST00059,20,Other,South,Graduate,Salaried,2277567.68,1046918.48,Car,766.3,20,306,21.37,2022-03-15,0
CUST00060,27,Male,West,Post-Graduate,Salaried,271499.17,139908.4,Home,386.1,9,89,40.91,2018-10-01,1
CUST00061,51,Male,South,Secondary,Salaried,1309862.18,1637392.59,Home,539.3,5,236,32.34,2021-09-18,1
CUST00062,48,Female,South,Post-Graduate,Self-Employed,2789092.61,1338235.66,Home,753.7,16,327,71.64,2024-04-15,0
CUST00063,42,Male,East,Post-Graduate,Salaried,2852808.77,607328.18,Business,526.8,7,110,8.31,2022-10-03,1
CUST00064,59,Other,North,Primary,Self-Employed,2805533.62,1091449.91,Home,737.2,5,73,68.49,2023-03-28,1
CUST00065,25,Male,East,Primary,Unemployed,2779389.3,514846.61,Business,528.2,4,282,7.78,2025-10-21,1
CUST00066,60,Female,North,Secondary,Salaried,1956196.15,1665664.72,Home,402.5,20,254,23.62,2023-12-13,1
CUST00067,32,Male,South,Primary,Self-Employed,1996005.3,1293414.77,Education,394.7,0,468,24.48,2020-06-11,1
CUST00068,22,Other,East,Graduate,Unemployed,1267224.14,1206150.16,Business,550.3,23,9,87.4,2023-03-06,0
CUST00069,40,Female,North,Post-Graduate,Self-Employed,935228.91,1001018.69,Other,345.8,6,149,48.22,2022-09-25,1
CUST00070,40,Female,North,Post-Graduate,Salaried,1467057.6,1947447.58,Other,404.7,9,338,83.04,2019-09-15,1
CUST00071,54,Other,West,Graduate,Self-Employed,2976500.21,423479.18,Education,707.2,17,478,72.99,2025-06-24,0
CUST00072,43,Male,West,Primary,Salaried,2050058.0,196878.79,Car,438.8,6,368,95.49,2025-04-23,1
CUST00073,67,Male,West,Primary,Salaried,1932388.83,760737.26,Education,783.7,5,146,119.65,2019-01-16,1
CUST00074,56,Other,East,Graduate,Unemployed,2430348.99,1077023.44,Education,564.6,2,260,12.33,2018-09-06,1
CUST00075,19,Female,East,Post-Graduate,Self-Employed,1592512.66,376818.72,Car,820.5,15,286,113.28,2018-09-16,0
CUST00076,48,Female,South,Post-Graduate,Salaried,729144.0,211653.69,Other,840.6,15,45,20.44,2019-10-26,0
CUST00077,44,Other,West,Primary,Salaried,2228835.6,898294.9,Business,697.4,22,417,76.26,2021-03-19,0
CUST00078,39,Other,North,Secondary,Salaried,1203612.78,256229.02,Education,640.7,20,11,34.99,2019-03-18,0
CUST00079,67,Male,East,Secondary,Self-Employed,189400.93,30463.26,Other,805.5,22,401,23.37,2019-03-07,0
CUST00080,19,Male,West,Secondary,Unemployed,226441.78,1036839.03,Education,768.9,24,285,44.09,2020-07-11,0
CUST00081,47,Male,East,Primary,Salaried,1134668.78,236831.01,Education,803.0,9,412,54.67,2024-08-04,0
CUST00082,25,Male,North,Secondary,Unemployed,2445266.96,334624.62,Other,692.3,16,375,61.97,2023-05-17,0
CUST00083,33,Male,East,Primary,Unemployed,2602939.29,1475879.25,Business,522.9,19,147,7.02,2020-03-12,1
CUST00084,31,Female,South,Post-Graduate,Self-Employed,2584934.1,925909.23,Business,619.0,14,394,76.32,2021-11-04,0
CUST00085,68,Female,West,Primary,Self-Employed,1672507.75,1941577.33,Car,790.5,8,189,105.57,2018-10-10,0
CUST00086,64,Male,West,Secondary,Self-Employed,1574120.09,1140515.37,Home,457.4,10,36,13.69,2021-01-04,1
CUST00087,52,Female,East,Post-Graduate,Self-Employed,1364222.13,987960.87,Other,777.1,13,321,41.88,2020-09-17,0
CUST00088,36,Male,North,Graduate,Unemployed,1360375.59,1001962.96,Business,515.6,22,48,90.79,2019-09-14,1
CUST00089,68,Male,North,Secondary,Self-Employed,823602.14,1473933.42,Education,679.7,18,241,14.66,2020-08-16,0
CUST00090,47,Other,East,Secondary,Self-Employed,239845.61,458248.74,Car,462.4,4,265,105.83,2018-05-07,1
CUST00091,58,Male,South,Primary,Self-Employed,1889064.12,28417.55,Other,377.9,11,1,118.34,2020-03-02,1
CUST00092,20,Other,East,Graduate,Salaried,1283508.06,136785.54,Education,329.1,18,124,13.41,2018-05-08,1
CUST00093,68,Female,East,Secondary,Unemployed,2794895.42,1577743.19,Business,586.3,0,281,85.82,2020-04-18,1
CUST00094,25,Other,East,Primary,Salaried,2286571.34,1998357.3,Car,774.8,16,152,76.09,2022-07-07,0
CUST00095,50,Female,West,Post-Graduate,Self-Employed,2113052.76,748871.82,Other,526.8,8,324,26.9,2025-10-07,1
CUST00096,61,Other,North,Primary,Unemployed,1914916.66,1812341.74,Car,374.7,7,67,92.96,2020-04-29,1
CUST00097,61,Male,East,Primary,Salaried,2032499.86,1030620.92,Car,556.2,23,112,11.6,2021-11-18,0
CUST00098,29,Other,East,Secondary,Unemployed,1320428.22,1351454.55,Education,620.7,20,173,85.07,2021-09-13,0
CUST00099,61,Female,North,Primary,Unemployed,517661.41,823399.87,Home,331.4,22,41,95.79,2024-05-09,1
CUST00100,39,Female,East,Primary,Salaried,2538206.38,1156591.76,Home,725.4,2,56,114.64,2020-03-19,1
CUST00101,38,Female,North,Graduate,Salaried,2450809.58,1954036.64,Education,738.0,8,131,94.75,2023-03-16,0
CUST00102,68,Other,North,Post-Graduate,Unemployed,566456.14,1997972.52,Home,317.4,21,347,88.17,2018-03-01,1
CUST00103,60,Other,West,Primary,Unemployed,309525.41,506695.88,Education,352.2,22,418,113.4,2021-11-28,1
CUST00104,39,Other,East,Graduate,Salaried,1052269.72,990294.58,Car,459.5,0,441,57.31,2020-08-25,1
CUST00105,38,Male,North,Primary,Unemployed,411827.06,792748.2,Car,594.1,12,245,62.73,2020-06-27,0
CUST00106,68,Male,East,Graduate,Salaried,1029733.83,825485.65,Other,693.9,17,411,68.62,2019-01-11,0
CUST00107,60,Female,South,Primary,Unemployed,2874524.76,966758.72,Other,353.3,18,29,113.66,2024-10-21,1
CUST00108,61,Female,North,Graduate,Self-Employed,1676807.14,1126637.68,Other,650.4,24,402,85.27,2021-12-03,0
CUST00109,25,Male,South,Post-Graduate,Self-Employed,362319.67,131372.9,Home,766.4,23,329,43.54,2021-11-16,0
CUST00110,57,Male,West,Primary,Self-Employed,588621.4,561133.74,Business,502.9,2,128,22.33,2020-08-25,1
CUST00111,41,Male,East,Graduate,Self-Employed,2551681.22,1590450.75,Education,705.4,23,421,117.64,2021-11-20,0
CUST00112,23,Female,South,Post-Graduate,Salaried,2077662.36,1703028.66,Home,832.9,23,19,102.46,2024-09-13,0
CUST00113,30,Male,North,Primary,Salaried,2539114.63,415976.79,Car,518.1,0,323,113.97,2025-05-08,1
CUST00114,44,Male,West,Post-Graduate,Salaried,2476000.71,988907.21,Business,454.7,7,276,71.23,2023-11-23,1
CUST00115,25,Male,East,Primary,Unemployed,1705144.62,1799281.3,Home,556.0,23,264,74.81,2022-01-02,0
CUST00116,60,Male,North,Secondary,Unemployed,2442124.26,773185.39,Home,711.0,0,214,56.81,2025-06-07,1
CUST00117,21,Other,South,Primary,Self-Employed,522398.91,1860722.39,Home,654.2,1,304,116.32,2018-04-20,1
CUST00118,19,Other,East,Primary,Self-Employed,948386.87,20846.74,Other,731.2,3,176,25.52,2021-11-16,1
CUST00119,23,Other,West,Secondary,Salaried,2750366.53,135422.35,Car,480.4,23,130,115.0,2023-07-20,1
CUST00120,33,Female,West,Secondary,Unemployed,560964.49,664489.47,Education,578.4,8,131,34.77,2025-02-05,0
CUST00121,45,Male,East,Secondary,Unemployed,708595.71,302842.71,Education,815.7,15,327,61.83,2024-02-29,0
CUST00122,64,Other,North,Post-Graduate,Unemployed,905878.91,1287057.54,Car,486.8,21,175,31.68,2020-04-07,1
CUST00123,24,Female,East,Secondary,Self-Employed,2754470.08,382419.33,Other,484.5,24,445,119.84,2026-01-23,1
CUST00124,58,Female,North,Post-Graduate,Salaried,2135257.43,696696.59,Other,309.4,19,486,119.56,2019-09-04,1
CUST00125,38,Male,West,Post-Graduate,Unemployed,297493.7,1624402.3,Other,483.5,18,156,41.7,2023-10-28,1
CUST00126,35,Male,South,Secondary,Unemployed,1243630.37,1533370.7,Business,482.4,1,6,80.64,2022-07-06,1
CUST00127,36,Other,North,Post-Graduate,Unemployed,879196.57,1510336.15,Car,795.0,5,188,72.56,2024-11-17,1
CUST00128,19,Male,South,Post-Graduate,Salaried,2942654.11,1164638.05,Other,621.1,6,210,113.93,2021-07-20,0
CUST00129,35,Female,West,Post-Graduate,Self-Employed,1538495.14,1778015.27,Business,547.5,10,397,37.17,2020-07-09,1
CUST00130,56,Other,North,Primary,Self-Employed,1817384.19,962942.34,Other,726.4,8,386,13.2,2019-01-31,0
CUST00131,30,Other,East,Graduate,Unemployed,784947.78,842351.34,Education,341.7,1,31,62.9,2020-10-16,1
CUST00132,49,Male,East,Post-Graduate,Self-Employed,2533908.73,453311.17,Home,356.2,16,107,19.93,2022-03-09,1
CUST00133,44,Female,West,Secondary,Unemployed,1219881.75,1794024.14,Home,309.7,5,453,58.81,2024-06-16,1
CUST00134,63,Other,West,Secondary,Salaried,2989054.67,134893.6,Business,317.2,6,392,53.72,2025-09-03,1
CUST00135,20,Other,East,Secondary,Self-Employed,758731.41,1822785.45,Other,319.2,5,138,61.26,2018-11-04,1
CUST00136,56,Other,East,Primary,Unemployed,2942492.03,1157229.2,Other,636.8,9,389,25.77,2019-08-14,0
CUST00137,68,Other,North,Post-Graduate,Unemployed,2386246.01,864070.05,Education,398.1,17,280,5.25,2020-06-03,1
CUST00138,54,Other,South,Secondary,Unemployed,1272546.79,91237.33,Education,357.3,19,184,89.74,2023-06-01,1
CUST00139,29,Female,South,Secondary,Self-Employed,2980138.38,1333887.95,Education,404.0,23,360,21.09,2022-01-18,1
CUST00140,60,Female,West,Graduate,Self-Employed,1205638.91,1192891.91,Other,507.4,21,200,34.53,2022-11-19,1
CUST00141,50,Other,North,Primary,Unemployed,2378860.77,1328811.2,Business,691.6,2,119,30.8,2020-10-16,1
CUST00142,57,Female,South,Graduate,Self-Employed,204990.06,1106565.02,Home,826.6,9,134,45.34,2020-06-01,0
CUST00143,47,Female,West,Secondary,Self-Employed,2303394.01,1085929.18,Education,566.9,18,257,91.17,2021-06-30,0
CUST00144,49,Male,North,Graduate,Unemployed,1099353.15,70661.55,Home,342.1,2,421,85.21,2022-01-29,1
CUST00145,25,Other,West,Secondary,Self-Employed,2449168.36,1311249.83,Business,443.6,23,364,106.12,2023-02-01,1
CUST00146,64,Male,South,Secondary,Salaried,2105216.08,1843056.77,Other,751.0,21,68,35.34,2021-11-08,0
CUST00147,65,Male,East,Secondary,Self-Employed,749124.88,1840225.42,Car,340.8,24,20,53.11,2021-03-25,1
CUST00148,29,Female,West,Secondary,Salaried,2523770.82,1826622.57,Education,668.2,7,10,94.21,2026-03-05,0
CUST00149,46,Other,West,Primary,Salaried,1326779.56,778995.0,Home,344.7,20,422,107.93,2023-04-05,1
CUST00150,20,Male,North,Secondary,Self-Employed,2423609.67,1368598.49,Car,750.9,11,271,114.94,2021-02-09,0
CUST00151,22,Male,East,Secondary,Self-Employed,2843964.16,1193787.2,Education,448.1,9,166,20.09,2022-09-19,1
CUST00152,63,Other,South,Post-Graduate,Salaried,2755199.01,430923.42,Other,362.8,6,292,117.84,2024-03-02,1
CUST00153,52,Female,South,Secondary,Self-Employed,2579051.85,1873087.52,Business,804.9,19,177,20.52,2018-03-25,0
CUST00154,19,Other,North,Primary,Unemployed,1922525.81,1764113.62,Business,502.3,2,34,48.19,2019-12-16,1
CUST00155,58,Female,South,Graduate,Self-Employed,1025941.11,544210.51,Other,461.5,21,462,63.64,2025-01-21,1
CUST00156,50,Female,West,Primary,Self-Employed,237569.74,1658762.52,Other,454.7,20,80,100.43,2021-04-02,1
CUST00157,67,Male,North,Secondary,Salaried,556486.6,1288622.29,Home,735.6,12,197,6.45,2021-01-11,0
CUST00158,42,Female,West,Graduate,Salaried,1284141.03,130946.77,Business,422.1,3,430,23.03,2018-03-18,1
CUST00159,57,Other,North,Graduate,Self-Employed,2513234.38,1495247.09,Home,386.4,6,312,37.77,2020-12-12,1
CUST00160,55,Male,North,Graduate,Self-Employed,1490199.13,138107.23,Other,502.9,0,269,14.22,2023-12-12,1
CUST00161,61,Male,South,Graduate,Salaried,297437.75,1101366.97,Business,677.7,0,410,45.91,2024-02-13,1
CUST00162,46,Male,North,Secondary,Self-Employed,1926803.0,273967.86,Car,844.5,11,259,113.42,2025-11-21,0
CUST00163,18,Male,North,Primary,Unemployed,2763472.14,61744.85,Other,687.9,0,203,100.15,2019-01-01,1
CUST00164,46,Other,North,Graduate,Self-Employed,1920527.92,1652118.01,Car,556.0,1,468,114.42,2025-10-09,1
CUST00165,67,Other,East,Secondary,Unemployed,2109602.23,1731578.88,Business,752.6,13,78,80.54,2024-11-03,0
CUST00166,28,Female,East,Graduate,Salaried,2439143.95,1401362.49,Business,406.6,16,451,7.53,2020-12-12,1
CUST00167,24,Female,West,Graduate,Self-Employed,1133807.96,1902549.0,Business,644.8,9,174,43.31,2025-09-16,0
CUST00168,20,Female,North,Post-Graduate,Self-Employed,1364686.22,1352515.43,Car,532.9,17,486,69.45,2021-11-10,1
CUST00169,45,Male,South,Secondary,Salaried,463246.47,1266055.45,Education,382.4,8,159,12.69,2023-01-23,1
CUST00170,33,Female,South,Graduate,Self-Employed,2323654.05,1600702.3,Business,667.3,6,325,13.68,2022-05-01,0
CUST00171,51,Other,South,Graduate,Self-Employed,2753800.41,81315.29,Education,704.0,16,284,33.75,2022-10-23,0
CUST00172,29,Female,East,Secondary,Salaried,2139770.49,279163.65,Other,648.3,5,500,75.3,2022-11-18,1
CUST00173,50,Other,South,Secondary,Unemployed,1921799.12,1190244.48,Home,540.6,6,106,25.88,2025-05-04,1
CUST00174,63,Other,South,Primary,Salaried,1891369.01,978197.58,Education,648.0,12,211,18.32,2023-12-29,0
CUST00175,62,Male,West,Graduate,Salaried,630825.69,1071598.92,Other,755.9,18,329,9.55,2018-02-26,0
CUST00176,19,Female,East,Primary,Unemployed,650814.36,1369947.5,Car,540.3,16,249,49.0,2026-03-17,1
CUST00177,42,Male,West,Primary,Unemployed,1514531.53,390887.9,Home,627.9,2,141,19.82,2019-03-01,1
CUST00178,62,Other,East,Primary,Unemployed,1141072.13,1891538.92,Home,638.9,24,367,101.66,2018-05-11,0
CUST00179,47,Other,East,Post-Graduate,Self-Employed,2111332.24,1920429.17,Car,504.1,11,401,94.99,2026-03-05,1
CUST00180,66,Male,West,Secondary,Self-Employed,2933442.8,1907232.26,Business,526.1,16,146,47.05,2025-10-24,1
CUST00181,63,Other,South,Post-Graduate,Unemployed,701969.72,1543427.15,Home,400.5,18,196,56.22,2021-04-24,1
CUST00182,40,Male,West,Graduate,Salaried,515179.76,1278654.38,Education,617.1,12,206,38.52,2025-01-08,0
CUST00183,24,Male,East,Secondary,Salaried,2138498.35,1101304.41,Education,733.8,0,205,21.85,2023-07-14,1
CUST00184,40,Female,North,Primary,Unemployed,780992.48,1754231.08,Home,532.9,10,133,40.31,2019-10-17,1
CUST00185,28,Female,North,Primary,Unemployed,2678445.49,1513443.33,Car,783.8,21,300,95.29,2025-02-25,0
CUST00186,63,Female,East,Secondary,Unemployed,2681791.81,485610.34,Other,656.6,10,338,103.01,2024-03-31,0
CUST00187,18,Other,North,Secondary,Unemployed,1758918.54,1333597.91,Car,391.7,22,324,44.44,2019-06-24,1
CUST00188,61,Female,South,Graduate,Self-Employed,1712634.54,860071.24,Other,508.5,10,322,73.06,2022-06-04,1
CUST00189,33,Female,West,Post-Graduate,Self-Employed,2554042.95,1933780.73,Car,476.5,1,56,35.57,2020-08-22,1
CUST00190,37,Other,North,Graduate,Unemployed,1065324.41,85545.92,Education,408.1,1,192,60.64,2025-09-12,1
CUST00191,69,Other,West,Secondary,Unemployed,2705031.7,432026.94,Other,713.9,17,162,63.3,2018-01-26,0
CUST00192,51,Female,West,Graduate,Salaried,2960073.02,183661.55,Other,565.9,15,297,57.73,2018-04-28,0
CUST00193,68,Female,East,Post-Graduate,Self-Employed,2562955.93,1880177.23,Business,807.1,2,309,96.75,2019-12-28,1
CUST00194,63,Other,North,Post-Graduate,Unemployed,556973.66,1136371.4,Other,684.1,23,173,11.69,2025-10-17,0
CUST00195,39,Other,East,Graduate,Self-Employed,263525.56,531726.89,Education,474.8,21,301,96.78,2018-10-30,1
CUST00196,32,Male,West,Post-Graduate,Unemployed,2904833.02,335024.58,Car,362.3,20,181,78.14,2025-11-05,1
CUST00197,30,Female,West,Primary,Unemployed,366373.76,796759.77,Other,655.4,22,280,86.28,2023-01-22,0
CUST00198,42,Female,West,Post-Graduate,Salaried,113973.4,1026329.14,Car,643.8,20,34,52.92,2019-01-03,0
CUST00199,66,Female,West,Primary,Salaried,1407758.12,798349.89,Home,688.2,16,194,52.76,2026-01-17,0
CUST00200,18,Female,East,Post-Graduate,Self-Employed,966904.25,1240771.47,Other,509.2,16,338,16.4,2024-03-14,1
CUST00201,42,Other,South,Secondary,Self-Employed,663966.18,508480.58,Education,504.5,17,154,90.39,2025-07-26,1
CUST00202,48,Male,East,Primary,Salaried,1428416.68,977259.39,Car,847.3,9,495,12.72,2021-04-19,0
CUST00203,25,Other,South,Primary,Salaried,1256163.43,796759.4,Car,475.4,2,405,12.7,2018-08-12,1
CUST00204,46,Male,South,Graduate,Unemployed,1839205.4,1870988.76,Home,708.5,6,108,73.9,2020-05-03,0
CUST00205,56,Male,West,Secondary,Unemployed,2058031.23,864012.93,Car,577.7,9,124,25.02,2025-09-01,0
CUST00206,43,Male,East,Primary,Unemployed,1779858.41,1014215.99,Home,313.3,15,107,48.1,2024-07-23,1
CUST00207,25,Female,North,Secondary,Salaried,2073827.98,1035091.86,Home,833.7,14,120,77.82,2020-04-05,0
CUST00208,60,Female,East,Primary,Unemployed,1070856.42,835822.06,Other,493.6,7,72,58.15,2024-12-07,1
CUST00209,30,Other,South,Graduate,Self-Employed,2063439.47,1887963.98,Business,717.7,20,130,67.87,2025-11-04,0
CUST00210,19,Female,South,Primary,Self-Employed,1582250.36,934871.93,Car,618.6,7,106,89.59,2021-05-15,0
CUST00211,27,Female,East,Primary,Unemployed,706767.66,1436030.72,Education,489.2,5,482,16.12,2025-07-21,1
CUST00212,51,Male,East,Primary,Self-Employed,2847131.73,715634.1,Other,659.9,17,268,31.21,2020-03-29,0
CUST00213,21,Female,South,Primary,Salaried,390506.61,1136995.36,Business,374.0,14,283,102.55,2021-08-16,1
CUST00214,56,Female,West,Primary,Self-Employed,386143.63,1902166.73,Car,698.0,6,499,109.54,2019-09-23,0
CUST00215,59,Female,South,Post-Graduate,Salaried,2901201.95,1525045.97,Home,684.3,1,225,87.81,2025-08-04,1
CUST00216,36,Female,West,Graduate,Self-Employed,1874189.61,1947930.79,Business,842.6,15,424,105.04,2020-06-12,0
CUST00217,27,Female,North,Secondary,Unemployed,764031.91,1935639.85,Car,827.5,2,279,106.93,2024-06-27,1
CUST00218,43,Other,West,Secondary,Salaried,756911.92,22014.19,Car,720.0,15,170,97.74,2026-01-13,0
CUST00219,39,Female,South,Post-Graduate,Self-Employed,1859254.58,360582.57,Education,699.2,24,226,39.34,2026-01-09,0
CUST00220,69,Other,West,Primary,Self-Employed,912117.87,1515798.49,Other,755.5,5,239,34.94,2018-09-12,1
CUST00221,54,Other,South,Secondary,Salaried,1466109.06,1603264.39,Other,655.0,6,364,74.26,2020-03-10,0
CUST00222,24,Other,North,Graduate,Unemployed,2488079.97,1348710.43,Education,772.7,5,473,99.26,2018-06-03,1
CUST00223,61,Female,East,Secondary,Self-Employed,1665473.92,1099541.27,Car,646.9,15,111,31.92,2025-04-05,0
CUST00224,42,Female,South,Post-Graduate,Salaried,1818779.54,55114.6,Car,777.9,12,129,82.42,2022-12-22,0
CUST00225,22,Other,West,Graduate,Unemployed,2239705.79,1241239.39,Business,752.2,17,395,103.71,2023-12-27,0
CUST00226,30,Other,North,Post-Graduate,Self-Employed,2561412.44,1879243.12,Other,465.7,21,358,20.99,2023-06-11,1
CUST00227,49,Female,South,Primary,Unemployed,568940.83,838776.66,Home,774.2,3,480,79.47,2024-09-27,1
CUST00228,59,Other,South,Primary,Self-Employed,1563118.51,646629.77,Business,644.2,22,475,13.43,2023-10-25,0
CUST00229,70,Other,South,Post-Graduate,Self-Employed,919828.95,1429914.79,Other,805.5,7,216,44.23,2022-09-25,0
CUST00230,65,Other,South,Post-Graduate,Unemployed,314478.24,1507552.0,Other,437.4,16,380,19.89,2022-05-27,1
CUST00231,35,Female,South,Graduate,Unemployed,1702911.83,591495.97,Car,797.8,14,145,114.34,2020-09-08,0
CUST00232,27,Male,South,Secondary,Unemployed,264835.05,30480.33,Car,841.8,4,484,63.11,2018-03-11,1
