customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag,debt_to_income_ratio,avg_monthly_transactions,spending_to_income_ratio
CUST00059,20,Other,South,Graduate,Salaried,2277567.68,1046918.48,Car,766.3,20,306,21.37,2022-03-15,0,0.4596651459332264,51.0,21.37
CUST00060,27,Male,West,Post-Graduate,Salaried,271499.17,139908.4,Home,386.1,9,89,40.91,2018-10-01,1,0.5153179657970962,14.833333333333334,40.91
CUST00061,51,Male,South,Secondary,Salaried,1309862.18,1637392.59,Home,539.3,5,236,32.34,2021-09-18,1,1.2500495204770323,39.333333333333336,32.34
CUST00062,48,Female,South,Post-Graduate,Self-Employed,2789092.61,1338235.66,Home,753.7,16,327,71.64,2024-04-15,0,0.47981040686920756,54.5,71.64
CUST00063,42,Male,East,Post-Graduate,Salaried,2852808.77,607328.18,Business,526.8,7,110,8.31,2022-10-03,1,0.21288779899537397,18.333333333333332,8.31
CUST00064,59,Other,North,Primary,Self-Employed,2805533.62,1091449.91,Home,737.2,5,73,68.49,2023-03-28,1,0.38903469280115055,12.166666666666666,68.49
CUST00065,25,Male,East,Primary,Unemployed,2779389.3,514846.61,Business,528.2,4,282,7.78,2025-10-21,1,0.18523731454244283,47.0,7.78
CUST00066,60,Female,North,Secondary,Salaried,1956196.15,1665664.72,Home,402.5,20,254,23.62,2023-12-13,1,0.851481442696838,42.333333333333336,23.62
CUST00067,32,Male,South,Primary,Self-Employed,1996005.3,1293414.77,Education,394.7,0,468,24.48,2020-06-11,1,0.6480016711378471,78.0,24.48
CUST00068,22,Other,East,Graduate,Unemployed,1267224.14,1206150.16,Business,550.3,23,9,87.4,2023-03-06,0,0.9518049111659126,1.5,87.4
CUST00069,40,Female,North,Post-Graduate,Self-Employed,935228.91,1001018.69,Other,345.8,6,149,48.22,2022-09-25,1,1.070346178669776,24.833333333333332,48.22
CUST00070,40,Female,North,Post-Graduate,Salaried,1467057.6,1947447.58,Other,404.7,9,338,83.04,2019-09-15,1,1.3274513420604617,56.333333333333336,83.04
CUST00071,54,Other,West,Graduate,Self-Employed,2976500.21,423479.18,Education,707.2,17,478,72.99,2025-06-24,0,0.14227419792454843,79.66666666666667,72.99
CUST00072,43,Male,West,Primary,Salaried,2050058.0,196878.79,Car,438.8,6,368,95.49,2025-04-23,1,0.09603571703824966,61.333333333333336,95.49
CUST00073,67,Male,West,Primary,Salaried,1932388.83,760737.26,Education,783.7,5,146,119.65,2019-01-16,1,0.3936771151797643,24.333333333333332,119.65
CUST00074,56,Other,East,Graduate,Unemployed,2430348.99,1077023.44,Education,564.6,2,260,12.33,2018-09-06,1,0.4431558777902098,43.333333333333336,12.33
CUST00075,19,Female,East,Post-Graduate,Self-Employed,1592512.66,376818.72,Car,820.5,15,286,113.28,2018-09-16,0,0.23661897921740854,47.666666666666664,113.28
CUST00076,48,Female,South,Post-Graduate,Salaried,729144.0,211653.69,Other,840.6,15,45,20.44,2019-10-26,0,0.290276941180343,7.5,20.44
CUST00077,44,Other,West,Primary,Salaried,2228835.6,898294.9,Business,697.4,22,417,76.26,2021-03-19,0,0.4030332699280288,69.5,76.26
CUST00078,39,Other,North,Secondary,Salaried,1203612.78,256229.02,Education,640.7,20,11,34.99,2019-03-18,0,0.21288326632756424,1.8333333333333333,34.99
CUST00079,67,Male,East,Secondary,Self-Employed,189400.93,30463.26,Other,805.5,22,401,23.37,2019-03-07,0,0.16084007612845408,66.83333333333333,23.37
CUST00080,19,Male,West,Secondary,Unemployed,226441.78,1036839.03,Education,768.9,24,285,44.09,2020-07-11,0,4.5788327136449825,47.5,44.09
CUST00081,47,Male,East,Primary,Salaried,1134668.78,236831.01,Education,803.0,9,412,54.67,2024-08-04,0,0.20872259303723859,68.66666666666667,54.67
CUST00082,25,Male,North,Secondary,Unemployed,2445266.96,334624.62,Other,692.3,16,375,61.97,2023-05-17,0,0.13684584361291988,62.5,61.97
CUST00083,33,Male,East,Primary,Unemployed,2602939.29,1475879.25,Business,522.9,19,147,7.02,2020-03-12,1,0.5670048685614946,24.5,7.02
CUST00084,31,Female,South,Post-Graduate,Self-Employed,2584934.1,925909.23,Business,619.0,14,394,76.32,2021-11-04,0,0.35819452031678484,65.66666666666667,76.32
CUST00085,68,Female,West,Primary,Self-Employed,1672507.75,1941577.33,Car,790.5,8,189,105.57,2018-10-10,0,1.160877927172535,31.5,105.57
CUST00086,64,Male,West,Secondary,Self-Employed,1574120.09,1140515.37,Home,457.4,10,36,13.69,2021-01-04,1,0.7245415246558476,6.0,13.69
CUST00087,52,Female,East,Post-Graduate,Self-Employed,1364222.13,987960.87,Other,777.1,13,321,41.88,2020-09-17,0,0.7241935519694289,53.5,41.88
CUST00088,36,Male,North,Graduate,Unemployed,1360375.59,1001962.96,Business,515.6,22,48,90.79,2019-09-14,1,0.7365340626260428,8.0,90.79
CUST00089,68,Male,North,Secondary,Self-Employed,823602.14,1473933.42,Education,679.7,18,241,14.66,2020-08-16,0,1.789618249413485,40.166666666666664,14.66
CUST00090,47,Other,East,Secondary,Self-Employed,239845.61,458248.74,Car,462.4,4,265,105.83,2018-05-07,1,1.9105988223007293,44.166666666666664,105.83
CUST00091,58,Male,South,Primary,Self-Employed,1889064.12,28417.55,Other,377.9,11,1,118.34,2020-03-02,1,0.015043189746253821,0.16666666666666666,118.34
CUST00092,20,Other,East,Graduate,Salaried,1283508.06,136785.54,Education,329.1,18,124,13.41,2018-05-08,1,0.10657162526895235,20.666666666666668,13.41
CUST00093,68,Female,East,Secondary,Unemployed,2794895.42,1577743.19,Business,586.3,0,281,85.82,2020-04-18,1,0.5645088466315494,46.833333333333336,85.82
CUST00094,25,Other,East,Primary,Salaried,2286571.34,1998357.3,Car,774.8,16,152,76.09,2022-07-07,0,0.8739536200081998,25.333333333333332,76.09
CUST00095,50,Female,West,Post-Graduate,Self-Employed,2113052.76,748871.82,Other,526.8,8,324,26.9,2025-10-07,1,0.3544028025121342,54.0,26.9
CUST00096,61,Other,North,Primary,Unemployed,1914916.66,1812341.74,Car,374.7,7,67,92.96,2020-04-29,1,0.9464337419258758,11.166666666666666,92.96
CUST00097,61,Male,East,Primary,Salaried,2032499.86,1030620.92,Car,556.2,23,112,11.6,2021-11-18,0,0.5070705982730055,18.666666666666668,11.6
CUST00098,29,Other,East,Secondary,Unemployed,1320428.22,1351454.55,Education,620.7,20,173,85.07,2021-09-13,0,1.0234971727580922,28.833333333333332,85.07
CUST00099,61,Female,North,Primary,Unemployed,517661.41,823399.87,Home,331.4,22,41,95.79,2024-05-09,1,1.590614741786528,6.833333333333333,95.79
CUST00100,39,Female,East,Primary,Salaried,2538206.38,1156591.76,Home,725.4,2,56,114.64,2020-03-19,1,0.4556728598247397,9.333333333333334,114.64
CUST00101,38,Female,North,Graduate,Salaried,2450809.58,1954036.64,Education,738.0,8,131,94.75,2023-03-16,0,0.7973025142165471,21.833333333333332,94.75
CUST00102,68,Other,North,Post-Graduate,Unemployed,566456.14,1997972.52,Home,317.4,21,347,88.17,2018-03-01,1,3.5271442551580425,57.833333333333336,88.17
CUST00103,60,Other,West,Primary,Unemployed,309525.41,506695.88,Education,352.2,22,418,113.4,2021-11-28,1,1.6370089938658026,69.66666666666667,113.4
CUST00104,39,Other,East,Graduate,Salaried,1052269.72,990294.58,Car,459.5,0,441,57.31,2020-08-25,1,0.9411033703412087,73.5,57.31
CUST00105,38,Male,North,Primary,Unemployed,411827.06,792748.2,Car,594.1,12,245,62.73,2020-06-27,0,1.9249541300175854,40.833333333333336,62.73
CUST00106,68,Male,East,Graduate,Salaried,1029733.83,825485.65,Other,693.9,17,411,68.62,2019-01-11,0,0.8016495388910356,68.5,68.62
CUST00107,60,Female,South,Primary,Unemployed,2874524.76,966758.72,Other,353.3,18,29,113.66,2024-10-21,1,0.3363194965139212,4.833333333333333,113.66
CUST00108,61,Female,North,Graduate,Self-Employed,1676807.14,1126637.68,Other,650.4,24,402,85.27,2021-12-03,0,0.6718946103724248,67.0,85.27
CUST00109,25,Male,South,Post-Graduate,Self-Employed,362319.67,131372.9,Home,766.4,23,329,43.54,2021-11-16,0,0.36258837396269433,54.833333333333336,43.54
CUST00110,57,Male,West,Primary,Self-Employed,588621.4,561133.74,Business,502.9,2,128,22.33,2020-08-25,1,0.9533016298761818,21.333333333333332,22.33
CUST00111,41,Male,East,Graduate,Self-Employed,2551681.22,1590450.75,Education,705.4,23,421,117.64,2021-11-20,0,0.6232952366988851,70.16666666666667,117.64
CUST00112,23,Female,South,Post-Graduate,Salaried,2077662.36,1703028.66,Home,832.9,23,19,102.46,2024-09-13,0,0.8196849944376909,3.1666666666666665,102.46
CUST00113,30,Male,North,Primary,Salaried,2539114.63,415976.79,Car,518.1,0,323,113.97,2025-05-08,1,0.16382749525569865,53.833333333333336,113.97
CUST00114,44,Male,West,Post-Graduate,Salaried,2476000.71,988907.21,Business,454.7,7,276,71.23,2023-11-23,1,0.39939698159456505,46.0,71.23
CUST00115,25,Male,East,Primary,Unemployed,1705144.62,1799281.3,Home,556.0,23,264,74.81,2022-01-02,0,1.0552074462751435,44.0,74.81
CUST00116,60,Male,North,Secondary,Unemployed,2442124.26,773185.39,Home,711.0,0,214,56.81,2025-06-07,1,0.3166036236010366,35.666666666666664,56.81
CUST00117,21,Other,South,Primary,Self-Employed,522398.91,1860722.39,Home,654.2,1,304,116.32,2018-04-20,1,3.5618803071392318,50.666666666666664,116.32
CUST00118,19,Other,East,Primary,Self-Employed,948386.87,20846.74,Other,731.2,3,176,25.52,2021-11-16,1,0.021981261718648636,29.333333333333332,25.52
CUST00119,23,Other,West,Secondary,Salaried,2750366.53,135422.35,Car,480.4,23,130,115.0,2023-07-20,1,0.04923792829896022,21.666666666666668,115.0
CUST00120,33,Female,West,Secondary,Unemployed,560964.49,664489.47,Education,578.4,8,131,34.77,2025-02-05,0,1.1845481877114896,21.833333333333332,34.77
CUST00121,45,Male,East,Secondary,Unemployed,708595.71,302842.71,Education,815.7,15,327,61.83,2024-02-29,0,0.42738434021848654,54.5,61.83
CUST00122,64,Other,North,Post-Graduate,Unemployed,905878.91,1287057.54,Car,486.8,21,175,31.68,2020-04-07,1,1.420783203794865,29.166666666666668,31.68
CUST00123,24,Female,East,Secondary,Self-Employed,2754470.08,382419.33,Other,484.5,24,445,119.84,2026-01-23,1,0.13883589906338717,74.16666666666667,119.84
CUST00124,58,Female,North,Post-Graduate,Salaried,2135257.43,696696.59,Other,309.4,19,486,119.56,2019-09-04,1,0.326282245977245,81.0,119.56
CUST00125,38,Male,West,Post-Graduate,Unemployed,297493.7,1624402.3,Other,483.5,18,156,41.7,2023-10-28,1,5.460291428020156,26.0,41.7
CUST00126,35,Male,South,Secondary,Unemployed,1243630.37,1533370.7,Business,482.4,1,6,80.64,2022-07-06,1,1.232979458357872,1.0,80.64
CUST00127,36,Other,North,Post-Graduate,Unemployed,879196.57,1510336.15,Car,795.0,5,188,72.56,2024-11-17,1,1.7178594657165234,31.333333333333332,72.56
CUST00128,19,Male,South,Post-Graduate,Salaried,2942654.11,1164638.05,Other,621.1,6,210,113.93,2021-07-20,0,0.3957780991120292,35.0,113.93
CUST00129,35,Female,West,Post-Graduate,Self-Employed,1538495.14,1778015.27,Business,547.5,10,397,37.17,2020-07-09,1,1.1556846841908126,66.16666666666667,37.17
CUST00130,56,Other,North,Primary,Self-Employed,1817384.19,962942.34,Other,726.4,8,386,13.2,2019-01-31,0,0.5298507301309802,64.33333333333333,13.2
CUST00131,30,Other,East,Graduate,Unemployed,784947.78,842351.34,Education,341.7,1,31,62.9,2020-10-16,1,1.073130418943283,5.166666666666667,62.9
CUST00132,49,Male,East,Post-Graduate,Self-Employed,2533908.73,453311.17,Home,356.2,16,107,19.93,2022-03-09,1,0.17889798659006947,17.833333333333332,19.93
CUST00133,44,Female,West,Secondary,Unemployed,1219881.75,1794024.14,Home,309.7,5,453,58.81,2024-06-16,1,1.4706541351241627,75.5,58.81
CUST00134,63,Other,West,Secondary,Salaried,2989054.67,134893.6,Business,317.2,6,392,53.72,2025-09-03,1,0.04512918460604804,65.33333333333333,53.72
CUST00135,20,Other,East,Secondary,Self-Employed,758731.41,1822785.45,Other,319.2,5,138,61.26,2018-11-04,1,2.4024120076958457,23.0,61.26
CUST00136,56,Other,East,Primary,Unemployed,2942492.03,1157229.2,Other,636.8,9,389,25.77,2019-08-14,0,0.39328201680804553,64.83333333333333,25.77
CUST00137,68,Other,North,Post-Graduate,Unemployed,2386246.01,864070.05,Education,398.1,17,280,5.25,2020-06-03,1,0.36210434564540145,46.666666666666664,5.25
CUST00138,54,Other,South,Secondary,Unemployed,1272546.79,91237.33,Education,357.3,19,184,89.74,2023-06-01,1,0.0716966407184132,30.666666666666668,89.74
CUST00139,29,Female,South,Secondary,Self-Employed,2980138.38,1333887.95,Education,404.0,23,360,21.09,2022-01-18,1,0.4475926215211523,60.0,21.09
CUST00140,60,Female,West,Graduate,Self-Employed,1205638.91,1192891.91,Other,507.4,21,200,34.53,2022-11-19,1,0.9894271826379591,33.333333333333336,34.53
CUST00141,50,Other,North,Primary,Unemployed,2378860.77,1328811.2,Business,691.6,2,119,30.8,2020-10-16,1,0.5585914134857081,19.833333333333332,30.8
CUST00142,57,Female,South,Graduate,Self-Employed,204990.06,1106565.02,Home,826.6,9,134,45.34,2020-06-01,0,5.398139890295169,22.333333333333332,45.34
CUST00143,47,Female,West,Secondary,Self-Employed,2303394.01,1085929.18,Education,566.9,18,257,91.17,2021-06-30,0,0.47144742726842465,42.833333333333336,91.17
CUST00144,49,Male,North,Graduate,Unemployed,1099353.15,70661.55,Home,342.1,2,421,85.21,2022-01-29,1,0.06427556968386365,70.16666666666667,85.21
CUST00145,25,Other,West,Secondary,Self-Employed,2449168.36,1311249.83,Business,443.6,23,364,106.12,2023-02-01,1,0.5353857462048873,60.666666666666664,106.12
CUST00146,64,Male,South,Secondary,Salaried,2105216.08,1843056.77,Other,751.0,21,68,35.34,2021-11-08,0,0.8754715430446456,11.333333333333334,35.34
CUST00147,65,Male,East,Secondary,Self-Employed,749124.88,1840225.42,Car,340.8,24,20,53.11,2021-03-25,1,2.456500203277189,3.3333333333333335,53.11
CUST00148,29,Female,West,Secondary,Salaried,2523770.82,1826622.57,Education,668.2,7,10,94.21,2026-03-05,0,0.7237672119531045,1.6666666666666667,94.21
CUST00149,46,Other,West,Primary,Salaried,1326779.56,778995.0,Home,344.7,20,422,107.93,2023-04-05,1,0.5871321985092987,70.33333333333333,107.93
CUST00150,20,Male,North,Secondary,Self-Employed,2423609.67,1368598.49,Car,750.9,11,271,114.94,2021-02-09,0,0.5646942686113313,45.166666666666664,114.94
CUST00151,22,Male,East,Secondary,Self-Employed,2843964.16,1193787.2,Education,448.1,9,166,20.09,2022-09-19,1,0.4197616892612317,27.666666666666668,20.09
CUST00152,63,Other,South,Post-Graduate,Salaried,2755199.01,430923.42,Other,362.8,6,292,117.84,2024-03-02,1,0.15640373651266665,48.666666666666664,117.84
CUST00153,52,Female,South,Secondary,Self-Employed,2579051.85,1873087.52,Business,804.9,19,177,20.52,2018-03-25,0,0.7262698188871232,29.5,20.52
CUST00154,19,Other,North,Primary,Unemployed,1922525.81,1764113.62,Business,502.3,2,34,48.19,2019-12-16,1,0.9176020476937057,5.666666666666667,48.19
CUST00155,58,Female,South,Graduate,Self-Employed,1025941.11,544210.51,Other,461.5,21,462,63.64,2025-01-21,1,0.5304500469817415,77.0,63.64
CUST00156,50,Female,West,Primary,Self-Employed,237569.74,1658762.52,Other,454.7,20,80,100.43,2021-04-02,1,6.982212970389242,13.333333333333334,100.43
CUST00157,67,Male,North,Secondary,Salaried,556486.6,1288622.29,Home,735.6,12,197,6.45,2021-01-11,0,2.3156393882619994,32.833333333333336,6.45
CUST00158,42,Female,West,Graduate,Salaried,1284141.03,130946.77,Business,422.1,3,430,23.03,2018-03-18,1,0.10197226546059353,71.66666666666667,23.03
CUST00159,57,Other,North,Graduate,Self-Employed,2513234.38,1495247.09,Home,386.4,6,312,37.77,2020-12-12,1,0.5949493218376235,52.0,37.77
CUST00160,55,Male,North,Graduate,Self-Employed,1490199.13,138107.23,Other,502.9,0,269,14.22,2023-12-12,1,0.09267703035097062,44.833333333333336,14.22
CUST00161,61,Male,South,Graduate,Salaried,297437.75,1101366.97,Business,677.7,0,410,45.91,2024-02-13,1,3.7028486464814905,68.33333333333333,45.91
CUST00162,46,Male,North,Secondary,Self-Employed,1926803.0,273967.86,Car,844.5,11,259,113.42,2025-11-21,0,0.14218778982594482,43.166666666666664,113.42
CUST00163,18,Male,North,Primary,Unemployed,2763472.14,61744.85,Other,687.9,0,203,100.15,2019-01-01,1,0.022343214214564144,33.833333333333336,100.15
CUST00164,46,Other,North,Graduate,Self-Employed,1920527.92,1652118.01,Car,556.0,1,468,114.42,2025-10-09,1,0.8602415996118401,78.0,114.42
CUST00165,67,Other,East,Secondary,Unemployed,2109602.23,1731578.88,Business,752.6,13,78,80.54,2024-11-03,0,0.8208082335976673,13.0,80.54
CUST00166,28,Female,East,Graduate,Salaried,2439143.95,1401362.49,Business,406.6,16,451,7.53,2020-12-12,1,0.5745304577042285,75.16666666666667,7.53
CUST00167,24,Female,West,Graduate,Self-Employed,1133807.96,1902549.0,Business,644.8,9,174,43.31,2025-09-16,0,1.6780169721158071,29.0,43.31
CUST00168,20,Female,North,Post-Graduate,Self-Employed,1364686.22,1352515.43,Car,532.9,17,486,69.45,2021-11-10,1,0.9910816202130333,81.0,69.45
CUST00169,45,Male,South,Secondary,Salaried,463246.47,1266055.45,Education,382.4,8,159,12.69,2023-01-23,1,2.7330061468142435,26.5,12.69
CUST00170,33,Female,South,Graduate,Self-Employed,2323654.05,1600702.3,Business,667.3,6,325,13.68,2022-05-01,0,0.6888728982698609,54.166666666666664,13.68
CUST00171,51,Other,South,Graduate,Self-Employed,2753800.41,81315.29,Education,704.0,16,284,33.75,2022-10-23,0,0.02952838909628893,47.333333333333336,33.75
CUST00172,29,Female,East,Secondary,Salaried,2139770.49,279163.65,Other,648.3,5,500,75.3,2022-11-18,1,0.1304642957292116,83.33333333333333,75.3
CUST00173,50,Other,South,Secondary,Unemployed,1921799.12,1190244.48,Home,540.6,6,106,25.88,2025-05-04,1,0.6193386538755413,17.666666666666668,25.88
