ride_id,pickup_datetime,pickup_city,pickup_zone,distance_km,fare_amount,traffic_level,driver_rating,ride_category,payment_mode,ride_duration_min,is_surge,ride_driver_id
OLA-R0000020,2025-02-20 15:10:00,Bangalore,Suburb,0.77,28.58,Medium,4.0,Bike,Ola Money,4.54,0,DRV_00188
OLA-R0000021,2025-01-28 03:55:00,Indore,Metro Core,9.06,385.91,Medium,3.82,Mini,Ola Money,40.16,0,DRV_04724
OLA-R0000022,2025-03-17 15:42:00,Patna,Metro Core,0.45,20.59,Medium,3.67,Micro,UPI,2.21,0,DRV_01290
OLA-R0000023,2025-01-22 11:53:00,Nagpur,Outskirts,3.76,187.78,Low,3.83,Prime,Card,36.6,0,DRV_00857
OLA-R0000024,2025-01-24 13:48:00,Delhi,Outskirts,5.16,216.4,Severe,3.4,Mini,UPI,22.97,0,DRV_00304
OLA-R0000025,2025-02-23 10:48:00,Kochi,Metro Core,2.92,80.67,High,4.04,Micro,UPI,16.22,1,DRV_06262
OLA-R0000026,2025-02-21 08:16:00,Kochi,Outskirts,2.99,44.55,Low,3.9,Sedan,UPI,8.23,0,DRV_01230
OLA-R0000027,2025-04-19 13:22:00,Pune,Suburb,5.53,170.49,Low,3.23,Bike,Ola Money,17.75,0,DRV_01759
OLA-R0000028,2025-05-11 06:49:00,Patna,Metro Core,13.37,329.03,Medium,4.01,Prime,Cash,91.21,0,DRV_04504
OLA-R0000029,2025-03-01 11:06:00,Chennai,City,17.43,629.47,Medium,4.32,Prime,Ola Money,90.83,1,DRV_03461
OLA-R0000030,2025-01-23 09:53:00,Patna,Suburb,6.09,131.03,Low,4.05,Auto,Ola Money,21.71,0,DRV_03378
OLA-R0000031,2025-02-11 13:01:00,Hyderabad,Suburb,18.91,413.15,Low,4.45,Bike,Cash,100.1,0,DRV_00266
OLA-R0000032,2025-02-15 10:56:00,Surat,Outskirts,9.13,163.5,Severe,4.88,Sedan,Ola Money,20.05,0,DRV_03039
OLA-R0000033,2025-03-22 14:40:00,Lucknow,Outskirts,9.26,261.24,Low,3.7,Sedan,Card,68.54,0,DRV_03557
OLA-R0000034,2025-01-01 11:56:00,Coimbatore,Metro Core,,,Severe,4.15,Micro,Card,13.88,0,DRV_03266
OLA-R0000035,2025-02-20 06:36:00,Coimbatore,Metro Core,1.34,36.11,High,4.22,Mini,Ola Money,5.81,0,DRV_05897
OLA-R0000036,2025-01-20 16:39:00,Pune,Metro Core,12.73,497.72,Medium,3.7,Micro,Cash,113.57,0,DRV_02959
OLA-R0000037,2025-04-07 14:38:00,Surat,City,8.65,270.8,,3.94,Sedan,Cash,64.5,0,DRV_03661
OLA-R0000038,2025-03-19 12:49:00,Pune,Metro Core,31.05,1056.38,Medium,3.63,Mini,Card,216.91,0,DRV_02083
OLA-R0000039,2025-03-21 15:21:00,Indore,Metro Core,1.08,31.13,Severe,,Micro,Cash,7.4,0,DRV_03302
OLA-R0000040,2025-03-17 12:18:00,Mumbai,Metro Core,9.8,241.16,Severe,5.29,Sedan,Ola Money,43.39,0,DRV_00161
OLA-R0000041,2025-05-17 08:31:00,Kochi,Metro Core,24.37,830.11,High,4.85,Sedan,UPI,163.52,0,DRV_05470
OLA-R0000042,2025-05-09 20:06:00,Coimbatore,Metro Core,9.66,130.78,Severe,4.82,Prime,Card,45.37,1,DRV_05234
OLA-R0000043,2025-02-10 17:16:00,Hyderabad,Outskirts,6.33,221.34,Severe,4.55,Micro,UPI,29.21,0,DRV_01772
OLA-R0000044,2025-03-30 06:48:00,Jaipur,City,9.46,231.77,Medium,3.68,Bike,Cash,27.29,0,DRV_04775
OLA-R0000045,2025-04-14 11:39:00,Mumbai,Metro Core,3.37,125.48,Severe,3.82,Bike,UPI,35.16,0,DRV_00216
OLA-R0000046,2025-02-09 00:28:00,Kochi,City,0.89,31.58,Low,4.54,Bike,Cash,4.94,0,DRV_00779
OLA-R0000047,2025-04-10 08:24:00,Coimbatore,Outskirts,17.34,556.9,Severe,4.66,Bike,Cash,162.64,0,DRV_05419
OLA-R0000048,2025-04-03 12:26:00,Kochi,Outskirts,5.13,68.74,Low,3.82,Sedan,UPI,23.74,0,DRV_04679
OLA-R0000049,2025-03-22 03:56:00,Kochi,City,9.46,,Severe,3.94,Prime,Ola Money,63.97,0,DRV_01474
OLA-R0000050,2025-02-04 09:22:00,Bangalore,Metro Core,18.51,532.34,High,4.95,Auto,Card,60.81,0,DRV_04585
OLA-R0000051,2025-04-02 21:00:00,Patna,Metro Core,0.53,10.79,Low,4.42,Micro,Card,2.64,0,DRV_00922
OLA-R0000052,2025-03-06 13:18:00,Ahmedabad,City,21.33,618.5,Medium,4.51,Prime,Cash,112.35,0,DRV_00877
OLA-R0000053,2025-03-25 18:49:00,Surat,City,0.39,13.56,Severe,4.11,Sedan,Card,3.02,0,DRV_03144
OLA-R0000054,2025-04-10 12:59:00,Mumbai,Suburb,11.85,307.12,Low,4.13,Sedan,Ola Money,43.01,0,DRV_03162
OLA-R0000055,2025-01-26 21:53:00,Ahmedabad,Outskirts,39.69,924.2,,3.85,Mini,Cash,227.04,0,DRV_04380
OLA-R0000056,2025-03-14 20:11:00,Nagpur,City,5.4,177.03,Severe,4.37,Micro,Card,31.05,1,DRV_00181
OLA-R0000057,2025-04-24 10:58:00,Hyderabad,City,5.51,142.78,Medium,3.69,Mini,Card,24.98,0,DRV_00885
OLA-R0000058,2025-02-12 08:27:00,Chandigarh,City,16.69,495.23,Low,5.24,Bike,Ola Money,87.17,0,DRV_01357
OLA-R0000059,2025-03-07 14:14:00,Chennai,Suburb,15.23,506.4,Low,4.28,Bike,Cash,90.15,1,DRV_02242
OLA-R0000060,2025-01-06 03:26:00,Patna,Outskirts,7.01,313.45,Medium,4.12,Auto,Ola Money,44.31,0,DRV_04479
OLA-R0000061,2025-04-09 11:50:00,Bhopal,City,3.05,152.23,Low,4.21,Sedan,UPI,27.41,0,DRV_03232
OLA-R0000062,2025-04-25 01:36:00,Kochi,City,12.1,307.23,Severe,4.73,Auto,Card,49.1,0,DRV_04647
OLA-R0000063,2025-02-26 20:40:00,Jaipur,Suburb,22.6,670.83,Medium,4.54,Bike,UPI,189.84,0,DRV_00480
OLA-R0000064,2025-05-06 03:31:00,Surat,Metro Core,5.31,156.26,Low,4.5,Auto,Card,51.23,0,DRV_01697
OLA-R0000065,2025-03-18 16:27:00,Chennai,Metro Core,0.73,21.24,Low,4.31,Micro,Ola Money,3.24,0,DRV_00203
OLA-R0000066,2025-04-19 03:44:00,Lucknow,Suburb,1.38,55.37,Severe,4.52,Sedan,Card,9.15,0,DRV_03534
OLA-R0000067,2025-04-01 13:37:00,Kolkata,Metro Core,13.75,362.49,High,4.0,Prime,Cash,61.16,0,DRV_04404
OLA-R0000068,2025-01-06 07:30:00,Chandigarh,City,54.75,1477.56,Severe,4.83,Sedan,Cash,401.22,0,DRV_03314
OLA-R0000069,2025-03-11 09:45:00,Nagpur,Suburb,4.44,124.03,High,4.62,Sedan,UPI,39.31,1,DRV_00440
OLA-R0000070,2025-01-02 16:00:00,Kolkata,Metro Core,10.27,265.3,Severe,4.43,Prime,Card,75.84,0,DRV_02545
OLA-R0000071,2025-03-15 01:01:00,Mumbai,Metro Core,1.76,26.32,Low,4.31,Auto,Cash,6.03,0,DRV_04370
OLA-R0000072,2025-04-05 03:06:00,Kochi,Metro Core,15.6,333.03,Severe,4.22,Auto,UPI,137.3,0,DRV_01605
OLA-R0000073,2025-01-15 09:44:00,Bhopal,Metro Core,13.24,387.61,Severe,3.7,Mini,Card,60.54,0,DRV_00624
OLA-R0000074,2025-01-27 19:27:00,Coimbatore,Suburb,5.14,122.54,Medium,3.32,Bike,Card,45.93,0,DRV_06165
OLA-R0000075,2025-04-07 21:36:00,Kolkata,Suburb,2.88,75.08,Medium,3.93,Auto,UPI,11.15,0,DRV_04125
OLA-R0000076,2025-03-01 00:53:00,Jaipur,Metro Core,,478.93,High,4.59,Prime,Cash,67.86,0,DRV_06061
OLA-R0000077,2025-01-27 12:19:00,Chennai,City,10.85,288.22,Severe,3.05,Auto,Ola Money,100.6,0,DRV_03693
OLA-R0000078,2025-03-21 19:20:00,Lucknow,City,1.01,30.74,Severe,3.89,Micro,Card,6.69,0,DRV_02897
OLA-R0000079,2025-05-11 00:27:00,Bangalore,Outskirts,5.88,133.87,Medium,4.5,Auto,UPI,21.67,1,DRV_02663
OLA-R0000080,2025-05-11 22:10:00,Ahmedabad,Suburb,0.44,11.29,,3.77,Bike,Ola Money,3.28,0,DRV_04217
OLA-R0000081,2025-01-13 14:00:00,Lucknow,Metro Core,1.73,58.34,High,4.33,Bike,Cash,10.24,0,DRV_02144
OLA-R0000082,2025-02-17 16:12:00,Kochi,Suburb,2.27,50.6,Severe,5.22,Auto,Ola Money,15.38,0,DRV_00128
OLA-R0000083,2025-04-27 20:00:00,Chandigarh,City,1.68,68.45,High,3.15,Bike,Card,13.04,0,DRV_05097
OLA-R0000084,2025-04-14 09:11:00,Chennai,Metro Core,0.36,11.65,Medium,4.06,Micro,Cash,3.07,0,DRV_03682
OLA-R0000085,2025-05-04 23:26:00,Bangalore,Outskirts,7.16,104.02,Medium,4.6,Bike,UPI,26.11,0,DRV_04853
OLA-R0000086,2025-03-23 20:01:00,Hyderabad,City,2.79,64.71,Severe,3.26,Mini,UPI,9.03,0,DRV_01413
OLA-R0000087,2025-04-05 03:09:00,Kochi,City,2.92,126.66,Low,3.97,Mini,Ola Money,28.44,0,DRV_00134
OLA-R0000088,2025-01-12 11:23:00,Hyderabad,Metro Core,18.24,588.82,Severe,4.88,Micro,Ola Money,105.4,0,DRV_04488
OLA-R0000089,2025-01-16 05:18:00,Bangalore,Suburb,2.68,90.31,High,4.82,Bike,UPI,13.65,1,DRV_05253
OLA-R0000090,2025-01-16 11:35:00,Jaipur,Outskirts,11.38,431.81,Medium,4.25,Sedan,Card,82.89,1,DRV_04823
OLA-R0000091,2025-02-27 14:20:00,Pune,Metro Core,11.0,273.83,Low,4.69,Sedan,Cash,96.1,0,DRV_06081
OLA-R0000092,2025-04-18 02:26:00,Delhi,Outskirts,51.42,1220.04,High,4.0,Micro,Card,336.82,1,DRV_03039
OLA-R0000093,2025-02-24 10:44:00,Ahmedabad,Suburb,,88.54,Severe,4.22,Auto,Cash,17.27,0,DRV_06328
OLA-R0000094,2025-04-23 14:45:00,Kochi,City,37.68,718.3,Medium,4.62,Bike,Card,210.17,0,DRV_01306
OLA-R0000095,2025-03-12 17:00:00,Kochi,Outskirts,8.88,289.55,Low,3.65,Bike,Card,66.84,1,DRV_06403
OLA-R0000096,2025-04-22 20:12:00,Nagpur,City,2.76,67.4,Severe,3.74,Auto,UPI,6.28,0,DRV_01037
OLA-R0000097,2025-01-05 01:19:00,Indore,Outskirts,1.07,53.26,Medium,4.06,Sedan,Ola Money,5.45,0,DRV_04533
OLA-R0000098,2025-01-02 01:32:00,Chennai,Metro Core,2.49,92.52,Low,4.13,Prime,Cash,23.53,0,DRV_05785
OLA-R0000099,2025-01-17 10:08:00,Kolkata,Metro Core,10.63,304.32,Medium,4.35,Auto,Card,46.32,0,DRV_01129
OLA-R0000100,2025-03-21 07:47:00,Patna,Suburb,4.7,123.11,High,4.07,Sedan,Cash,15.44,0,DRV_01081
OLA-R0000101,2025-01-20 03:46:00,Patna,Metro Core,8.91,280.3,Medium,3.6,Sedan,Card,53.87,0,DRV_00001
OLA-R0000102,2025-05-10 07:22:00,Surat,City,3.91,83.62,Low,3.81,Mini,UPI,31.83,0,DRV_02282
OLA-R0000103,2025-03-27 13:28:00,Chandigarh,Suburb,,310.04,Medium,4.19,Sedan,Card,45.42,0,DRV_01970
OLA-R0000104,2025-01-17 09:36:00,Kochi,Suburb,,137.99,Low,3.76,Auto,Cash,26.36,0,DRV_00009
OLA-R0000105,2025-04-22 02:57:00,Bangalore,Suburb,29.2,797.14,High,4.22,Prime,Ola Money,120.18,0,DRV_04666
OLA-R0000106,2025-01-25 18:54:00,Nagpur,Suburb,3.4,,Low,4.71,Auto,Cash,8.85,0,DRV_04603
OLA-R0000107,2025-05-10 12:03:00,Chennai,Outskirts,1.34,42.01,Severe,4.33,Auto,Cash,5.37,0,DRV_02286
OLA-R0000108,2025-03-27 23:08:00,Coimbatore,City,11.01,454.64,Low,3.6,Bike,Ola Money,68.44,0,DRV_00291
OLA-R0000109,2025-02-16 22:25:00,Surat,City,3.44,106.14,Medium,4.36,Bike,Cash,11.84,0,DRV_03587
OLA-R0000110,2025-02-16 14:37:00,Chennai,Outskirts,0.45,11.1,Severe,3.68,Prime,Card,3.4,0,DRV_01588
OLA-R0000111,2025-04-18 02:15:00,Lucknow,City,15.94,659.36,Medium,3.79,Bike,Cash,131.3,0,DRV_03326
OLA-R0000112,2025-01-26 02:29:00,Bhopal,Suburb,19.21,401.77,High,3.65,Sedan,Card,94.75,0,DRV_01307
OLA-R0000113,2025-02-07 11:59:00,Delhi,Suburb,18.44,375.08,,3.21,Sedan,Ola Money,129.52,0,DRV_05457
OLA-R0000114,2025-04-20 05:49:00,Hyderabad,Outskirts,4.77,130.37,Low,5.28,Sedan,Card,14.45,0,DRV_05587
OLA-R0000115,2025-03-12 19:51:00,Mumbai,Outskirts,6.16,93.02,High,4.52,Micro,UPI,26.94,0,DRV_00006
OLA-R0000116,2025-01-16 01:17:00,Indore,Metro Core,,174.96,Low,3.55,Micro,Cash,18.79,0,DRV_01758
OLA-R0000117,2025-05-11 23:25:00,Jaipur,Outskirts,2.28,79.56,,4.47,Prime,Ola Money,22.74,0,DRV_06267
OLA-R0000118,2025-03-22 15:14:00,Kochi,Metro Core,6.89,229.19,High,4.35,Mini,Ola Money,57.64,1,DRV_00395
OLA-R0000119,2025-01-02 18:28:00,Pune,Suburb,12.79,,Low,,Sedan,UPI,79.81,0,DRV_00258
OLA-R0000120,2025-02-09 01:13:00,Lucknow,Metro Core,3.51,112.18,Low,4.57,Bike,Cash,18.73,0,DRV_05042
OLA-R0000121,2025-04-23 05:57:00,Ahmedabad,Suburb,5.8,200.23,,4.62,Micro,Ola Money,58.61,0,DRV_03339
OLA-R0000122,2025-03-30 15:16:00,Surat,Outskirts,6.81,233.45,Low,4.45,Bike,Card,42.77,0,DRV_03912
OLA-R0000123,2025-02-17 20:03:00,Patna,Suburb,27.41,436.95,Medium,3.19,Auto,Cash,117.93,0,DRV_02513
OLA-R0000124,2025-04-16 18:39:00,Mumbai,Metro Core,7.11,303.26,Medium,4.89,Micro,UPI,64.82,1,DRV_01317
OLA-R0000125,2025-04-26 05:06:00,Surat,Suburb,12.65,330.21,Low,3.52,Sedan,UPI,36.46,0,DRV_04769
OLA-R0000126,2025-01-12 03:09:00,Chennai,City,1.69,57.7,Low,,Micro,Ola Money,11.82,0,DRV_05269
OLA-R0000127,2025-03-18 18:40:00,Kochi,Outskirts,7.13,217.17,Low,4.74,Prime,Card,30.61,0,DRV_01802
OLA-R0000128,2025-01-25 18:32:00,Chandigarh,Outskirts,18.68,768.46,Severe,3.07,Auto,UPI,65.61,1,DRV_00719
OLA-R0000129,2025-02-01 03:04:00,Kolkata,Outskirts,24.39,731.0,Medium,4.79,Bike,UPI,157.88,0,DRV_03749
OLA-R0000130,2025-03-09 08:44:00,Bhopal,Metro Core,10.11,220.72,Low,4.08,Sedan,UPI,36.86,0,DRV_01849
OLA-R0000131,2025-05-10 22:10:00,Kolkata,Metro Core,1.38,37.94,Low,4.44,Auto,Ola Money,5.3,0,DRV_04279
OLA-R0000132,2025-04-15 06:49:00,Hyderabad,Outskirts,61.84,2706.62,High,4.0,Auto,Ola Money,539.22,1,DRV_05983
OLA-R0000133,2025-04-18 03:22:00,Patna,City,7.59,281.39,Low,4.49,Sedan,UPI,57.86,0,DRV_03922
OLA-R0000134,2025-04-08 09:21:00,Bangalore,Outskirts,3.82,169.91,Severe,4.24,Auto,Cash,30.07,0,DRV_02718
OLA-R0000135,2025-02-26 14:44:00,Chennai,City,1.21,61.45,,4.32,Mini,Cash,9.79,0,DRV_04397
OLA-R0000136,2025-01-24 04:53:00,Chennai,Metro Core,0.33,8.63,High,3.79,Bike,UPI,2.6,0,DRV_06139
OLA-R0000137,2025-04-06 13:19:00,Indore,City,0.2,9.16,Low,5.16,Bike,UPI,0.82,0,DRV_00416
OLA-R0000138,2025-02-20 10:13:00,Chennai,City,22.89,721.93,Medium,4.24,Micro,UPI,198.76,0,DRV_03056
OLA-R0000139,2025-05-11 16:20:00,Coimbatore,Metro Core,18.27,492.67,Severe,3.81,Bike,Ola Money,105.77,0,DRV_02822
OLA-R0000140,2025-05-11 04:57:00,Bhopal,Outskirts,11.77,522.78,Medium,3.56,Micro,Ola Money,61.83,0,DRV_05340
OLA-R0000141,2025-01-30 11:20:00,Bangalore,Outskirts,1.71,78.22,,4.3,Auto,UPI,8.5,1,DRV_00978
OLA-R0000142,2025-01-06 07:27:00,Jaipur,Metro Core,7.33,208.84,Low,3.55,Mini,Ola Money,43.67,0,DRV_03439
OLA-R0000143,2025-03-30 15:04:00,Indore,Outskirts,2.85,50.1,Low,4.15,Bike,Card,6.29,0,DRV_01254
OLA-R0000144,2025-01-16 07:29:00,Delhi,Suburb,17.44,490.89,High,5.17,Prime,Card,129.65,0,DRV_03208
OLA-R0000145,2025-02-05 17:51:00,Ahmedabad,Outskirts,4.0,105.21,Medium,3.94,Mini,UPI,27.77,1,DRV_03157
OLA-R0000146,2025-01-25 12:28:00,Chennai,Suburb,5.39,107.76,High,4.22,Auto,Cash,36.89,1,DRV_02184
OLA-R0000147,2025-05-03 14:35:00,Delhi,Outskirts,4.63,126.1,Low,3.89,Prime,UPI,22.09,0,DRV_05239
OLA-R0000148,2025-02-13 17:01:00,Surat,Suburb,13.73,545.36,Medium,4.64,Sedan,Card,121.22,0,DRV_01530
OLA-R0000149,2025-03-08 13:28:00,Ahmedabad,Suburb,10.62,288.12,,5.44,Micro,Ola Money,59.17,0,DRV_05787
OLA-R0000150,2025-03-08 14:23:00,Indore,Suburb,1.6,55.62,High,4.62,Prime,Card,11.55,0,DRV_04808
OLA-R0000151,2025-05-10 15:14:00,Chandigarh,City,4.38,140.7,Severe,4.09,Sedan,Card,39.91,0,DRV_03168
OLA-R0000152,2025-05-13 13:15:00,Bangalore,Outskirts,1.12,47.23,High,4.6,Micro,Ola Money,6.76,1,DRV_04692
OLA-R0000153,2025-03-02 10:42:00,Lucknow,Metro Core,23.28,1175.11,Medium,5.05,Sedan,Card,236.31,0,DRV_03253
OLA-R0000154,2025-02-24 23:50:00,Ahmedabad,Metro Core,11.17,519.48,High,5.06,Auto,Ola Money,57.25,1,DRV_02177
OLA-R0000155,2025-02-03 01:23:00,Jaipur,City,12.39,284.64,Low,4.82,Sedan,Cash,86.92,0,DRV_01749
OLA-R0000156,2025-05-11 18:42:00,Bhopal,City,1.89,64.57,Low,4.45,Bike,Ola Money,12.49,0,DRV_04061
OLA-R0000157,2025-04-07 15:13:00,Hyderabad,Metro Core,2.91,80.01,High,3.7,Mini,Cash,27.5,0,DRV_05390
OLA-R0000158,2025-02-20 20:32:00,Coimbatore,Outskirts,0.9,39.89,Severe,4.6,Prime,UPI,4.28,0,DRV_05266
OLA-R0000159,2025-01-30 18:46:00,Coimbatore,Outskirts,7.58,322.33,Medium,3.74,Prime,Card,74.41,0,DRV_01082
OLA-R0000160,2025-04-16 02:16:00,Pune,Outskirts,,7.74,Low,3.38,Bike,Cash,1.81,0,DRV_01250
OLA-R0000161,2025-03-21 23:27:00,Indore,Suburb,3.66,186.41,,4.13,Mini,Card,16.96,0,DRV_05591
OLA-R0000162,2025-02-02 10:29:00,Bhopal,City,18.45,,Low,3.93,Mini,Card,76.01,1,DRV_04335
OLA-R0000163,2025-04-25 05:47:00,Delhi,City,5.02,130.13,Medium,4.09,Prime,UPI,32.06,0,DRV_05906
OLA-R0000164,2025-01-05 21:02:00,Patna,City,3.06,112.74,High,3.72,Bike,UPI,13.46,0,DRV_01923
OLA-R0000165,2025-01-28 00:11:00,Bhopal,City,17.59,465.91,Medium,,Sedan,Card,82.93,1,DRV_05663
OLA-R0000166,2025-05-07 05:54:00,Indore,City,13.78,409.14,High,3.84,Prime,Card,119.42,0,DRV_00751
OLA-R0000167,2025-01-09 21:53:00,Surat,Outskirts,51.45,1594.14,Medium,4.83,Mini,Card,288.7,0,DRV_00317
OLA-R0000168,2025-01-18 23:05:00,Indore,City,18.7,326.24,Medium,4.38,Prime,Card,45.15,0,DRV_05796
OLA-R0000169,2025-05-19 17:25:00,Patna,City,1.83,53.35,Medium,4.15,Mini,UPI,11.04,0,DRV_01161
OLA-R0000170,2025-01-30 09:06:00,Lucknow,Suburb,0.97,41.5,Medium,4.41,Bike,UPI,7.22,0,DRV_01464
OLA-R0000171,2025-05-14 15:59:00,Chandigarh,City,11.86,430.9,Severe,4.93,Mini,Ola Money,81.97,0,DRV_05307
OLA-R0000172,2025-01-21 21:18:00,Patna,Suburb,21.73,743.33,High,4.61,Auto,Cash,100.17,0,DRV_06326
OLA-R0000173,2025-01-23 05:08:00,Bangalore,City,4.57,99.23,High,3.88,Mini,Card,24.22,0,DRV_05381
OLA-R0000174,2025-03-08 12:20:00,Patna,Metro Core,0.1,2.19,Medium,4.22,Bike,Ola Money,0.41,0,DRV_03018
OLA-R0000175,2025-01-16 17:49:00,Chandigarh,Suburb,5.86,,Low,3.83,Prime,UPI,36.91,0,DRV_04841
OLA-R0000176,2025-02-28 10:38:00,Delhi,Outskirts,22.15,766.92,,3.76,Mini,Ola Money,119.15,0,DRV_00583
OLA-R0000177,2025-04-24 08:50:00,Bangalore,City,11.82,331.95,Severe,4.36,Auto,Card,84.11,0,DRV_03791
OLA-R0000178,2025-04-07 20:15:00,Coimbatore,Outskirts,10.49,219.78,Severe,4.52,Auto,UPI,59.24,0,DRV_01081
OLA-R0000179,2025-03-21 16:59:00,Chandigarh,Outskirts,2.9,63.98,Medium,4.45,Bike,Cash,20.82,0,DRV_01664
OLA-R0000180,2025-01-21 23:42:00,Lucknow,City,,322.75,High,4.11,Micro,UPI,73.99,1,DRV_00375
OLA-R0000181,2025-01-29 20:40:00,Indore,Outskirts,8.3,218.25,Severe,4.36,Sedan,Card,21.0,0,DRV_00057
OLA-R0000182,2025-05-10 10:15:00,Bhopal,Outskirts,20.48,533.7,Severe,3.77,Auto,Card,52.55,0,DRV_04859
OLA-R0000183,2025-03-23 22:41:00,Pune,Outskirts,10.49,291.0,High,4.2,Micro,Ola Money,102.94,0,DRV_03332
OLA-R0000184,2025-02-14 11:12:00,Delhi,Outskirts,26.4,680.63,Severe,3.86,Micro,Cash,153.95,0,DRV_01126
OLA-R0000185,2025-04-14 15:21:00,Indore,Outskirts,5.54,149.13,Medium,4.58,Prime,Card,27.11,0,DRV_05525
OLA-R0000186,2025-02-07 13:38:00,Chandigarh,Suburb,4.39,86.49,High,4.11,Sedan,Cash,17.97,0,DRV_03392
OLA-R0000187,2025-04-30 16:28:00,Jaipur,Suburb,2.77,68.75,Low,4.03,Sedan,Ola Money,12.22,0,DRV_03241
OLA-R0000188,2025-04-14 15:40:00,Ahmedabad,Suburb,3.75,172.86,High,4.48,Sedan,Ola Money,29.89,0,DRV_04308
OLA-R0000189,2025-05-19 04:25:00,Chennai,City,16.29,569.35,Severe,5.21,Mini,Cash,117.19,0,DRV_00818
OLA-R0000190,2025-02-15 08:40:00,Bhopal,City,9.84,292.3,Low,4.43,Sedan,Cash,57.38,0,DRV_01579
OLA-R0000191,2025-02-22 06:12:00,Patna,City,6.53,192.91,Low,4.37,Auto,Card,49.94,0,DRV_02494
OLA-R0000192,2025-03-11 10:48:00,Delhi,Metro Core,10.85,457.41,Medium,3.61,Mini,Card,56.08,0,DRV_02731
OLA-R0000193,2025-03-13 15:09:00,Pune,Suburb,1.06,42.5,Low,4.42,Prime,Ola Money,7.72,0,DRV_04700
OLA-R0000194,2025-04-21 22:52:00,Kochi,Suburb,3.17,84.85,Medium,4.38,Mini,Cash,8.84,0,DRV_00394
OLA-R0000195,2025-02-07 06:21:00,Kolkata,City,,13.76,High,4.06,Prime,UPI,1.54,0,DRV_05375
OLA-R0000196,2025-01-20 14:54:00,Nagpur,Outskirts,2.99,54.63,,3.33,Bike,Cash,8.25,0,DRV_05823
OLA-R0000197,2025-05-09 20:37:00,Delhi,City,7.75,251.72,Severe,4.2,Sedan,Ola Money,59.64,0,DRV_03816
OLA-R0000198,2025-02-17 23:13:00,Chandigarh,Metro Core,7.02,126.47,High,4.43,Mini,UPI,18.17,0,DRV_04581
OLA-R0000199,2025-04-21 22:57:00,Bhopal,Suburb,6.61,231.18,Medium,3.71,Auto,UPI,46.05,0,DRV_05109
OLA-R0000200,2025-02-12 13:22:00,Hyderabad,City,8.27,,,3.9,Prime,Card,17.13,0,DRV_03613
OLA-R0000201,2025-01-13 07:52:00,Bhopal,Suburb,2.77,,Medium,4.39,Auto,Cash,12.35,0,DRV_06152
OLA-R0000202,2025-02-27 09:04:00,Indore,City,35.48,657.08,Medium,4.14,Auto,Cash,195.66,1,DRV_03995
