order_id,order_datetime,delivery_city,delivery_zone,distance_km,agent_rating,weather_condition,traffic_index,vehicle_type,package_weight_kg,delivery_time_min,is_delayed,agent_id
AMZ-20250206-00045,2025-02-06 14:14:00,Chandigarh,B,0.05,3.49,Fog,9.07,Scooter,5.21,17.25,1,AGENT_05462
AMZ-20250111-00046,2025-01-11 11:40:00,Indore,B,22.38,4.46,Clear,5.41,Scooter,4.22,13.95,0,AGENT_00645
AMZ-20250509-00047,2025-05-09 14:20:00,Indore,D,2.28,4.2,Fog,3.27,Cycle,7.33,22.86,1,AGENT_04091
AMZ-20250302-00048,2025-03-02 05:23:00,Bhopal,D,8.54,4.23,Fog,6.49,Van,3.18,103.35,0,AGENT_02954
AMZ-20250213-00049,2025-02-13 16:15:00,Nagpur,C,24.63,3.77,Storm,4.64,Cycle,5.0,19.91,0,AGENT_03530
AMZ-20250207-00050,2025-02-07 23:28:00,Jaipur,B,0.92,4.26,Cloudy,0.13,Bike,1.38,25.9,1,AGENT_05066
AMZ-20250225-00051,2025-02-25 18:27:00,Bangalore,C,4.66,4.31,Fog,5.04,Cycle,1.21,16.5,1,AGENT_03660
AMZ-20250203-00052,2025-02-03 01:57:00,Hyderabad,B,,3.63,Rain,8.74,Bike,2.35,68.71,1,AGENT_01488
AMZ-20250312-00053,2025-03-12 01:14:00,Hyderabad,C,3.18,5.44,Cloudy,3.73,Scooter,7.66,27.83,0,AGENT_03404
AMZ-20250122-00054,2025-01-22 04:18:00,Lucknow,C,2.11,4.77,Storm,2.59,Scooter,3.58,61.68,1,AGENT_01852
AMZ-20250119-00055,2025-01-19 23:28:00,Mumbai,A,18.94,3.44,Cloudy,6.43,Scooter,3.09,21.24,0,AGENT_00986
AMZ-20250115-00056,2025-01-15 10:54:00,Indore,D,1.21,4.56,Rain,3.38,Van,2.27,63.96,0,AGENT_03547
AMZ-20250403-00057,2025-04-03 00:30:00,Bhopal,C,13.31,4.14,Storm,,Cycle,2.5,24.25,0,AGENT_05266
AMZ-20250130-00058,2025-01-30 18:46:00,Mumbai,D,36.99,3.75,Rain,2.82,Cycle,5.35,10.53,1,AGENT_01082
AMZ-20250416-00059,2025-04-16 02:16:00,Nagpur,D,7.21,3.46,Clear,7.32,Bike,0.07,26.11,0,AGENT_05156
AMZ-20250508-00060,2025-05-08 11:30:00,Indore,B,4.07,4.26,Fog,4.08,Bike,0.3,133.04,0,AGENT_00208
AMZ-20250128-00061,2025-01-28 16:01:00,Patna,B,16.68,4.05,Storm,6.31,Scooter,4.51,13.46,0,AGENT_03486
AMZ-20250105-00062,2025-01-05 19:38:00,Lucknow,B,4.49,3.58,Rain,2.89,Bike,8.4,94.18,1,AGENT_01348
AMZ-20250107-00063,2025-01-07 09:16:00,Pune,A,3.66,3.71,Rain,8.34,Cycle,5.44,10.07,0,AGENT_05906
AMZ-20250105-00064,2025-01-05 21:02:00,Kolkata,D,0.25,3.62,Cloudy,5.75,Scooter,0.85,100.51,0,AGENT_01216
AMZ-20250131-00065,2025-01-31 18:16:00,Chennai,D,13.72,3.68,Cloudy,6.04,Bike,1.35,40.75,1,AGENT_02979
AMZ-20250328-00066,2025-03-28 05:32:00,Ahmedabad,C,16.48,4.42,Cloudy,5.48,Bike,6.41,21.6,1,AGENT_03254
AMZ-20250117-00067,2025-01-17 16:22:00,Delhi,D,0.44,3.98,Clear,3.58,Scooter,0.62,75.13,0,AGENT_03123
AMZ-20250108-00068,2025-01-08 00:32:00,Hyderabad,A,18.82,4.06,Cloudy,1.98,Scooter,2.16,58.99,0,AGENT_04039
AMZ-20250502-00069,2025-05-02 06:45:00,Nagpur,C,7.52,4.79,Rain,6.7,Van,0.08,35.44,0,AGENT_01190
AMZ-20250208-00070,2025-02-08 04:43:00,Pune,B,2.69,3.54,Clear,7.91,Van,3.44,43.01,1,AGENT_01262
AMZ-20250305-00071,2025-03-05 00:09:00,Chennai,B,6.29,4.78,Storm,0.71,Van,10.98,91.45,0,AGENT_03045
AMZ-20250430-00072,2025-04-30 10:29:00,Delhi,D,8.57,3.44,Storm,2.03,Scooter,1.61,27.49,0,AGENT_05307
AMZ-20250121-00073,2025-01-21 21:18:00,Delhi,C,17.58,4.97,Rain,,Van,0.58,95.28,0,AGENT_04579
AMZ-20250225-00074,2025-02-25 12:05:00,Hyderabad,C,3.18,4.0,Storm,8.75,Bike,0.23,22.72,1,AGENT_05440
AMZ-20250314-00075,2025-03-14 16:33:00,Ahmedabad,D,2.49,4.16,Fog,6.75,Bike,2.32,17.75,1,AGENT_02609
AMZ-20250215-00076,2025-02-15 18:30:00,Bangalore,B,1.08,4.42,Storm,2.55,Van,3.61,18.13,0,AGENT_00635
AMZ-20250414-00077,2025-04-14 01:52:00,Chandigarh,C,10.88,,Clear,0.66,Cycle,4.0,27.06,0,AGENT_04841
AMZ-20250228-00078,2025-02-28 10:38:00,Bhopal,D,30.12,3.6,Clear,5.97,Bike,1.51,39.41,1,AGENT_01383
AMZ-20250321-00079,2025-03-21 02:46:00,Kolkata,A,15.03,3.77,Rain,6.84,Bike,1.3,14.35,0,AGENT_02519
AMZ-20250114-00080,2025-01-14 08:12:00,Pune,B,24.63,3.98,Storm,5.09,Cycle,10.07,128.9,1,AGENT_00298
AMZ-20250414-00081,2025-04-14 02:36:00,Patna,B,22.31,3.77,Rain,1.05,Scooter,2.58,72.74,0,AGENT_03587
AMZ-20250429-00082,2025-04-29 16:46:00,Surat,A,6.8,3.28,Cloudy,6.37,Cycle,4.8,113.25,1,AGENT_02887
AMZ-20250213-00083,2025-02-13 04:28:00,Pune,C,5.52,3.46,Storm,0.41,Scooter,0.05,10.71,0,AGENT_04199
AMZ-20250503-00084,2025-05-03 08:30:00,Chandigarh,B,19.32,3.98,Cloudy,1.16,Bike,3.97,89.53,1,AGENT_03984
AMZ-20250310-00085,2025-03-10 20:06:00,Jaipur,C,19.04,3.84,Storm,,Bike,1.56,50.3,0,AGENT_01150
AMZ-20250318-00086,2025-03-18 14:47:00,Bhopal,D,12.6,4.45,Storm,5.58,Cycle,3.43,60.74,1,AGENT_02536
AMZ-20250117-00087,2025-01-17 04:57:00,Nagpur,B,3.27,3.57,Clear,5.75,Van,0.84,14.27,0,AGENT_00189
AMZ-20250316-00088,2025-03-16 00:55:00,Ahmedabad,C,2.05,4.1,Cloudy,5.47,Van,0.71,13.81,1,AGENT_05051
AMZ-20250203-00089,2025-02-03 22:42:00,Bhopal,D,5.0,3.47,Fog,0.85,Cycle,4.28,94.65,0,AGENT_02631
AMZ-20250207-00090,2025-02-07 11:32:00,Delhi,C,39.28,3.9,Fog,2.19,Scooter,0.37,11.45,1,AGENT_03388
AMZ-20250503-00091,2025-05-03 18:35:00,Pune,D,6.35,4.19,Cloudy,7.75,Van,4.94,14.02,1,AGENT_02857
AMZ-20250221-00092,2025-02-21 06:44:00,Nagpur,D,2.24,4.4,Fog,4.84,Van,1.78,154.53,1,AGENT_00598
AMZ-20250225-00093,2025-02-25 14:06:00,Hyderabad,D,3.05,3.1,Cloudy,9.43,Van,2.28,47.06,1,AGENT_04738
AMZ-20250324-00094,2025-03-24 01:58:00,Lucknow,B,2.13,4.12,Clear,2.08,Scooter,0.21,26.8,0,AGENT_01840
AMZ-20250109-00095,2025-01-09 16:35:00,Chandigarh,D,12.61,3.74,Rain,1.01,Van,2.52,74.6,0,AGENT_02042
AMZ-20250129-00096,2025-01-29 16:58:00,Hyderabad,A,16.86,4.23,Clear,4.26,Bike,3.0,40.34,1,AGENT_00356
AMZ-20250329-00097,2025-03-29 04:28:00,Chandigarh,C,4.74,4.02,Storm,5.24,Cycle,0.68,37.95,0,AGENT_01030
AMZ-20250107-00098,2025-01-07 18:55:00,Ahmedabad,A,1.46,2.84,Fog,8.81,Bike,4.55,69.97,0,AGENT_05928
AMZ-20250422-00099,2025-04-22 05:13:00,Ahmedabad,A,12.83,3.97,Fog,1.56,Bike,3.88,18.87,0,AGENT_03781
AMZ-20250302-00100,2025-03-02 16:17:00,Surat,C,1.06,3.56,Cloudy,6.73,Cycle,6.74,78.31,0,AGENT_04550
AMZ-20250320-00101,2025-03-20 07:45:00,Bangalore,B,1.01,3.97,Fog,4.85,Van,0.91,21.53,1,AGENT_03178
AMZ-20250210-00102,2025-02-10 06:49:00,Bangalore,A,4.8,4.83,Rain,7.12,Scooter,8.08,35.0,0,AGENT_03338
AMZ-20250129-00103,2025-01-29 16:26:00,Chennai,A,3.8,3.2,Rain,2.77,Scooter,0.61,42.18,0,AGENT_00154
AMZ-20250224-00104,2025-02-24 20:12:00,Ahmedabad,D,4.93,3.24,Storm,3.48,Bike,0.77,15.18,0,AGENT_04524
AMZ-20250429-00105,2025-04-29 12:48:00,Chandigarh,B,11.59,3.25,Clear,4.73,Bike,8.47,44.03,1,AGENT_03590
AMZ-20250222-00106,2025-02-22 01:45:00,Bangalore,D,3.41,4.56,Fog,0.7,Scooter,5.63,24.08,1,AGENT_00385
AMZ-20250130-00107,2025-01-30 17:46:00,Kolkata,C,7.96,3.74,Fog,2.01,Scooter,1.05,10.86,0,AGENT_01647
AMZ-20250125-00108,2025-01-25 07:10:00,Chennai,B,,,Cloudy,8.04,Scooter,1.91,28.97,0,AGENT_00082
AMZ-20250211-00109,2025-02-11 19:40:00,Mumbai,B,2.43,3.65,Clear,3.89,Cycle,0.97,25.69,1,AGENT_02992
AMZ-20250102-00110,2025-01-02 22:46:00,Bhopal,D,9.11,4.06,Fog,7.06,Bike,3.1,70.17,0,AGENT_02278
AMZ-20250427-00111,2025-04-27 19:52:00,Indore,B,1.55,4.2,Rain,2.6,Van,2.28,162.02,1,AGENT_01398
AMZ-20250212-00112,2025-02-12 18:40:00,Mumbai,B,2.93,3.45,Clear,4.31,Van,2.53,22.46,1,AGENT_00558
AMZ-20250416-00113,2025-04-16 20:43:00,Mumbai,A,1.44,4.3,Rain,5.77,Van,5.24,11.13,0,AGENT_03600
AMZ-20250512-00114,2025-05-12 11:23:00,Nagpur,C,1.27,3.78,Clear,0.68,Cycle,0.7,70.75,1,AGENT_02631
AMZ-20250217-00115,2025-02-17 09:55:00,Nagpur,A,7.07,3.67,Rain,3.4,Bike,5.45,34.42,1,AGENT_02948
AMZ-20250427-00116,2025-04-27 11:24:00,Ahmedabad,D,3.42,3.99,Fog,1.97,Bike,6.7,53.27,0,AGENT_01275
AMZ-20250227-00117,2025-02-27 15:29:00,Delhi,C,3.65,4.56,Fog,2.14,Scooter,2.18,76.51,0,AGENT_03977
AMZ-20250215-00118,2025-02-15 08:21:00,Pune,D,0.19,4.59,Clear,0.47,Bike,0.49,25.5,0,AGENT_00977
AMZ-20250407-00119,2025-04-07 15:36:00,Bhopal,A,2.39,4.61,Storm,4.61,Bike,2.72,38.16,0,AGENT_03723
AMZ-20250110-00120,2025-01-10 00:11:00,Patna,C,2.43,4.64,Cloudy,4.13,Bike,1.43,58.45,1,AGENT_05689
AMZ-20250306-00121,2025-03-06 14:50:00,Kolkata,C,7.06,3.9,Clear,7.96,Scooter,1.21,72.37,1,AGENT_03177
AMZ-20250517-00122,2025-05-17 05:58:00,Jaipur,B,16.84,3.3,Fog,9.87,Scooter,0.11,29.44,0,AGENT_00926
AMZ-20250310-00123,2025-03-10 09:22:00,Kolkata,D,0.19,2.79,Storm,6.69,Scooter,0.24,58.38,0,AGENT_00013
AMZ-20250507-00124,2025-05-07 00:56:00,Pune,B,1.74,4.53,Clear,9.6,Cycle,3.43,17.02,1,AGENT_00097
AMZ-20250219-00125,2025-02-19 07:51:00,Bhopal,A,15.94,,Storm,4.38,Van,3.35,126.65,0,AGENT_05015
AMZ-20250227-00126,2025-02-27 00:29:00,Pune,D,28.69,4.18,Storm,7.46,Scooter,0.73,10.83,0,AGENT_04897
AMZ-20250515-00127,2025-05-15 21:49:00,Chandigarh,D,3.0,4.54,Storm,5.6,Scooter,0.54,77.4,0,AGENT_02939
AMZ-20250414-00128,2025-04-14 06:18:00,Chennai,A,4.68,3.15,Clear,8.13,Scooter,6.1,52.9,0,AGENT_05359
AMZ-20250309-00129,2025-03-09 03:41:00,Kolkata,B,35.45,4.34,Storm,2.26,Scooter,0.45,53.04,1,AGENT_02588
AMZ-20250518-00130,2025-05-18 21:21:00,Surat,B,1.25,3.04,Rain,7.7,Scooter,7.12,45.58,1,AGENT_05441
AMZ-20250202-00131,2025-02-02 17:55:00,Delhi,D,6.57,4.29,Cloudy,,Van,8.21,110.11,0,AGENT_01594
AMZ-20250207-00132,2025-02-07 06:37:00,Hyderabad,B,39.0,3.98,Fog,8.22,Scooter,0.75,54.77,0,AGENT_00527
AMZ-20250427-00133,2025-04-27 22:32:00,Bangalore,B,12.95,4.12,Clear,2.11,Van,2.21,63.05,0,AGENT_05827
AMZ-20250309-00134,2025-03-09 19:25:00,Chennai,D,14.49,4.4,Fog,0.33,Bike,5.95,12.53,0,AGENT_04349
AMZ-20250301-00135,2025-03-01 11:26:00,Jaipur,A,16.26,3.98,Clear,,Cycle,4.11,98.81,0,AGENT_04670
AMZ-20250402-00136,2025-04-02 11:21:00,Patna,D,3.03,3.73,Cloudy,3.31,Cycle,0.92,130.37,1,AGENT_02309
AMZ-20250314-00137,2025-03-14 16:32:00,Lucknow,A,5.08,4.68,Rain,0.43,Scooter,1.63,133.08,1,AGENT_01187
AMZ-20250202-00138,2025-02-02 14:15:00,Bangalore,B,2.87,4.76,Fog,0.99,Van,1.24,14.35,0,AGENT_00924
AMZ-20250221-00139,2025-02-21 05:28:00,Patna,A,3.7,3.77,Storm,0.71,Van,0.32,69.53,0,AGENT_05339
AMZ-20250130-00140,2025-01-30 06:54:00,Pune,A,16.45,,Storm,9.44,Bike,0.47,59.32,0,AGENT_05786
AMZ-20250101-00141,2025-01-01 09:18:00,Delhi,A,4.05,3.98,Fog,3.31,Cycle,2.13,132.39,0,AGENT_00790
AMZ-20250101-00142,2025-01-01 16:48:00,Chandigarh,A,3.84,4.35,Cloudy,0.98,Bike,4.39,101.4,1,AGENT_04532
AMZ-20250506-00143,2025-05-06 10:46:00,Kolkata,D,1.13,4.21,Cloudy,1.63,Bike,2.8,90.38,0,AGENT_03696
AMZ-20250314-00144,2025-03-14 11:21:00,Nagpur,B,1.52,3.51,Rain,1.32,Scooter,3.38,94.66,1,AGENT_05515
AMZ-20250207-00145,2025-02-07 02:37:00,Pune,D,9.17,4.06,Clear,5.36,Cycle,0.68,70.08,0,AGENT_03258
AMZ-20250324-00146,2025-03-24 19:22:00,Hyderabad,B,2.95,3.65,Clear,2.37,Scooter,0.02,110.79,0,AGENT_05439
AMZ-20250403-00147,2025-04-03 02:03:00,Kolkata,B,26.35,4.65,Cloudy,7.5,Scooter,5.39,46.69,1,AGENT_01531
AMZ-20250325-00148,2025-03-25 22:31:00,Bangalore,D,5.46,3.96,Clear,8.95,Cycle,0.97,56.9,1,AGENT_03160
AMZ-20250118-00149,2025-01-18 06:56:00,Delhi,D,14.11,3.46,Rain,,Bike,0.6,53.12,1,AGENT_02027
AMZ-20250114-00150,2025-01-14 15:56:00,Chennai,D,34.05,3.88,Cloudy,8.87,Van,4.7,56.28,1,AGENT_04748
AMZ-20250408-00151,2025-04-08 01:45:00,Ahmedabad,C,44.52,2.98,Clear,8.37,Scooter,3.02,10.16,1,AGENT_03088
AMZ-20250309-00152,2025-03-09 02:36:00,Surat,D,15.54,3.81,Clear,7.06,Cycle,2.71,51.96,0,AGENT_02524
AMZ-20250423-00153,2025-04-23 06:35:00,Kolkata,C,8.76,4.28,Clear,1.49,Van,12.45,94.62,0,AGENT_04746
AMZ-20250421-00154,2025-04-21 15:38:00,Mumbai,D,1.57,4.1,Storm,6.94,Van,6.05,36.63,0,AGENT_03588
AMZ-20250415-00155,2025-04-15 12:15:00,Surat,D,,,Storm,7.64,Cycle,6.61,38.39,1,AGENT_04581
AMZ-20250306-00156,2025-03-06 01:39:00,Lucknow,D,0.23,3.87,Cloudy,9.75,Van,3.73,55.58,0,AGENT_03367
AMZ-20250326-00157,2025-03-26 02:41:00,Ahmedabad,C,5.94,3.96,Rain,7.51,Bike,11.68,15.43,1,AGENT_02400
AMZ-20250417-00158,2025-04-17 08:45:00,Mumbai,C,8.17,,Cloudy,5.69,Bike,9.05,26.26,1,AGENT_01401
AMZ-20250122-00159,2025-01-22 12:43:00,Delhi,B,5.37,3.36,,5.98,Bike,0.27,17.74,0,AGENT_04460
AMZ-20250202-00160,2025-02-02 14:40:00,Jaipur,C,2.57,4.45,Cloudy,5.23,Scooter,0.43,70.17,0,AGENT_02703
AMZ-20250329-00161,2025-03-29 19:55:00,Lucknow,B,0.76,4.38,Clear,2.1,Cycle,0.02,42.45,0,AGENT_00120
AMZ-20250128-00162,2025-01-28 04:38:00,Bhopal,C,4.37,3.35,Fog,0.09,Cycle,1.9,31.89,0,AGENT_04852
AMZ-20250419-00163,2025-04-19 13:53:00,Indore,B,,4.01,Fog,2.63,Van,4.25,52.25,0,AGENT_03591
AMZ-20250409-00164,2025-04-09 13:14:00,Lucknow,D,6.81,3.86,Clear,2.23,Cycle,4.46,185.28,0,AGENT_03396
AMZ-20250428-00165,2025-04-28 00:10:00,Delhi,A,12.41,3.73,Clear,,Van,2.68,91.6,1,AGENT_02483
AMZ-20250215-00166,2025-02-15 21:17:00,Chennai,A,1.7,3.29,Storm,1.69,Cycle,1.46,11.31,1,AGENT_01351
AMZ-20250224-00167,2025-02-24 18:34:00,Delhi,D,3.25,3.28,Fog,9.0,Cycle,3.62,33.95,1,AGENT_01122
AMZ-20250227-00168,2025-02-27 10:07:00,Nagpur,B,0.36,5.43,Clear,9.76,Scooter,3.04,149.9,1,AGENT_03602
AMZ-20250106-00169,2025-01-06 08:26:00,Jaipur,D,15.14,3.7,Fog,3.96,Van,0.77,36.48,1,AGENT_04893
AMZ-20250210-00170,2025-02-10 13:35:00,Nagpur,C,6.28,3.69,Cloudy,3.35,Bike,0.34,29.07,1,AGENT_00671
AMZ-20250125-00171,2025-01-25 23:20:00,Lucknow,C,3.97,3.73,Cloudy,5.94,Scooter,0.43,138.31,1,AGENT_01047
AMZ-20250430-00172,2025-04-30 20:38:00,Kolkata,A,23.34,3.25,Storm,7.72,Scooter,0.26,100.9,1,AGENT_04053
AMZ-20250129-00173,2025-01-29 14:10:00,Nagpur,C,7.16,3.14,Fog,1.23,Van,0.94,13.64,1,AGENT_01401
AMZ-20250202-00174,2025-02-02 22:33:00,Lucknow,B,13.39,4.33,Fog,1.25,Bike,2.13,69.06,1,AGENT_04008
AMZ-20250309-00175,2025-03-09 00:52:00,Bangalore,D,19.47,3.41,Clear,7.1,Bike,1.47,31.84,1,AGENT_03672
AMZ-20250324-00176,2025-03-24 16:01:00,Lucknow,C,3.91,3.98,Fog,6.96,Van,3.11,32.18,1,AGENT_04333
AMZ-20250514-00177,2025-05-14 05:17:00,Lucknow,A,2.98,4.42,Cloudy,6.7,Cycle,0.9,50.73,0,AGENT_02130
AMZ-20250222-00178,2025-02-22 16:20:00,Pune,A,6.73,4.55,Rain,3.32,Scooter,2.71,52.3,1,AGENT_00682
AMZ-20250113-00179,2025-01-13 11:55:00,Pune,B,4.6,3.79,Rain,2.46,Bike,0.84,128.25,1,AGENT_04146
AMZ-20250408-00180,2025-04-08 09:13:00,Kolkata,A,6.95,3.49,Rain,,Cycle,11.31,152.22,0,AGENT_02589
AMZ-20250505-00181,2025-05-05 13:37:00,Bangalore,C,2.37,4.26,Fog,4.19,Scooter,0.49,33.3,1,AGENT_05972
AMZ-20250211-00182,2025-02-11 05:16:00,Patna,A,4.37,4.06,Storm,2.56,Scooter,1.65,11.11,1,AGENT_02288
AMZ-20250311-00183,2025-03-11 10:52:00,Patna,A,24.13,4.23,Rain,4.1,Cycle,3.4,53.72,0,AGENT_02543
AMZ-20250210-00184,2025-02-10 20:47:00,Pune,D,10.47,3.78,Storm,2.42,Cycle,1.22,19.67,1,AGENT_02798
AMZ-20250110-00185,2025-01-10 14:04:00,Mumbai,A,0.18,4.07,Storm,7.96,Bike,7.01,16.53,0,AGENT_05602
AMZ-20250510-00186,2025-05-10 01:06:00,Chandigarh,B,0.09,4.19,Cloudy,5.39,Van,0.6,40.69,0,AGENT_05330
AMZ-20250223-00187,2025-02-23 16:02:00,Surat,C,14.39,3.63,Cloudy,0.9,Cycle,0.11,50.76,1,AGENT_03589
AMZ-20250201-00188,2025-02-01 01:47:00,Indore,D,3.06,4.49,Cloudy,7.33,Bike,5.75,156.71,0,AGENT_01468
AMZ-20250127-00189,2025-01-27 02:46:00,Bangalore,D,4.97,3.19,Clear,1.15,Van,1.39,18.99,0,AGENT_05238
AMZ-20250421-00190,2025-04-21 18:17:00,Bhopal,A,18.31,3.94,Cloudy,3.5,Van,1.67,212.1,1,AGENT_00811
AMZ-20250218-00191,2025-02-18 09:37:00,Pune,D,2.71,4.18,Storm,8.77,Bike,0.94,38.56,0,AGENT_01493
AMZ-20250513-00192,2025-05-13 04:27:00,Pune,A,12.48,4.47,Cloudy,5.01,Bike,8.92,20.95,0,AGENT_04996
AMZ-20250331-00193,2025-03-31 12:12:00,Bangalore,C,18.05,3.34,,0.05,Scooter,0.25,100.96,0,AGENT_03648
AMZ-20250327-00194,2025-03-27 04:46:00,Delhi,C,15.07,3.81,Storm,4.85,Scooter,0.78,110.13,1,AGENT_00733
