runs,strike_rate,boundaries,innings,team,area_sqft,price_lakhs,bedrooms,floor
1273,141.02,128,108,RR,811.26,233.46,4,15
1374,137.91,113,55,PBKS,676.33,269.9,5,15
2468,123.92,233,64,DC,1201.02,280.95,1,47
3525,110.25,343,131,RR,1612.93,396.81,4,58
2349,104.29,248,51,SRH,1188.51,276.65,2,41
515,142.06,61,135,SRH,1642.32,362.48,4,34
3475,151.65,362,21,GT,1037.8,309.12,4,52
2566,126.96,286,73,GT,1125.21,287.81,2,48
854,133.81,101,167,GT,1130.43,300.59,3,47
2129,153.94,249,18,PBKS,395.56,131.83,5,10
2359,125.33,239,132,DC,922.51,309.15,5,18
3282,96.5,295,89,DC,1545.77,353.83,4,6
3261,144.69,350,60,KKR,1118.14,270.17,4,41
3717,95.72,404,14,CSK,1108.22,346.63,4,21
1557,165.94,120,9,GT,1402.99,351.89,4,48
2613,146.21,247,90,CSK,250.0,111.65,2,22
2617,147.62,263,53,RR,795.92,255.14,2,36
4696,124.48,462,130,GT,1380.1,368.29,3,53
2008,92.45,224,84,CSK,1116.97,241.63,2,43
2724,135.83,268,92,DC,815.17,228.18,4,7
3267,137.06,382,111,DC,525.42,186.25,3,51
1827,146.66,199,188,RCB,1080.4,254.92,3,7
2213,143.29,216,199,GT,560.2,197.24,4,41
2439,137.04,247,172,SRH,956.32,210.0,4,27
1297,119.33,117,8,RCB,1099.18,334.22,4,41
1070,131.43,86,175,LSG,1180.86,305.87,2,37
2967,116.61,288,35,LSG,1242.65,399.17,5,44
2311,156.45,207,81,MI,369.36,169.27,3,52
2346,152.94,246,164,PBKS,1457.79,366.05,2,3
3422,144.89,352,50,GT,1284.64,405.43,3,49
383,154.64,33,104,LSG,703.83,159.49,3,25
3204,133.97,294,132,PBKS,250.0,118.66,3,45
2818,91.65,281,2,KKR,706.38,160.78,2,49
811,124.28,73,134,PBKS,1008.77,285.0,5,39
3107,158.03,286,54,SRH,1069.72,283.12,5,55
3144,111.99,353,106,RR,388.82,79.41,3,4
2872,167.29,295,4,GT,907.13,236.5,3,25
3283,135.59,362,54,KKR,1198.1,321.17,5,1
1669,158.23,158,191,MI,628.76,227.13,5,23
1775,141.3,206,146,GT,306.87,47.58,1,32
3649,131.87,358,44,RR,1816.52,462.83,4,13
0,117.32,14,162,KKR,1454.04,344.52,3,1
2506,113.88,255,190,CSK,1237.67,309.0,3,48
2624,124.37,277,14,SRH,1254.36,298.79,1,49
506,125.77,50,95,CSK,392.93,68.08,2,7
1976,76.23,175,48,LSG,1113.37,303.53,3,35
2440,77.11,248,15,DC,621.28,169.82,2,29
1801,121.31,161,190,MI,688.76,183.55,3,10
2902,141.11,270,40,CSK,1126.41,293.79,5,45
2724,120.1,247,82,PBKS,1112.33,224.95,1,20
2455,130.38,266,111,LSG,1139.46,246.63,1,13
1371,124.32,104,53,CSK,1157.41,298.29,3,24
0,161.15,0,24,DC,946.01,241.17,2,17
4013,147.08,412,154,SRH,1379.58,307.86,1,56
0,128.73,0,188,RR,250.0,122.5,2,12
536,139.08,50,124,CSK,741.53,210.48,3,52
1054,149.83,107,41,SRH,1121.3,297.59,4,4
2730,143.67,258,157,GT,830.31,276.28,5,19
2167,135.99,245,15,PBKS,1299.24,379.5,5,25
3135,128.16,325,45,RR,582.62,251.09,5,35
4445,129.32,433,65,LSG,768.55,184.12,4,12
2659,151.69,283,89,RCB,1522.67,383.22,4,23
963,159.92,117,71,RCB,1436.37,395.71,5,44
3375,146.1,362,9,GT,822.17,243.11,4,46
3661,106.37,347,88,SRH,1011.81,259.43,3,56
1696,149.11,200,129,KKR,559.02,131.29,3,54
2773,138.4,270,136,KKR,405.39,101.61,3,25
1821,134.93,203,63,KKR,1057.54,317.46,3,44
2731,120.95,262,139,RCB,849.18,190.62,4,18
1818,110.96,191,81,LSG,1287.49,340.64,4,34
2604,110.14,249,136,MI,523.91,150.62,1,14
2084,106.15,176,163,GT,580.08,157.83,2,41
4718,119.15,470,163,SRH,700.1,204.86,1,16
191,136.19,11,33,RCB,1051.43,325.5,5,8
1993,88.29,213,123,DC,1099.86,306.85,4,36
4611,95.29,479,5,MI,619.23,195.02,3,45
4280,153.48,468,41,GT,626.2,188.84,2,36
2424,130.56,260,28,MI,1671.36,410.36,4,56
956,141.97,71,135,SRH,250.0,89.86,3,56
2807,121.26,310,72,LSG,1189.48,297.52,4,2
2062,133.89,180,12,MI,1577.1,393.19,3,51
3018,140.83,285,162,SRH,1052.83,314.96,2,39
2930,156.63,277,33,CSK,1162.22,243.31,3,8
2648,120.78,261,48,RR,2026.92,449.29,1,59
2096,141.17,229,151,DC,1327.95,286.92,3,9
2072,145.59,223,62,SRH,1276.23,289.58,3,22
3477,143.59,302,37,SRH,893.4,215.6,3,8
1089,155.44,107,99,RCB,1476.51,336.53,5,4
3399,131.38,310,172,KKR,500.02,145.08,1,22
2501,122.25,270,104,PBKS,1242.64,289.9,1,41
1510,173.91,120,35,RCB,411.41,116.5,1,22
3983,172.34,403,193,RR,1213.95,312.85,3,26
452,141.96,66,101,DC,355.16,212.1,4,46
2122,104.51,235,175,MI,838.91,265.51,5,29
3748,129.11,383,131,PBKS,1149.14,254.73,3,30
2304,114.92,219,1,PBKS,506.7,179.6,5,21
2862,86.58,296,5,GT,718.57,198.13,2,57
3246,125.12,323,142,SRH,979.52,272.58,4,2
3973,120.41,401,103,RR,1142.11,285.98,4,5
0,121.73,0,27,KKR,975.39,272.76,3,3
3535,118.03,358,137,KKR,363.56,55.6,3,19
2791,149.23,278,15,RR,959.64,246.22,3,10
3312,143.14,346,90,LSG,815.64,230.22,5,31
3431,132.37,368,42,DC,1253.3,361.48,3,16
24,130.77,0,124,DC,558.93,148.05,3,36
3743,168.66,369,179,RCB,982.74,287.16,1,57
2669,133.58,251,63,RR,920.29,264.7,2,53
2414,102.62,257,96,RCB,982.07,228.28,4,51
1833,119.81,165,52,RCB,1586.66,362.5,1,58
1057,108.74,111,96,RCB,953.12,278.39,3,41
2542,119.24,251,132,PBKS,859.28,233.35,3,54
2723,109.24,252,151,DC,1538.51,384.16,1,35
2458,158.69,226,143,RCB,1241.07,269.94,5,24
4112,138.22,403,171,RCB,1369.16,350.75,4,26
2817,157.17,298,29,SRH,1351.41,314.82,2,30
2135,140.71,209,36,DC,1257.5,286.65,3,21
3254,166.33,335,13,GT,1080.76,282.59,4,18
1927,140.7,208,160,KKR,1650.72,370.85,4,12
0,142.49,0,71,CSK,827.35,228.11,2,44
3544,123.86,355,187,LSG,1180.67,378.29,5,39
492,145.9,56,86,MI,1287.06,383.89,5,36
4339,161.39,446,28,KKR,1182.99,264.49,1,1
1734,140.16,191,66,RCB,1816.49,411.65,3,28
897,103.8,95,170,RR,818.4,226.5,1,51
2387,145.29,215,45,MI,956.29,264.27,5,36
2629,147.06,282,62,SRH,776.03,97.33,1,34
4325,170.59,420,185,RR,682.26,104.63,1,42
3468,150.93,353,134,CSK,1367.38,359.95,5,20
3143,112.58,354,28,GT,643.04,217.6,5,38
1853,123.31,212,28,PBKS,862.36,287.97,5,29
4287,126.82,440,108,SRH,250.0,67.62,1,52
4951,105.04,441,44,CSK,1212.95,314.31,5,49
1790,178.05,211,84,LSG,1329.43,293.53,2,32
1661,152.95,161,30,CSK,502.48,156.11,4,36
4129,143.49,413,190,LSG,357.45,114.44,3,16
2722,146.11,248,75,DC,1230.42,301.67,2,12
3456,151.82,343,128,SRH,952.12,265.14,3,2
4645,138.54,477,92,RR,639.31,230.42,5,9
4801,115.1,467,190,LSG,250.0,159.98,3,47
3439,126.7,359,129,GT,1568.1,341.76,2,32
3650,126.84,378,121,LSG,590.13,226.52,4,56
2980,149.32,290,27,LSG,886.53,243.07,3,1
4710,125.1,466,190,MI,684.84,221.02,3,21
3311,113.11,324,121,PBKS,1163.99,346.4,5,40
2734,153.71,294,116,LSG,1236.09,302.44,2,43
3929,111.23,374,3,PBKS,861.05,223.84,5,10
460,109.44,56,103,PBKS,1462.79,325.81,1,7
1390,106.62,136,198,CSK,1181.72,302.2,2,57
2181,146.47,215,155,MI,1389.78,335.33,4,42
576,136.9,63,137,RCB,718.04,241.76,5,32
1096,133.48,128,62,MI,1416.82,257.28,2,51
2331,152.04,241,165,RCB,1285.37,365.62,5,55
1252,121.06,117,51,GT,499.35,101.72,1,41
2242,148.75,250,172,LSG,1148.51,224.15,1,6
2314,133.99,230,152,RR,1371.95,269.74,5,7
3901,139.6,410,59,MI,1100.49,302.6,4,15
1068,143.55,108,118,MI,327.91,158.79,4,48
2544,119.26,230,160,SRH,250.0,144.85,5,14
2390,141.63,226,96,SRH,822.76,240.17,3,54
3332,138.27,339,180,GT,381.72,219.45,4,57
1114,125.12,133,113,MI,678.76,218.36,5,6
2656,165.8,301,62,DC,546.12,197.33,5,21
4138,122.2,426,186,LSG,1205.29,371.43,5,20
3102,143.56,331,52,MI,731.97,218.44,1,14
2879,144.54,285,12,DC,722.54,194.74,4,13
619,120.88,68,39,RR,617.43,194.01,5,6
3598,149.5,357,130,SRH,796.38,251.84,2,23
2844,152.17,303,131,RR,830.36,280.97,5,37
1156,135.23,130,113,DC,428.39,133.19,1,31
2014,127.93,211,101,RR,594.94,157.32,2,41
3028,129.73,313,113,GT,1353.15,303.42,4,9
2570,122.1,223,184,DC,891.97,259.67,4,42
2327,124.47,228,81,PBKS,984.22,249.76,4,38
4217,100.86,413,187,SRH,510.49,177.51,4,36
1140,107.09,96,113,LSG,250.0,127.67,2,54
1938,141.3,206,2,LSG,792.76,219.67,3,42
1927,109.63,218,130,PBKS,303.46,134.24,3,27
3317,135.97,315,54,PBKS,396.89,141.0,3,10
2504,97.97,258,87,RCB,1093.77,326.49,2,5
1713,133.69,169,129,PBKS,1120.21,247.08,3,35
2270,168.12,211,147,SRH,1355.01,343.67,5,49
2874,135.13,266,126,DC,1450.28,338.82,3,27
2710,117.09,254,130,PBKS,1011.86,262.99,2,59
1697,136.32,173,53,DC,1486.09,388.69,3,7
0,140.66,33,172,KKR,1183.0,308.21,4,4
1516,122.85,153,160,LSG,623.95,208.22,2,28
2948,110.05,304,198,MI,773.05,193.18,2,1
3790,120.67,419,160,GT,1437.04,370.94,3,49
2791,136.44,282,68,SRH,774.92,216.74,3,16
1799,152.5,164,183,SRH,789.59,215.46,2,28
2914,172.86,272,184,GT,779.92,224.08,3,2
3751,168.8,406,123,RR,1028.99,244.36,4,6
3203,79.87,338,145,PBKS,680.73,186.58,1,24
4155,155.51,445,38,SRH,1103.6,240.91,2,9
1729,157.13,171,24,LSG,639.4,176.71,2,36
1334,141.5,71,69,MI,563.76,111.68,2,6
3977,117.19,415,116,KKR,451.63,148.03,3,34
3414,122.07,346,98,MI,544.9,132.35,2,2
4085,148.79,402,198,SRH,636.57,281.07,4,26
2944,154.12,300,139,RR,1161.23,319.68,4,23
191,148.82,23,144,PBKS,1155.81,253.78,3,18
1737,152.79,140,97,LSG,1755.58,411.93,3,8
2427,144.3,264,124,GT,763.64,229.99,2,3
1528,116.25,133,187,RCB,570.87,186.78,2,8
2989,148.54,349,70,GT,1191.86,245.79,1,46
1840,119.78,202,93,RR,836.05,284.83,4,25
857,92.51,101,3,LSG,743.2,147.84,1,8
3657,129.79,336,148,RCB,1089.99,295.93,4,28
3151,124.35,318,187,MI,250.0,129.03,2,11
1718,140.64,171,164,LSG,848.91,196.7,3,24
1941,148.83,186,147,SRH,1081.88,299.06,2,32
1857,153.48,200,90,RCB,1027.68,273.3,4,7
3464,162.72,330,195,GT,713.19,163.39,3,25
3385,167.14,352,147,MI,1148.71,285.45,3,49
1705,167.16,178,148,LSG,250.0,152.84,3,58
2102,139.35,204,96,LSG,656.32,186.64,2,53
4034,135.77,419,199,GT,942.2,241.98,4,33
2992,140.07,270,52,RCB,895.51,223.77,2,55
3089,121.75,339,161,PBKS,1116.19,227.19,2,22
4413,160.47,423,168,SRH,1124.45,323.42,4,2
2942,156.36,328,128,GT,1415.66,321.7,2,26
2125,151.38,196,39,RR,1053.28,210.27,1,2
2068,107.95,207,82,MI,1661.05,452.5,5,53
1965,136.19,181,104,MI,976.95,359.35,4,39
3654,143.47,360,129,SRH,250.0,89.03,2,36
3438,119.3,345,11,DC,315.37,89.36,1,38
3075,114.73,328,185,SRH,1248.03,306.62,5,4
2776,147.67,285,178,RCB,711.95,230.0,4,24
3367,161.37,335,151,RCB,563.03,186.48,3,13
1062,132.21,128,159,PBKS,612.63,233.88,4,39
2513,122.03,247,42,MI,1495.1,381.82,5,4
2245,100.7,241,99,DC,1095.04,247.65,4,24
891,116.7,86,7,PBKS,1294.03,334.04,5,19
3423,132.66,338,144,LSG,886.0,251.26,2,25
2627,129.23,268,90,GT,624.48,159.34,1,7
2856,128.53,277,112,CSK,773.15,251.42,5,25
2594,118.29,235,60,KKR,605.31,202.92,3,32
1434,132.1,156,113,KKR,1315.21,309.29,3,23
929,115.67,94,2,PBKS,954.18,285.66,5,30
455,100.54,55,129,CSK,478.02,140.59,2,32
1734,107.94,180,48,RR,1273.67,312.9,4,41
2695,147.46,256,140,MI,1022.78,286.32,5,31
4218,150.03,430,197,PBKS,681.46,206.97,4,46
88,170.36,7,37,CSK,699.4,207.49,3,8
20,134.29,0,160,PBKS,1029.44,273.92,2,33
1809,122.19,204,9,RCB,1033.43,231.86,2,15
3339,127.18,327,99,KKR,654.58,166.34,2,58
3093,154.2,324,147,DC,1268.01,257.67,1,8
2253,138.68,197,48,GT,1181.37,330.38,3,38
130,97.17,18,131,MI,995.77,264.84,5,13
583,113.17,36,148,SRH,1535.58,277.36,1,59
3834,128.01,398,152,LSG,1785.21,392.25,4,3
2859,136.0,315,54,KKR,751.17,232.42,4,38
3636,161.74,340,120,SRH,420.04,151.01,5,19
3452,169.91,345,161,GT,1385.11,362.19,2,56
5007,170.47,502,152,KKR,1419.2,371.93,2,57
1976,119.27,246,116,MI,1122.26,300.97,4,9
2059,138.09,175,75,GT,1066.55,224.09,5,44
2941,143.53,331,113,KKR,1368.78,438.94,5,55
3856,117.24,372,164,LSG,1338.6,302.11,1,56
528,148.18,36,166,DC,1211.11,302.89,2,59
1846,126.88,180,104,KKR,783.61,155.44,2,48
2324,141.85,208,84,RR,1078.78,233.64,2,37
2576,134.24,243,112,DC,1100.56,308.24,3,26
3338,151.26,284,99,LSG,518.42,234.88,5,24
4166,141.86,437,153,DC,797.67,217.18,2,59
3523,145.9,333,93,PBKS,432.5,124.09,4,53
2635,98.66,262,146,KKR,536.17,106.96,3,36
2690,169.43,226,128,PBKS,608.64,196.63,4,1
2622,112.88,270,110,KKR,425.64,151.66,4,10
4759,149.36,492,82,GT,1330.98,369.61,3,57
3478,137.1,350,194,KKR,1166.2,295.64,3,26
1254,135.14,138,54,RCB,1048.27,271.91,4,51
2320,185.11,212,163,RCB,388.48,134.22,3,16
1596,125.95,171,189,KKR,1011.94,334.62,5,16
3835,125.68,398,169,MI,1014.28,252.38,4,1
511,156.41,62,161,SRH,250.0,103.32,1,55
1820,128.36,185,68,RR,721.4,214.97,2,9
1939,121.74,214,33,SRH,1545.77,402.52,2,48
1956,132.46,170,142,GT,898.86,244.18,3,22
1494,140.8,184,21,RCB,727.66,206.42,2,8
2154,161.87,263,48,CSK,1102.39,287.65,2,18
3723,145.98,368,148,CSK,1457.2,348.6,1,24
2856,135.16,288,128,DC,731.6,220.02,3,3
3063,127.59,274,136,DC,1061.73,254.22,2,54
3645,132.89,337,135,RCB,1779.77,467.53,5,39
3420,154.41,326,195,GT,423.85,138.12,1,8
391,123.54,38,145,MI,1511.92,321.36,1,33
2535,148.97,219,128,SRH,450.71,174.88,2,56
2485,133.8,215,33,KKR,1358.12,361.07,5,21
904,150.16,125,176,KKR,1053.07,214.79,2,30
4299,154.86,427,187,RR,1084.8,294.51,4,8
1081,129.93,115,115,KKR,848.71,194.52,1,37
1914,123.66,180,119,CSK,1860.7,388.73,1,17
2300,128.93,241,22,MI,1216.08,308.51,3,54
3563,150.91,334,158,MI,1061.51,181.41,2,4
2166,114.39,205,38,LSG,739.07,240.71,3,57
1493,147.45,120,109,PBKS,1034.0,256.07,3,1
4321,131.86,407,51,DC,1328.3,376.06,4,58
2886,120.07,307,182,PBKS,535.49,97.01,5,37
811,121.9,75,8,GT,1290.49,359.42,5,22
2652,213.88,249,27,LSG,994.53,151.57,1,27
3324,136.5,360,27,MI,485.92,227.08,4,49
2899,125.58,257,21,RCB,817.29,222.44,4,26
3256,99.98,323,30,PBKS,1088.1,303.72,4,16
2937,128.0,300,97,RR,250.0,134.48,3,56
1682,172.33,151,28,SRH,1461.14,319.3,1,58
545,89.15,70,111,DC,672.18,165.74,2,25
3988,139.04,395,192,GT,1059.61,255.03,1,17
2350,125.65,246,197,RR,1742.27,361.06,1,3
2899,141.93,292,61,MI,812.76,212.01,2,4
2293,138.38,214,48,RCB,819.46,235.52,5,48
2159,133.2,222,147,KKR,908.42,294.84,5,40
3650,153.8,351,4,PBKS,1402.99,340.81,2,26
2312,94.81,195,35,SRH,802.48,242.8,1,46
3344,141.49,348,192,KKR,839.64,231.3,4,22
661,115.46,78,49,CSK,281.75,118.35,3,32
802,109.7,84,17,LSG,1631.72,400.03,5,53
1627,129.71,165,172,SRH,1278.94,266.92,1,27
0,138.86,17,158,GT,250.0,168.76,4,59
2666,156.19,278,46,GT,1267.72,340.09,3,11
1162,135.29,133,117,RCB,927.82,232.92,3,43
2079,119.25,175,6,GT,1200.13,311.35,2,54
1983,128.08,197,99,CSK,1073.78,285.84,3,48
1726,111.2,184,124,GT,607.18,175.96,3,59
772,130.17,66,37,DC,1744.42,386.28,4,9
3072,130.69,307,24,PBKS,1189.97,318.05,2,33
3273,147.91,342,93,MI,998.52,212.14,2,4
3172,140.68,329,46,RCB,1015.38,309.45,3,45
2157,143.11,215,181,MI,787.95,208.24,4,44
2313,118.14,239,95,PBKS,250.0,96.68,2,49
950,127.06,114,99,RR,952.83,231.61,2,44
2200,157.75,257,188,RCB,1227.35,287.27,4,25
2097,108.88,191,116,RR,1112.05,292.34,5,18
2798,122.25,297,191,CSK,1753.03,375.45,3,44
1476,130.99,133,160,RR,768.0,174.88,5,5
2460,129.17,269,161,LSG,809.66,173.88,2,55
2136,113.26,240,67,PBKS,980.11,261.4,4,18
3258,128.14,337,128,DC,651.68,208.38,2,45
4243,111.7,466,18,DC,1246.1,339.52,5,5
3387,134.36,363,25,MI,1289.74,318.66,2,43
2389,172.91,247,54,RR,340.79,116.99,1,44
2063,146.96,214,58,RR,1208.72,228.83,1,27
2950,127.95,325,67,PBKS,667.15,197.24,1,5
382,160.03,30,104,RR,638.33,166.95,2,21
1928,149.23,205,174,RCB,1420.29,317.11,2,51
2920,134.29,290,24,SRH,1009.0,227.54,3,19
1189,144.52,57,114,KKR,1677.86,415.71,3,10
2412,142.32,222,32,RCB,1747.34,424.63,5,5
3265,107.62,323,175,SRH,1345.29,383.17,4,31
3278,163.11,336,86,KKR,811.66,248.6,2,47
1040,140.06,71,151,LSG,1378.8,380.49,5,31
1063,155.07,97,194,RCB,1513.63,355.49,4,17
1879,124.83,196,127,CSK,506.64,138.98,4,34
3609,126.91,364,155,PBKS,842.73,227.31,1,50
1887,186.28,199,130,MI,1261.25,369.53,4,43
2515,108.56,268,17,RR,1800.98,368.72,1,1
2549,132.68,233,104,KKR,594.64,165.88,1,6
2591,129.18,248,161,LSG,1260.32,292.57,5,46
2706,134.69,262,137,GT,942.45,176.41,1,7
3801,145.31,403,43,MI,1017.04,284.32,1,9
2380,127.31,260,176,GT,317.68,77.1,1,36
1641,120.73,149,39,LSG,594.73,109.37,1,26
2816,165.5,290,170,PBKS,250.0,137.75,5,36
0,127.99,2,26,KKR,1940.37,389.62,1,31
2212,136.07,212,99,DC,680.03,249.72,4,49
774,136.09,97,50,PBKS,656.98,139.73,1,25
2128,194.12,211,153,PBKS,888.03,223.18,3,48
3631,149.41,381,152,DC,309.88,137.66,4,12
202,109.93,33,13,PBKS,734.55,225.85,3,58
1358,116.11,111,60,DC,1299.36,344.71,3,28
2592,122.02,280,135,RR,1532.78,369.26,3,28
3260,151.13,338,57,RCB,1059.86,246.19,2,36
3681,121.39,371,36,MI,580.97,162.07,1,22
2113,129.44,232,173,SRH,1461.33,365.17,4,27
1412,111.91,122,20,PBKS,777.59,196.16,4,7
2491,153.03,225,65,GT,1490.18,375.27,3,41
2250,147.19,208,8,GT,1413.0,343.75,3,1
3412,146.45,331,144,PBKS,853.91,254.79,3,18
3268,132.78,313,142,PBKS,435.28,146.83,4,47
2624,146.27,248,115,LSG,972.46,255.47,1,37
1448,98.41,157,143,LSG,1281.54,239.57,1,23
1830,118.73,196,92,LSG,1307.45,318.47,2,16
2581,128.57,246,98,SRH,723.36,193.36,1,43
3838,155.43,372,66,PBKS,832.75,236.35,3,43
1703,108.13,189,32,RR,757.03,221.46,5,23
2900,132.26,277,191,CSK,528.26,140.96,1,7
3290,155.26,326,86,RCB,1024.38,237.97,1,49
4593,148.66,468,51,KKR,764.04,201.28,2,6
3575,139.56,393,153,GT,261.76,110.79,2,17
1971,165.09,191,186,RR,690.29,211.37,4,59
0,144.64,0,63,GT,1192.19,295.55,2,30
1289,119.03,120,190,LSG,1179.01,337.06,4,36
1808,114.15,185,125,KKR,841.67,294.08,5,9
1607,149.27,182,150,KKR,1847.41,479.47,5,27
1724,125.81,197,58,PBKS,489.82,149.55,5,19
631,120.13,49,58,RCB,1394.57,345.32,5,14
2836,121.65,299,86,KKR,506.35,191.69,4,32
2501,134.47,245,49,DC,1264.5,274.03,2,25
404,123.44,34,180,CSK,534.76,147.77,4,1
5371,135.89,540,170,GT,667.44,217.56,1,56
4048,137.47,428,70,CSK,325.7,190.03,5,31
3346,128.72,312,15,KKR,250.0,114.28,1,33
2384,149.3,209,54,RR,1520.7,451.7,5,21
2199,129.28,236,188,SRH,1828.89,445.58,1,41
2945,130.17,260,101,DC,673.56,193.73,4,23
3127,110.24,285,8,CSK,782.91,214.33,3,21
1091,151.1,80,53,PBKS,768.13,187.62,3,2
3093,108.9,311,60,DC,316.37,170.25,4,43
2520,137.73,248,108,GT,773.86,297.16,5,43
3547,115.46,331,5,GT,667.89,181.98,1,12
4198,148.13,408,103,PBKS,1365.68,378.08,5,35
864,162.26,124,196,GT,1108.06,284.02,5,21
3192,140.1,326,6,SRH,1094.52,308.13,1,12
2753,109.88,283,109,PBKS,799.92,202.34,2,35
3703,133.46,349,116,CSK,581.69,160.64,3,33
2727,124.46,263,94,LSG,512.84,167.25,1,45
2242,142.22,221,47,CSK,1085.21,231.95,1,44
2396,134.19,235,99,KKR,625.95,188.86,4,29
859,115.17,88,55,RCB,1019.6,236.6,3,13
2152,110.43,244,168,KKR,1436.59,296.59,1,59
3277,140.9,344,52,PBKS,1177.47,314.84,5,20
3209,83.11,327,144,MI,1681.45,378.22,3,28
2266,157.35,259,13,RCB,1208.88,292.48,1,27
4281,143.66,426,114,RCB,931.51,280.33,5,46
2341,169.95,263,124,RR,1170.74,284.91,4,26
3644,149.74,374,106,SRH,490.09,168.39,3,33
899,147.34,113,158,KKR,700.0,155.03,2,15
3058,143.26,322,147,GT,1805.37,457.75,5,7
2582,143.37,284,145,KKR,1591.67,400.4,5,42
2126,152.84,193,120,RR,572.33,225.73,2,50
3190,102.13,325,63,SRH,1131.34,276.51,1,49
2746,138.26,280,19,MI,864.39,246.73,4,17
3028,146.6,278,92,PBKS,1237.73,247.69,1,18
3160,138.86,300,58,KKR,1941.75,464.46,2,26
1783,97.82,153,183,GT,1010.27,254.02,2,44
4607,144.49,442,90,LSG,1257.43,324.17,5,15
4328,149.48,414,117,LSG,1264.31,234.86,1,14
2426,118.34,248,62,GT,789.72,299.77,4,38
3094,143.68,322,23,CSK,1051.73,265.44,1,18
1569,134.04,171,127,LSG,1394.8,315.18,1,26
951,147.66,87,137,KKR,887.09,225.72,2,15
3202,144.58,322,140,DC,743.25,247.98,5,3
4253,174.87,435,129,PBKS,1644.61,317.72,2,19
2161,146.64,202,58,GT,325.91,139.06,1,53
2841,135.29,267,122,SRH,402.5,181.06,5,40
1445,120.05,151,1,SRH,1165.72,321.86,5,40
659,134.69,88,34,MI,842.28,247.07,2,1
1916,154.11,176,96,LSG,677.25,248.22,5,15
2432,94.48,233,126,LSG,1140.06,326.53,5,3
3682,129.81,377,118,LSG,1367.99,294.18,3,43
1028,155.59,86,48,MI,1198.28,219.87,2,29
1257,131.89,188,89,GT,1276.22,291.88,3,15
1254,136.02,120,117,KKR,2085.7,460.6,4,51
4092,127.52,395,129,PBKS,850.35,257.35,1,13
4466,140.96,438,16,RCB,880.18,252.31,3,45
4803,152.99,496,189,GT,420.32,116.97,3,22
4081,136.71,382,192,CSK,1362.93,261.85,1,55
2842,123.0,214,191,LSG,1149.12,296.3,5,38
2477,132.3,283,69,SRH,795.29,232.99,3,47
3364,170.34,329,22,RR,560.11,175.29,4,49
2294,133.47,226,93,DC,761.41,170.67,1,29
4329,141.6,433,195,GT,579.55,202.08,1,55
3181,165.78,330,76,RCB,973.14,236.46,1,33
2147,133.79,206,154,KKR,1668.45,357.4,1,37
1785,135.16,156,144,RR,1161.41,183.47,1,38
2690,110.43,268,179,KKR,701.95,211.42,2,55
2343,132.29,200,86,KKR,679.1,212.85,2,45
3326,110.86,341,185,CSK,839.2,189.23,1,15
2833,179.82,275,29,RCB,921.19,275.79,3,58
2622,138.3,274,69,LSG,357.26,104.85,5,42
5343,146.19,529,47,PBKS,995.22,283.74,4,54
