product,category,price,rating,stock,discount
Camera,Electronics,108379.71,3.9,226,0.41
Camera,Home,84285.82,3.1,488,0.31
Camera,Electronics,30401.48,2.8,188,0.25
Headphones,Accessories,108204.87,2.5,468,0.13
Headphones,Accessories,51656.87,4.8,302,0.21
Headphones,Accessories,54512.1,1.5,302,0.32
Tablet,Sports,57718.17,3.7,146,0.13
Laptop,Home,5423.07,2.1,348,0.46
Laptop,Electronics,29463.16,2.5,179,0.39
Phone,Sports,79869.14,1.0,387,0.46
Laptop,Sports,17556.93,2.1,42,0.13
Phone,Accessories,24922.19,4.1,165,0.12
Phone,Electronics,99927.35,1.3,278,0.03
Headphones,Accessories,82509.79,1.8,493,0.11
Phone,Electronics,121571.32,,172,0.05
Smartwatch,Electronics,70915.58,4.7,357,0.39
Laptop,Sports,126379.49,2.2,69,0.05
Camera,Sports,65473.43,4.7,14,0.19
Camera,Sports,130435.3,1.8,232,0.43
Laptop,Electronics,137159.72,2.5,357,0.33
Phone,Home,46174.15,4.9,52,0.25
Tablet,Electronics,532.88,2.1,154,0.43
Phone,Electronics,55832.94,3.5,82,0.22
Tablet,Sports,93193.78,2.8,57,0.12
Phone,Sports,57450.18,2.1,180,0.19
Laptop,Sports,84786.44,2.6,86,0.49
Camera,Accessories,78412.29,2.8,230,0.16
Headphones,Home,149074.82,3.9,406,0.1
Smartwatch,Home,134805.04,2.6,403,0.41
Camera,Sports,105351.6,2.4,356,0.43
Tablet,Sports,118983.4,3.2,381,0.37
Phone,Electronics,67011.78,3.3,314,0.17
Smartwatch,Electronics,112898.11,2.9,213,0.38
Headphones,Home,145516.51,2.6,416,0.35
Camera,Electronics,29546.42,4.6,397,0.44
Tablet,Home,14083.2,4.0,336,0.03
Laptop,Accessories,51361.69,3.6,326,0.36
Tablet,Sports,131413.03,2.3,78,0.34
Smartwatch,Sports,112752.66,1.5,423,0.13
Laptop,Home,104220.06,2.9,148,0.01
Laptop,Electronics,85832.52,2.8,117,0.0
Camera,Home,110488.19,2.1,323,0.27
Camera,Home,135140.57,2.0,288,0.26
Tablet,Accessories,111981.52,2.8,138,0.06
Smartwatch,Home,82077.39,2.4,1,0.49
Phone,Accessories,47723.38,3.7,457,0.44
Phone,Electronics,84568.88,2.9,134,0.08
Headphones,Electronics,145192.47,4.1,302,
Camera,Home,37254.65,4.3,267,0.26
Tablet,Home,108380.12,2.1,473,0.48
Smartwatch,Electronics,147527.48,3.6,182,0.19
Smartwatch,Accessories,99410.5,1.8,492,0.48
Headphones,Electronics,47079.73,4.1,481,0.45
Headphones,Accessories,44135.9,1.8,393,0.0
Tablet,Accessories,49699.62,1.4,414,0.41
Laptop,Sports,93289.44,4.9,31,0.36
Headphones,Sports,58510.31,2.4,32,0.16
Phone,Sports,28837.17,3.4,413,0.07
Camera,Electronics,66031.62,4.2,201,0.17
Camera,Electronics,79189.84,2.8,379,0.01
Camera,Electronics,104849.8,3.7,328,0.41
Headphones,Accessories,92842.14,4.7,62,0.2
Camera,Electronics,23881.55,3.6,392,0.24
Laptop,Home,24433.97,1.5,411,0.13
Tablet,Sports,128162.45,4.5,119,0.24
Tablet,Accessories,99330.42,4.3,439,0.29
Laptop,Electronics,122418.57,3.8,57,0.49
Camera,Home,117045.19,4.0,118,0.32
Camera,Sports,109219.3,3.5,332,0.36
Headphones,Accessories,71560.57,1.8,244,0.45
Smartwatch,Home,114534.09,2.6,167,0.47
Tablet,Home,65301.94,4.0,417,0.22
Phone,Accessories,58788.39,3.4,47,0.09
Tablet,Electronics,69992.87,3.2,266,0.14
Laptop,Electronics,43946.65,4.3,360,0.45
Camera,Electronics,51211.26,2.2,1,0.45
Smartwatch,Sports,87822.75,3.4,106,0.07
Laptop,Home,53403.25,1.9,33,0.35
Smartwatch,Accessories,24976.44,2.9,105,0.37
Laptop,Sports,131606.48,2.2,302,0.29
Smartwatch,Electronics,131818.18,2.7,282,0.03
Laptop,Sports,122219.77,2.8,139,0.36
Laptop,Accessories,70555.29,2.4,405,0.43
Headphones,Home,4759.67,2.5,476,0.31
Headphones,Sports,54571.46,3.8,323,0.36
Laptop,Accessories,83365.45,3.5,130,0.15
Phone,Electronics,65948.95,3.5,64,0.08
Laptop,Accessories,21918.53,5.0,356,0.46
Camera,Electronics,58499.52,3.2,11,0.47
Phone,Electronics,128310.19,4.3,351,0.25
Laptop,Electronics,106829.51,2.8,291,0.32
Laptop,Sports,77656.51,2.1,91,0.12
Phone,Accessories,59779.18,3.6,454,0.18
Headphones,Electronics,66290.2,3.7,179,0.06
Laptop,Electronics,84873.71,2.9,295,0.34
Camera,Accessories,37796.34,2.5,148,0.43
Tablet,Electronics,81333.57,4.5,459,0.0
Smartwatch,Home,81843.76,4.2,326,0.48
Smartwatch,Accessories,9765.19,4.8,420,0.43
Laptop,Accessories,117404.22,1.7,83,0.07
Phone,Accessories,113738.45,3.4,208,0.22
Smartwatch,Electronics,93601.42,2.5,307,0.1
Phone,Accessories,56939.68,3.1,185,0.1
Tablet,Accessories,84911.11,1.1,440,0.43
Headphones,Electronics,73580.72,5.0,140,0.42
Smartwatch,Accessories,62894.64,1.1,138,0.02
Tablet,Electronics,132358.08,,105,0.38
Phone,Home,38854.32,4.8,123,0.04
Tablet,Home,97943.23,4.1,29,0.42
Headphones,Electronics,15359.72,2.9,13,0.07
Laptop,Accessories,46449.11,1.5,157,0.13
Phone,Sports,121482.48,3.1,427,0.23
Tablet,Home,86613.16,4.0,300,0.34
Tablet,Sports,135227.14,2.1,289,0.16
Camera,Electronics,132133.41,2.8,20,0.4
Camera,Home,36415.28,2.1,106,0.3
Camera,Electronics,77354.96,3.3,161,0.32
Laptop,Home,79025.09,2.0,359,0.18
Headphones,Electronics,129169.46,3.3,492,0.21
Headphones,Home,49618.36,1.1,121,0.31
Phone,Home,98147.38,4.2,482,0.08
Smartwatch,Electronics,63517.25,3.3,36,0.1
Laptop,Sports,21402.8,1.1,401,0.21
Tablet,Accessories,64100.23,4.3,424,0.08
Headphones,Accessories,82033.74,2.4,158,0.41
Headphones,Home,121444.52,4.1,232,0.18
Smartwatch,Sports,30730.93,2.0,383,0.08
Tablet,Sports,50632.54,2.9,58,0.29
Headphones,Sports,65005.19,3.9,433,0.27
Phone,Home,122974.22,1.9,344,0.15
Phone,Electronics,119217.15,1.6,130,0.33
Phone,Electronics,6564.27,4.6,249,0.07
Phone,Home,135289.66,4.5,6,0.39
Headphones,Sports,107898.34,1.7,91,0.48
Tablet,Accessories,85189.36,2.6,156,0.18
Laptop,Sports,147240.5,4.7,69,0.3
Smartwatch,Home,147617.88,1.1,110,0.05
Phone,Electronics,89356.55,2.8,482,0.48
Laptop,Accessories,41425.15,1.3,41,0.43
Smartwatch,Sports,32049.63,2.3,20,0.42
Headphones,Home,139426.2,3.9,45,0.44
Headphones,Home,147770.08,2.3,462,0.31
Laptop,Sports,24413.3,3.5,435,0.12
Laptop,Electronics,147534.75,1.3,330,0.37
Camera,Home,19052.24,4.7,185,0.45
Headphones,Accessories,4521.21,4.4,207,0.49
Phone,Electronics,147461.56,1.9,305,0.34
Phone,Home,97728.42,3.4,236,0.42
Headphones,Sports,76101.14,2.9,21,0.47
Headphones,Sports,29677.76,3.1,158,0.39
Phone,Accessories,19944.22,1.7,417,0.06
Laptop,Sports,125225.12,4.7,37,0.3
Camera,Home,123607.1,,385,0.27
Headphones,Sports,95198.59,3.9,415,0.1
Headphones,Accessories,14125.08,3.1,11,0.16
Tablet,Accessories,82439.14,4.1,398,0.39
Camera,Sports,20757.15,2.8,346,0.13
Laptop,Sports,128419.44,2.4,207,0.01
Phone,Electronics,17475.01,2.2,180,0.25
Camera,Sports,57011.17,4.4,440,0.21
Phone,Electronics,72333.96,,0,0.12
Tablet,Home,149212.82,3.2,426,0.31
Smartwatch,Accessories,32438.29,3.1,274,0.46
Tablet,Electronics,60818.4,2.6,70,0.19
Laptop,Home,89146.97,3.9,34,0.18
Laptop,Home,123412.26,4.2,409,0.28
Tablet,Electronics,115499.58,4.4,27,0.49
Headphones,Accessories,5031.41,2.3,110,0.05
Camera,Home,8060.85,4.0,89,0.21
Headphones,Electronics,15921.75,3.9,346,
Headphones,Accessories,52687.5,3.0,275,0.47
Laptop,Accessories,46679.64,4.5,399,0.25
Smartwatch,Home,67763.95,2.4,28,0.31
Laptop,Sports,20750.12,1.5,394,0.35
Laptop,Sports,97763.9,2.8,220,0.13
Camera,Home,134551.53,,493,0.43
Tablet,Sports,35732.58,3.6,231,0.39
Laptop,Electronics,56361.39,1.9,195,0.33
Camera,Electronics,97313.85,3.5,390,0.02
Headphones,Home,113489.66,2.3,90,0.19
Smartwatch,Electronics,122385.81,4.6,495,0.37
Laptop,Electronics,80668.13,4.4,77,0.34
Headphones,Sports,136837.8,1.7,496,0.09
Phone,Accessories,58869.99,1.2,299,0.12
Headphones,Accessories,100759.62,2.1,290,0.42
Laptop,Sports,65352.95,1.1,375,0.42
Headphones,Electronics,31443.06,2.4,465,0.26
Headphones,Sports,59331.96,1.7,449,0.36
Smartwatch,Home,13811.13,3.8,372,0.24
Tablet,Sports,142021.49,1.5,268,0.28
Phone,Electronics,54981.67,2.3,290,0.3
Headphones,Electronics,128593.83,1.6,157,0.25
Smartwatch,Accessories,103950.51,4.2,322,0.22
Camera,Electronics,98500.2,2.1,455,0.31
Phone,Electronics,17776.63,4.4,257,0.3
Laptop,Home,97804.48,3.2,136,0.46
Smartwatch,Home,78325.99,4.6,26,0.4
Tablet,Sports,57625.28,2.4,201,0.15
Headphones,Home,74363.8,3.7,401,0.11
Laptop,Accessories,87605.68,2.8,370,0.05
Smartwatch,Sports,3430.46,1.8,371,0.19
Camera,Sports,146869.54,2.4,172,0.38
Headphones,Home,63049.54,4.4,336,0.43
Phone,Accessories,65557.32,2.0,322,0.44
Camera,Electronics,121989.71,1.3,107,0.34
Phone,Accessories,126468.65,3.8,426,0.15
Smartwatch,Home,11614.25,3.4,303,0.31
Camera,Sports,24911.02,1.8,112,0.08
Headphones,Accessories,131076.95,1.9,80,0.1
Laptop,Sports,100477.13,2.5,233,0.33
Headphones,Sports,36821.76,2.2,230,0.32
Smartwatch,Accessories,146246.92,3.1,211,0.06
Phone,Accessories,58976.35,2.9,166,0.21
Tablet,Accessories,116094.79,3.9,237,0.32
Smartwatch,Home,121254.04,2.1,112,0.19
Camera,Electronics,44462.29,1.4,205,0.47
Camera,Home,96495.93,3.4,150,0.27
Headphones,Sports,85323.59,2.9,96,0.31
Tablet,Home,112794.58,1.1,110,0.48
Phone,Sports,1102.09,4.7,496,0.01
Camera,Home,140656.13,2.0,21,0.42
Smartwatch,Home,20476.2,4.2,95,0.46
Tablet,Electronics,73098.24,1.9,131,0.03
Phone,Sports,136971.57,2.4,54,0.06
Laptop,Sports,45786.36,4.0,130,0.09
Laptop,Sports,69399.08,2.8,250,0.01
Headphones,Accessories,16928.68,1.6,230,0.03
Smartwatch,Accessories,59626.38,2.3,79,0.26
Headphones,Sports,137737.66,1.1,19,0.36
Smartwatch,Home,135733.95,4.3,55,0.12
Headphones,Accessories,16758.48,2.2,160,0.26
Camera,Sports,128189.21,1.3,157,0.37
Camera,Electronics,65518.83,3.9,215,0.45
Tablet,Accessories,24390.39,2.9,456,0.48
Phone,Home,101430.44,2.3,347,0.03
Tablet,Accessories,113941.39,3.2,421,0.38
Phone,Accessories,93206.01,3.2,265,0.29
Camera,Electronics,63741.04,3.2,3,0.21
Tablet,Home,38985.73,4.5,25,0.41
Smartwatch,Accessories,81258.01,3.7,409,0.38
Tablet,Sports,110484.86,1.3,364,0.37
Camera,Electronics,16064.58,4.3,347,0.29
Camera,Home,54023.43,3.8,48,0.3
Phone,Home,121476.14,1.7,120,0.09
Laptop,Accessories,61918.61,3.4,450,0.49
Phone,Home,133207.11,4.0,275,0.12
Phone,Home,110638.7,1.5,123,0.05
Smartwatch,Accessories,87187.82,4.9,15,0.19
Phone,Sports,52325.99,4.3,65,0.07
Laptop,Accessories,44657.16,1.4,382,0.48
Phone,Accessories,81582.29,2.2,333,0.08
Smartwatch,Sports,79420.81,4.3,97,0.12
Tablet,Home,50942.07,1.0,411,0.48
Laptop,Electronics,107037.22,3.5,129,0.22
Smartwatch,Home,15181.31,2.4,209,0.28
Camera,Sports,80878.77,2.0,45,0.24
Camera,Electronics,49126.42,2.5,17,0.21
Laptop,Sports,144969.05,3.6,489,0.08
Smartwatch,Sports,81900.18,5.0,56,0.44
Laptop,Sports,17130.52,3.1,163,0.26
Smartwatch,Sports,58243.77,2.5,99,0.18
Camera,Electronics,101868.02,1.4,19,0.1
Laptop,Home,85966.14,3.4,222,0.5
Camera,Home,111637.79,2.2,179,0.12
Camera,Electronics,85694.37,2.2,363,0.19
Headphones,Home,357.25,2.6,271,0.03
Headphones,Electronics,123075.56,1.8,458,0.3
Headphones,Accessories,105784.22,1.1,47,0.37
Smartwatch,Accessories,95358.6,2.9,290,0.0
Tablet,Accessories,105312.55,1.2,444,0.44
Headphones,Home,91464.3,2.0,100,0.06
Tablet,Home,17483.63,1.3,398,0.49
Headphones,Electronics,80523.91,1.9,369,0.16
Smartwatch,Home,25511.43,3.7,87,0.26
Camera,Home,45717.22,5.0,243,0.32
Laptop,Electronics,50200.67,1.4,398,0.16
Tablet,Sports,26334.04,3.7,136,0.34
Headphones,Accessories,22605.08,2.0,179,0.24
Smartwatch,Sports,142803.48,1.2,173,0.47
Phone,Home,110763.85,,112,0.3
Headphones,Electronics,1647.35,2.9,105,0.36
Phone,Sports,6934.14,2.3,72,0.4
Phone,Accessories,30634.37,3.9,4,0.01
Smartwatch,Accessories,57223.29,3.7,42,0.02
Camera,Sports,149320.23,4.9,381,0.08
Tablet,Sports,26947.86,1.0,430,0.39
Headphones,Electronics,68031.49,3.4,366,0.13
Camera,Sports,15177.69,3.7,256,0.27
Phone,Electronics,139281.52,4.6,315,0.11
Laptop,Electronics,52661.01,3.1,40,0.46
Phone,Electronics,98048.15,2.8,469,0.23
Camera,Home,1304.25,,162,0.43
Camera,Accessories,21431.37,2.0,189,0.43
Tablet,Electronics,57419.03,2.8,252,0.48
Smartwatch,Electronics,130999.02,4.3,361,0.26
Camera,Sports,147865.1,3.3,455,0.17
Headphones,Home,103191.78,2.8,422,0.33
Headphones,Home,75356.94,2.0,482,0.49
Tablet,Electronics,64576.45,4.1,497,0.36
Camera,Electronics,109005.02,3.6,250,0.28
Headphones,Electronics,40129.1,2.3,44,0.47
Smartwatch,Sports,43113.77,3.0,279,0.44
Phone,Home,109664.39,1.8,165,0.48
Camera,Electronics,135100.54,4.6,388,0.24
Smartwatch,Electronics,28191.53,2.5,293,0.06
Phone,Electronics,15733.19,4.0,471,0.03
Camera,Electronics,74720.55,2.1,250,0.21
Tablet,Electronics,44351.94,1.3,168,0.44
Headphones,Sports,2036.48,4.9,249,0.43
Smartwatch,Accessories,135999.36,3.1,40,0.09
Headphones,Home,18599.99,2.5,327,0.18
Tablet,Sports,51964.65,3.0,224,0.21
Phone,Accessories,55202.17,2.0,385,0.15
Smartwatch,Electronics,100402.12,2.3,189,0.32
Camera,Home,106912.7,5.0,214,0.36
Camera,Home,119465.6,3.1,284,0.28
Laptop,Home,101637.97,3.2,269,0.34
Headphones,Electronics,27990.05,1.1,252,0.35
Phone,Electronics,68882.16,1.9,13,0.23
Camera,Sports,33349.45,4.6,82,0.45
Headphones,Electronics,61059.18,4.6,427,0.45
Laptop,Accessories,40253.8,3.0,45,0.33
Headphones,Sports,90685.48,,373,0.38
Camera,Home,87291.69,4.2,92,0.1
Laptop,Accessories,1613.81,4.8,301,0.17
Headphones,Home,30766.91,2.5,253,0.48
Laptop,Home,44265.83,4.9,119,0.13
Phone,Accessories,49453.64,1.2,210,0.19
Headphones,Sports,110869.34,,119,
Smartwatch,Accessories,117968.2,1.1,172,0.45
Phone,Home,95317.62,1.8,34,0.34
Tablet,Sports,24654.05,2.2,130,0.4
Phone,Accessories,138412.62,3.4,302,0.45
Headphones,Home,14193.14,4.8,288,0.09
Smartwatch,Home,118781.92,4.2,216,0.11
Smartwatch,Home,133148.43,2.3,12,0.4
Phone,Electronics,84652.29,2.3,27,0.27
Headphones,Electronics,126674.66,3.1,299,0.09
Smartwatch,Sports,39908.76,5.0,10,0.44
Smartwatch,Sports,97990.75,4.3,331,0.41
Phone,Home,118618.46,1.5,62,0.12
Laptop,Accessories,71316.74,4.7,130,0.24
Phone,Electronics,96423.99,4.7,426,0.34
Headphones,Accessories,117910.38,3.4,3,0.04
Tablet,Home,144649.47,1.2,111,0.16
Phone,Electronics,64297.69,5.0,126,0.23
Smartwatch,Electronics,20082.44,1.1,256,0.22
Phone,Sports,65956.11,4.9,32,0.4
Phone,Accessories,56160.79,1.4,63,0.01
Tablet,Accessories,100448.42,1.7,433,0.37
Laptop,Accessories,95764.39,4.3,72,0.37
Tablet,Sports,50117.96,4.4,213,0.21
Smartwatch,Electronics,42345.55,3.0,256,0.19
Smartwatch,Sports,78913.38,3.0,123,0.04
Headphones,Accessories,128293.61,1.1,22,0.37
Phone,Accessories,42001.85,3.4,403,0.12
Smartwatch,Accessories,42314.8,3.2,40,0.14
Tablet,Electronics,72088.64,4.3,458,0.26
Tablet,Sports,133829.33,1.1,232,0.12
Smartwatch,Accessories,122302.77,1.6,182,0.17
Smartwatch,Accessories,21804.84,3.7,401,0.39
Phone,Electronics,142783.61,3.6,435,0.31
Camera,Sports,141402.28,1.6,233,0.49
Headphones,Accessories,8130.67,4.8,346,0.36
Smartwatch,Home,118720.67,1.6,362,0.21
Headphones,Electronics,140795.64,,45,0.22
Laptop,Home,36504.31,4.2,72,0.03
Camera,Home,51020.05,2.2,446,0.15
Camera,Sports,54258.87,1.3,441,0.32
Laptop,Accessories,28737.38,2.2,362,0.44
Laptop,Accessories,38732.52,2.1,9,0.38
Tablet,Electronics,133333.59,1.5,299,0.48
Smartwatch,Accessories,46628.43,3.1,119,0.17
Laptop,Home,94279.39,2.6,206,0.37
Smartwatch,Sports,100053.28,3.9,346,0.45
Headphones,Sports,117632.39,4.3,46,0.38
Camera,Accessories,25354.48,1.0,277,0.32
Tablet,Home,61678.77,3.8,105,0.34
Headphones,Sports,96201.8,1.2,497,0.18
Headphones,Accessories,16697.41,1.3,232,0.25
Camera,Sports,128987.91,3.5,88,0.29
Laptop,Accessories,11643.42,1.1,113,0.29
Smartwatch,Home,147736.34,2.6,216,0.22
Laptop,Home,80662.58,1.7,89,0.18
Camera,Accessories,18227.79,4.9,221,0.4
Camera,Home,121907.89,3.6,451,0.02
Smartwatch,Accessories,61099.37,4.1,493,0.44
Phone,Home,53574.23,4.0,136,0.44
Laptop,Sports,95456.1,2.7,399,0.37
Headphones,Sports,146632.5,4.7,41,0.36
Laptop,Sports,65778.63,3.2,176,0.44
Phone,Accessories,63038.0,4.2,30,0.02
Smartwatch,Accessories,84833.36,2.9,264,0.38
Tablet,Home,113466.33,2.6,86,0.38
Phone,Accessories,59577.02,3.9,400,0.42
Laptop,Electronics,48689.71,1.7,412,0.36
Tablet,Home,26101.98,1.3,216,0.09
Camera,Accessories,128973.8,,33,0.27
Phone,Sports,89690.67,2.9,375,0.28
Camera,Electronics,37916.87,2.4,156,0.39
Headphones,Home,22999.72,2.8,278,0.42
Tablet,Electronics,50085.65,2.3,71,0.11
Phone,Home,89232.83,1.5,468,0.42
Headphones,Electronics,30467.87,3.0,377,0.28
Camera,Sports,116025.71,1.6,173,0.18
Phone,Home,62424.76,4.2,1,0.34
Smartwatch,Electronics,126880.83,3.2,214,0.49
Tablet,Sports,2012.45,4.2,79,0.15
Headphones,Home,147257.79,4.1,385,0.27
Phone,Accessories,87298.78,4.6,59,0.09
Laptop,Home,91564.67,2.7,342,0.48
Laptop,Accessories,121932.01,1.8,263,0.32
Laptop,Accessories,62286.7,4.9,112,0.19
Headphones,Home,124646.62,1.2,193,0.3
Smartwatch,Home,87712.12,4.2,216,0.33
Laptop,Home,80553.04,3.1,476,
Phone,Accessories,51124.84,1.4,180,0.46
Camera,Sports,83777.23,3.2,128,0.06
Smartwatch,Sports,66942.79,1.2,99,0.12
Phone,Home,35370.14,2.9,215,0.12
Tablet,Home,125643.92,4.6,47,0.02
Tablet,Sports,148560.89,3.9,4,0.39
Headphones,Home,28246.36,2.9,9,0.32
Tablet,Electronics,88336.25,1.0,39,0.35
Phone,Home,77134.52,4.3,134,0.01
Smartwatch,Accessories,56702.39,3.3,122,0.0
Camera,Electronics,28689.73,3.4,341,0.42
Headphones,Electronics,8686.6,2.3,353,0.12
Smartwatch,Electronics,1082.03,1.8,305,0.11
Laptop,Sports,68136.66,1.2,14,0.39
Laptop,Electronics,68450.75,3.4,385,
Smartwatch,Home,76447.2,2.6,153,0.32
Laptop,Accessories,33149.86,1.6,152,0.13
Phone,Sports,101549.51,1.3,184,0.22
Camera,Sports,105349.81,1.3,228,0.5
Headphones,Home,79333.7,4.2,78,0.25
Smartwatch,Home,112103.65,4.4,193,0.47
Laptop,Accessories,64368.8,1.5,155,0.33
Smartwatch,Accessories,8954.21,1.9,483,0.37
Tablet,Electronics,92907.01,2.0,126,0.36
Headphones,Home,64603.35,4.1,349,0.49
Tablet,Electronics,23510.39,4.0,223,0.45
Laptop,Sports,95047.46,1.9,72,0.11
Tablet,Accessories,83267.72,1.1,42,0.23
Headphones,Electronics,85381.74,3.2,132,0.18
Smartwatch,Home,50745.77,3.9,324,0.25
Tablet,Electronics,37680.19,3.3,447,0.07
Laptop,Sports,124374.22,4.4,387,0.08
Camera,Sports,99783.88,1.8,371,0.47
Camera,Home,136169.48,2.4,474,0.24
Phone,Accessories,81679.77,3.7,64,0.31
Headphones,Home,127142.74,2.2,337,0.29
Phone,Sports,126519.95,4.8,323,0.17
Smartwatch,Accessories,37769.76,3.7,27,0.49
Smartwatch,Electronics,141899.54,2.2,461,0.21
Laptop,Home,121582.43,4.3,13,0.27
Smartwatch,Sports,7822.24,1.2,23,0.37
Laptop,Sports,128704.66,3.6,122,0.04
Phone,Accessories,137974.93,3.6,187,0.11
Tablet,Sports,23982.93,1.3,125,
Laptop,Accessories,39077.38,1.8,383,0.36
Laptop,Sports,139985.33,2.9,408,0.25
Smartwatch,Sports,48758.45,4.1,438,
Laptop,Accessories,30149.64,4.7,358,0.27
Headphones,Accessories,98134.42,4.1,148,
Tablet,Sports,13386.43,2.1,98,0.19
Tablet,Accessories,68533.42,3.8,349,0.2
Laptop,Home,93255.17,1.3,310,0.36
Camera,Home,87168.66,2.5,78,0.21
Tablet,Sports,79123.15,4.9,157,0.03
Camera,Sports,5431.92,4.6,362,0.46
Tablet,Electronics,121722.81,2.7,80,0.34
Phone,Accessories,145818.63,1.5,347,0.13
Tablet,Electronics,70605.14,2.0,334,0.17
Tablet,Electronics,133071.92,1.7,199,0.23
Laptop,Home,98777.8,4.9,70,0.13
Camera,Accessories,147640.3,3.7,78,0.12
Headphones,Sports,48357.98,3.3,209,0.15
Smartwatch,Accessories,122917.01,3.9,183,0.43
Phone,Accessories,130835.86,1.8,258,0.31
Camera,Sports,138841.5,1.1,3,0.23
Phone,Sports,91533.52,3.0,246,0.46
Headphones,Accessories,28901.71,2.3,30,0.32
Laptop,Accessories,58851.05,2.2,18,0.36
Camera,Accessories,9339.69,2.0,279,0.23
Smartwatch,Home,38833.63,4.4,142,0.44
Phone,Accessories,47242.16,4.1,299,0.11
Smartwatch,Home,121516.55,2.8,248,0.25
Tablet,Sports,145301.85,2.9,423,0.09
Tablet,Electronics,2808.2,4.9,131,0.25
Tablet,Home,730.98,4.4,156,0.39
Tablet,Electronics,106686.9,1.9,247,0.23
Camera,Sports,56037.8,4.2,222,0.22
Tablet,Electronics,35089.1,4.5,365,0.39
Camera,Accessories,105430.3,2.4,482,0.29
Laptop,Sports,113472.57,3.4,250,0.0
Laptop,Accessories,35265.98,3.6,30,0.12
Smartwatch,Accessories,133197.6,5.0,287,0.05
Laptop,Sports,130610.73,4.8,399,0.46
Headphones,Electronics,134361.97,3.1,112,0.05
Tablet,Electronics,139201.92,,228,0.15
