area_sqft,price_lakhs
907.35,165.41
1138.68,207.17
791.41,137.93
1013.46,221.54
854.45,175.56
933.95,182.94
1108.3,222.01
613.62,97.14
1632.34,274.95
547.89,113.4
475.03,63.39
1305.34,218.74
1177.08,208.23
1118.44,128.82
1119.92,182.83
895.71,182.12
585.96,108.63
926.53,181.72
662.99,137.15
1241.29,201.06
848.53,101.82
611.08,112.12
787.51,135.18
1044.53,172.03
702.7,111.89
612.22,137.22
985.29,156.03
985.74,189.63
722.57,148.06
735.14,158.78
981.22,143.76
393.17,64.7
407.39,135.63
648.54,183.29
825.29,198.33
1008.82,199.31
1416.37,262.51
1200.18,196.91
844.02,109.88
893.34,184.17
549.11,88.29
893.52,124.92
798.97,155.76
1012.95,256.06
610.47,121.61
1081.77,183.72
1436.46,275.19
861.93,138.25
1040.6,176.37
1141.55,216.96
759.57,96.96
978.43,183.18
904.41,158.86
934.19,165.85
629.45,99.18
908.58,202.04
1074.3,167.03
1407.9,243.18
1235.74,231.43
1653.61,335.35
631.43,82.45
1205.31,228.79
964.17,167.2
1666.43,355.58
617.1,127.5
606.1,103.43
690.21,91.63
250.0,45.02
715.99,126.07
634.3,52.81
952.64,169.01
1019.61,220.63
1556.66,294.2
1232.65,220.81
698.08,123.55
585.55,93.84
1072.17,175.96
437.92,89.03
1541.01,265.89
1312.8,241.2
735.79,150.35
300.4,20.0
1373.86,210.89
859.91,136.3
1333.24,229.15
341.95,40.09
690.22,104.18
901.84,141.22
916.44,146.57
742.48,149.43
1118.0,187.56
526.33,117.48
850.17,181.28
942.1,183.02
1080.05,158.75
1149.07,187.14
506.38,108.07
363.06,106.09
1347.19,196.36
1016.31,204.08
638.03,91.9
1442.9,216.71
940.49,186.98
1312.75,202.11
923.63,131.31
1621.26,353.55
1514.37,230.43
812.86,116.38
1240.05,221.37
1125.88,184.62
1379.02,255.75
562.28,112.96
1140.12,180.0
1270.45,281.81
284.44,20.0
485.86,79.94
250.0,41.12
805.71,145.83
1151.14,225.05
1425.82,275.07
925.93,164.94
1470.02,291.55
416.96,39.69
303.82,59.58
880.56,181.25
1034.42,186.06
888.56,152.65
250.0,42.31
868.81,161.44
443.44,84.92
1134.39,223.33
1028.31,203.38
571.04,96.9
720.15,135.17
529.28,85.69
878.06,114.96
1234.3,255.36
555.0,139.35
1076.42,199.17
714.41,120.05
622.49,98.15
862.54,191.13
537.67,78.41
706.22,107.65
480.74,31.34
1587.65,301.46
912.34,202.44
655.1,130.48
974.89,162.19
860.69,108.31
822.66,159.87
1114.96,208.77
1165.13,193.84
714.32,125.06
698.46,141.96
803.73,163.67
250.0,60.31
369.68,99.83
1378.41,254.44
1475.74,282.29
812.84,136.99
1101.79,173.74
1008.94,194.34
1977.61,366.9
1291.85,219.58
855.23,178.41
565.56,95.83
337.74,20.0
971.21,178.39
635.28,80.27
402.21,20.0
673.7,115.15
521.46,109.82
1490.5,257.78
1208.57,220.66
897.21,152.9
1417.98,247.24
927.08,125.08
598.55,48.22
1433.09,261.53
1088.62,181.29
536.96,62.15
833.38,143.1
593.53,72.78
416.02,72.15
1224.16,152.73
1568.3,312.63
410.5,98.41
1097.04,173.53
672.28,131.4
729.51,115.48
692.66,181.06
597.6,69.5
916.98,193.02
609.17,132.46
994.66,149.84
882.42,186.25
816.37,135.49
582.35,84.91
698.13,132.16
1164.39,203.71
1075.32,196.45
557.86,82.91
934.77,168.28
1162.99,234.84
315.71,30.74
1090.18,204.65
668.08,103.91
1099.71,181.07
632.86,174.34
268.29,86.68
330.36,44.07
916.83,150.92
990.9,158.09
583.49,125.41
1123.51,168.38
318.47,67.02
876.87,217.21
476.14,90.33
671.86,146.78
916.59,187.65
598.86,96.06
765.41,103.19
1252.2,251.01
698.09,150.97
1192.49,262.84
504.6,91.07
1085.43,170.11
1404.55,255.62
250.0,26.77
621.09,133.03
1101.98,217.03
828.93,165.59
1029.9,168.89
688.61,119.64
930.31,126.39
845.51,128.24
1308.72,219.28
989.05,149.6
1018.16,170.81
755.84,140.7
729.34,103.05
748.6,109.09
1038.06,191.88
752.66,131.81
1001.42,190.31
1626.39,315.88
1204.89,232.09
785.89,163.96
1320.42,250.85
757.17,58.7
250.0,23.37
547.17,62.56
250.0,43.43
776.97,130.15
906.45,185.0
1486.75,224.79
1014.42,148.19
823.31,134.42
1190.29,226.69
250.0,35.24
982.47,192.57
1169.8,205.83
382.49,69.4
1300.31,238.93
1018.47,128.83
754.65,148.29
1121.47,194.25
1694.74,319.51
963.65,217.17
986.88,209.91
739.22,130.42
602.55,124.2
1190.62,195.02
600.37,73.95
925.05,141.19
732.82,150.81
1067.64,176.65
1016.78,182.83
1263.14,225.51
721.49,191.44
805.54,106.99
557.43,95.66
744.5,147.85
1032.06,192.88
1164.95,201.62
577.24,89.6
1204.36,241.19
1374.47,218.48
1044.7,192.48
1556.88,259.85
629.17,95.05
464.37,70.73
277.45,45.6
1423.62,245.04
1129.03,205.54
880.55,174.65
997.99,191.63
506.08,93.04
1756.01,316.41
945.23,173.56
938.29,169.35
1154.02,213.81
1068.35,153.58
978.36,141.9
623.33,114.13
1065.01,201.04
1558.71,234.14
1370.9,255.69
1457.62,241.95
721.07,140.92
553.64,70.75
855.97,203.11
919.5,173.7
1282.97,257.12
307.64,48.83
1435.34,277.56
844.7,165.48
750.59,120.33
545.76,91.35
320.8,95.04
1188.11,242.47
925.66,131.3
448.51,106.2
446.72,72.83
782.48,134.71
1484.16,258.52
809.14,167.25
373.9,97.62
813.99,165.6
804.55,142.64
250.0,46.88
881.0,150.64
819.17,116.01
1143.67,211.24
1547.13,309.67
1294.3,257.61
805.89,136.05
512.72,87.38
1800.68,325.91
920.73,164.37
904.88,150.21
891.56,170.9
969.33,154.36
849.47,161.65
699.22,159.59
708.6,112.67
888.54,163.29
709.8,134.43
650.5,134.71
937.25,151.72
810.76,106.04
1426.4,306.03
250.0,62.76
1282.03,209.6
1336.13,198.14
250.0,31.67
780.06,149.49
770.0,113.83
407.37,81.16
627.76,114.64
511.3,97.35
1513.29,317.73
1227.49,253.5
1345.04,218.8
1152.59,178.76
504.83,68.21
716.42,113.36
1071.28,214.86
472.26,77.7
1149.55,198.73
815.89,181.69
768.81,143.84
1148.84,219.83
1055.49,155.06
773.66,137.99
1305.77,222.78
521.63,62.35
1115.58,193.3
1107.59,181.02
791.66,158.38
1014.15,182.16
462.11,81.59
1223.41,182.68
835.28,171.33
717.05,86.37
1267.15,212.7
653.48,109.8
407.04,85.09
355.18,56.09
1112.1,177.16
451.85,103.57
1514.18,229.62
250.0,62.36
1493.76,280.98
973.86,169.67
866.15,157.03
709.28,117.1
1039.7,162.25
886.83,129.47
1286.16,204.79
939.98,137.39
952.61,194.96
772.74,155.49
880.07,151.97
1007.73,121.56
301.44,38.72
428.14,91.8
1160.14,208.55
959.8,148.75
835.61,140.14
906.45,182.46
1021.65,232.41
711.08,155.28
627.59,105.04
968.55,148.38
557.57,84.54
1042.89,218.81
304.1,51.22
1260.2,166.84
1065.41,142.66
989.61,152.42
1243.94,151.29
1482.92,288.6
1255.03,282.56
255.69,69.02
452.15,106.62
681.31,146.3
909.13,132.57
1081.18,190.11
645.99,116.94
965.37,217.07
635.62,97.22
685.97,140.63
407.67,54.53
576.87,73.79
426.91,48.7
558.44,59.1
1268.77,225.43
567.71,121.38
1821.33,391.6
1072.66,211.95
964.69,152.53
599.57,134.22
1145.11,226.76
698.53,121.75
942.7,143.68
1796.03,279.94
866.38,135.3
1302.25,236.67
653.89,152.49
887.75,139.65
1519.78,276.87
680.56,135.54
1534.36,258.88
1147.71,175.33
703.14,126.09
1121.34,175.13
1240.39,184.67
1117.63,239.2
350.42,48.07
645.5,128.07
813.37,153.26
873.95,126.64
1117.24,207.34
962.2,181.15
432.63,81.41
1033.07,186.52
1113.71,213.57
1095.93,208.51
1278.27,245.37
1191.87,184.18
1060.71,147.38
875.44,143.77
318.66,54.68
1050.37,208.71
972.69,224.18
995.05,160.16
453.14,110.83
521.63,95.64
1268.6,212.72
886.16,169.14
1138.53,214.12
909.91,170.54
910.41,198.32
1228.4,206.54
719.38,138.41
933.64,124.64
738.2,94.53
747.93,132.2
791.79,122.64
977.75,206.96
732.44,152.3
1339.51,252.5
586.89,102.45
834.59,124.58
746.09,59.46
1406.44,232.6
968.79,183.05
1261.15,198.16
380.05,103.96
993.47,181.67
1211.37,234.77
928.8,202.37
1272.92,204.59
718.95,122.34
1393.27,266.27
1704.61,268.22
773.01,148.22
744.07,163.56
1408.68,268.08
1452.85,268.4
717.0,92.99
752.93,132.84
801.38,111.24
429.44,75.38
578.47,104.85
548.55,79.49
631.27,146.19
887.86,125.15
981.98,237.31
1442.68,277.69
550.58,119.82
1244.51,226.1
825.1,108.28
882.69,141.68
1136.19,195.56
507.05,86.25
1033.84,167.58
958.26,212.81
1072.36,168.3
1001.21,172.22
1759.36,291.21
676.79,116.45
714.15,79.09
681.9,109.45
705.58,152.79
676.91,123.91
1316.16,198.68
1397.18,257.7
700.24,138.01
608.68,116.08
1065.0,199.82
706.72,165.43
1121.53,231.03
971.02,155.7
369.49,51.8
1441.63,238.99
1528.56,278.67
685.52,139.19
764.3,101.58
1000.05,186.09
1017.06,163.95
1130.49,175.43
1603.57,291.21
838.07,197.01
620.6,111.51
417.24,99.49
644.17,120.29
888.41,156.24
1528.1,287.17
718.84,114.51
978.33,138.23
894.25,127.39
1315.94,232.66
1784.43,329.92
714.2,133.65
728.7,114.31
1265.46,226.87
1138.66,191.0
1546.35,246.19
1104.37,152.49
774.25,130.04
1106.73,217.95
1288.05,229.11
1187.17,176.92
1077.55,220.59
1273.34,209.44
1309.25,176.41
1383.76,245.36
1127.05,229.3
841.51,154.7
951.35,143.11
1322.28,211.99
614.07,137.28
1029.04,168.14
762.33,103.34
910.06,133.59
1347.46,232.5
966.88,205.65
916.25,180.61
424.05,77.98
1161.19,268.9
1125.92,215.23
1657.14,366.15
792.28,130.92
976.7,174.91
987.28,157.96
1452.11,263.28
866.65,150.02
997.66,256.32
1112.76,193.51
965.31,200.91
743.75,132.47
967.93,189.53
1275.77,237.44
540.72,107.8
946.54,169.81
654.96,74.91
1318.27,259.28
366.88,20.0
704.38,162.63
1032.02,198.63
1447.93,267.05
876.99,158.42
705.68,159.39
1558.4,313.57
393.2,32.23
250.0,20.0
1054.01,204.16
724.28,130.13
542.57,82.2
1147.92,209.43
985.33,152.32
702.57,138.59
451.89,60.28
1205.36,212.74
1127.57,214.64
865.29,140.03
1546.32,266.7
525.47,91.15
366.07,72.27
657.83,152.15
884.04,147.94
985.17,195.35
815.57,160.46
1023.22,190.84
461.96,104.63
1405.32,291.52
871.25,158.59
1291.05,249.35
1019.95,169.3
1059.86,181.85
1099.42,172.14
1056.7,182.48
1124.95,209.21
1365.2,245.39
968.78,168.44
1148.15,200.52
868.59,153.0
1404.04,249.57
663.26,158.24
1530.33,274.45
885.94,133.64
399.23,118.08
944.84,168.7
661.63,114.96
1194.23,192.24
671.58,101.69
743.84,173.58
250.0,22.37
741.69,114.45
250.0,59.95
345.63,23.37
1166.15,235.25
1175.03,226.77
1048.91,185.3
561.56,110.8
883.3,198.14
898.74,181.87
494.57,111.13
1426.19,270.07
1207.08,212.37
822.66,145.35
909.41,168.96
972.93,190.8
250.0,34.39
813.49,159.43
661.31,112.98
549.43,104.86
801.61,146.36
1529.19,285.03
1124.3,211.45
700.09,125.95
1100.4,177.46
1389.77,284.39
1223.62,208.88
920.87,195.1
673.57,91.82
1144.38,178.38
1037.72,214.21
1213.32,262.04
1122.31,216.61
1267.34,192.84
712.67,156.72
1361.09,221.65
969.16,146.88
1626.34,296.61
658.78,106.16
1507.59,291.68
969.27,187.32
672.0,112.46
730.64,147.43
787.88,197.59
1048.46,181.8
1082.99,203.71
699.2,141.17
891.48,174.74
1649.79,349.42
1504.64,299.79
1052.71,165.01
913.3,140.63
942.01,166.69
1114.73,215.31
542.02,123.26
809.92,171.34
316.0,56.48
1039.73,202.21
1126.52,242.59
730.88,144.93
1450.9,270.85
470.98,109.42
387.47,75.63
978.56,193.78
1266.48,275.01
1489.37,239.37
739.39,128.87
1277.54,215.29
886.52,143.15
839.58,137.39
1209.28,164.73
1128.31,192.44
348.26,89.79
1416.79,224.31
1383.03,206.02
681.05,108.37
1038.53,167.75
1072.91,214.38
991.24,222.14
707.39,183.02
664.93,101.31
891.06,175.48
1310.46,235.34
1090.26,206.73
770.28,152.99
1170.09,209.03
250.0,21.43
1302.07,215.2
291.1,57.66
773.15,148.5
508.12,76.05
446.86,74.9
1306.29,264.35
736.3,132.89
1021.28,195.54
883.58,196.64
1066.96,195.62
926.89,155.48
450.95,69.01
1248.69,240.68
727.19,93.33
355.2,101.58
750.16,164.12
1425.27,223.06
1197.58,202.87
777.97,127.32
777.76,153.47
787.43,122.95
1626.86,233.35
1033.68,216.74
1050.51,131.87
1260.6,269.14
983.58,167.37
809.34,145.28
831.28,143.01
874.94,146.36
886.97,161.44
1154.67,201.17
918.18,144.14
1156.42,223.45
871.75,151.15
927.52,216.29
250.0,22.89
1220.71,232.08
1021.27,170.53
1249.3,209.21
250.0,44.55
1630.93,309.71
851.14,173.24
1287.86,227.8
536.03,135.84
1114.47,221.44
531.3,102.84
681.68,139.98
1569.91,257.48
833.26,178.51
976.1,143.23
1204.52,227.71
1073.49,191.18
952.65,135.65
1027.74,154.45
1741.2,312.65
879.83,155.86
970.38,155.91
1267.73,218.45
1286.93,194.89
1315.46,200.73
1123.56,194.35
499.95,44.22
1471.7,259.47
498.78,101.1
1005.92,176.02
636.0,126.52
877.55,139.1
1015.07,132.32
1012.48,195.45
1047.67,181.24
1464.8,235.81
1058.74,181.19
814.55,126.44
1237.43,242.0
1316.31,212.38
470.34,62.77
1109.09,197.97
1145.41,206.31
795.85,136.44
1381.5,197.64
847.48,111.54
943.95,173.26
839.42,122.21
905.45,175.45
516.3,34.35
395.98,58.42
1458.08,231.22
603.56,71.26
553.01,59.97
250.0,36.69
676.36,102.59
436.92,62.22
1474.71,235.38
1253.44,245.96
659.15,117.25
1688.35,293.52
1243.62,238.78
786.31,141.37
250.0,24.57
1701.83,313.12
413.65,114.83
324.11,50.32
1257.9,237.01
1753.91,343.55
1384.5,251.21
1097.37,221.36
1108.16,192.58
1198.7,156.45
1165.63,175.37
998.42,192.86
936.47,211.27
878.09,138.28
636.11,152.93
801.76,116.42
307.47,44.42
865.58,154.08
553.99,110.48
513.74,105.41
962.96,170.62
1387.2,310.93
1221.41,227.01
350.32,46.4
553.63,144.07
1229.27,226.69
556.13,131.98
821.38,106.93
1092.52,200.47
561.08,93.14
936.88,155.3
433.09,82.43
689.52,152.34
1011.92,178.31
342.45,97.19
1054.17,158.84
893.13,168.66
1093.37,210.04
978.37,116.81
1377.45,259.98
943.83,163.54
749.71,145.22
942.8,199.42
1090.15,201.96
917.1,158.32
914.21,126.82
654.3,115.76
667.98,156.35
409.09,20.0
1512.35,301.36
464.65,99.38
657.48,116.94
648.56,131.77
1213.22,246.92
796.77,132.47
1336.71,242.86
664.28,119.75
997.65,218.18
607.63,109.51
1650.8,300.8
484.34,110.66
1008.44,194.21
1121.82,207.39
1044.83,154.94
835.15,139.74
854.56,162.85
915.33,167.94
848.55,149.27
1237.36,240.02
1673.68,355.31
704.88,128.75
420.57,92.11
869.1,151.44
1802.9,296.43
618.71,103.76
1473.69,270.12
1487.2,266.2
706.24,129.48
1099.14,154.71
1469.94,252.98
767.31,97.85
828.75,156.77
696.41,124.93
544.84,93.35
672.75,83.3
471.62,80.96
911.93,200.58
630.51,99.81
981.83,179.31
355.44,68.79
1015.81,144.65
1191.74,176.95
250.0,20.0
1030.92,195.22
1329.68,270.06
476.63,129.47
1485.4,263.91
1046.66,215.76
653.25,107.59
880.48,128.26
1095.41,175.53
926.6,155.97
1088.56,195.01
577.76,102.17
959.28,188.03
405.2,68.06
861.07,178.42
583.63,88.86
642.56,105.47
1332.63,281.0
1281.96,179.27
1113.2,261.25
517.69,105.71
789.26,218.14
1324.58,272.55
949.6,165.55
1711.77,276.39
1037.66,225.6
967.22,132.82
791.81,154.42
946.74,146.85
846.64,176.52
1147.84,166.45
1234.85,241.6
624.9,124.81
434.07,83.87
257.33,55.97
1077.8,199.35
513.82,73.59
250.0,20.0
1036.0,183.36
1772.55,369.86
897.88,175.92
1193.47,196.89
928.64,185.36
865.39,148.59
1221.68,198.47
798.4,174.22
993.59,196.74
1012.59,181.72
666.17,157.24
1247.21,236.96
838.76,156.59
635.49,69.77
1087.78,228.09
585.54,66.57
909.86,168.14
896.81,169.1
1280.06,217.72
1066.14,164.64
891.24,163.7
1186.22,228.97
1386.57,232.7
1095.23,182.77
903.62,134.15
440.86,38.47
527.21,91.12
793.17,124.4
686.67,140.19
834.56,167.03
919.83,180.5
1085.39,177.52
875.33,181.31
1070.28,168.72
922.57,186.63
250.0,57.41
571.23,120.02
849.57,117.97
476.61,116.95
1109.98,203.96
1435.76,257.73
1326.57,215.0
825.29,133.69
1421.75,250.67
952.03,166.26
782.02,182.37
685.31,121.66
794.14,135.35
764.14,131.71
959.65,182.33
956.2,177.87
901.07,136.08
1052.93,235.71
1316.73,231.07
1232.34,188.89
380.29,52.26
250.0,43.94
1227.01,262.55
421.59,69.71
821.33,126.62
490.46,79.74
269.31,45.24
1089.51,192.4
1165.7,165.89
698.22,100.64
250.0,65.35
708.81,137.49
1037.13,195.32
382.38,53.82
964.18,136.03
894.64,163.44
1102.75,208.87
941.85,215.25
559.43,79.9
1318.8,253.57
844.51,166.12
890.44,114.15
573.36,111.02
744.85,112.38
590.32,120.46
839.47,169.56
1499.1,253.23
419.83,85.78
335.25,107.11
1414.91,262.98
826.74,140.86
665.82,125.07
1263.97,213.35
688.03,102.74
1539.1,302.09
1137.27,200.41
729.23,146.87
1655.06,285.8
688.0,146.48
1159.73,222.99
1004.75,224.16
1355.61,249.32
1446.53,259.82
911.2,155.24
636.3,121.58
1060.99,190.28
662.8,130.13
1604.69,267.31
947.79,178.33
772.14,138.61
964.64,181.42
428.51,30.73
559.94,91.64
1320.14,271.76
670.09,106.02
533.58,89.43
1087.83,183.67
1315.0,205.92
1151.63,187.86
1248.62,211.2
635.12,129.52
402.37,66.67
1425.47,278.13
787.06,145.93
812.21,127.4
1364.87,185.05
1094.68,241.46
1059.56,204.72
1657.75,281.31
674.77,154.6
1224.74,222.39
919.95,162.42
994.01,230.21
1434.96,272.09
1077.74,230.28
1088.4,231.75
1275.38,219.69
772.27,122.38
606.28,133.33
534.32,117.88
250.0,51.04
1619.67,303.62
513.88,85.12
822.56,134.03
803.12,126.65
1007.59,215.81
1185.51,274.88
1201.17,208.42
695.92,136.59
841.51,153.77
998.9,192.65
812.96,131.27
1462.57,262.75
1071.84,170.79
1157.21,206.86
1132.01,211.84
1310.72,280.64
963.36,159.77
446.11,92.46
1039.89,236.71
672.03,121.14
714.98,75.32
1105.23,159.67
1333.4,246.66
907.45,155.62
1008.09,168.48
1495.78,322.32
984.26,184.22
1810.59,338.14
1097.93,212.4
283.73,36.96
1163.67,221.58
1033.41,165.49
1351.41,243.46
1135.61,194.65
851.54,122.07
471.5,78.26
826.84,143.13
602.32,92.02
696.82,124.64
1106.0,163.83
1484.47,198.81
1038.14,121.45
481.44,82.98
1055.61,202.35
1318.82,243.17
686.58,151.88
853.09,164.7
905.14,153.72
625.29,97.73
1126.9,235.3
857.67,210.72
1046.84,195.14
589.38,122.87
746.89,103.73
1152.83,167.17
769.51,173.2
1504.44,231.62
760.13,156.57
978.64,224.01
1226.41,261.37
403.57,67.58
283.72,40.88
366.02,71.23
1341.9,214.11
706.85,124.65
1795.37,349.63
702.51,182.7
964.59,202.8
1439.74,288.02
1602.13,325.16
1621.53,236.8
1322.93,240.72
1258.42,188.86
1107.38,172.24
1172.43,206.8
707.08,165.07
613.63,102.67
898.82,147.54
840.44,148.32
741.37,132.24
1143.74,167.35
1234.36,252.55
930.94,163.14
1417.14,234.32
500.41,112.35
832.22,125.21
649.11,134.38
250.0,45.52
871.06,119.16
857.39,168.68
1429.71,219.71
1120.78,197.91
541.53,60.85
1548.93,298.38
1327.36,217.2
1103.73,198.48
820.73,169.42
564.2,70.11
769.73,115.34
1281.06,199.79
1559.61,253.05
1440.14,288.4
728.9,133.11
508.13,80.91
949.31,143.0
281.05,38.95
1013.11,172.59
848.34,131.29
736.89,141.88
341.85,38.86
1079.76,158.76
713.55,97.23
490.53,75.8
250.0,78.67
890.37,196.49
1520.29,236.32
1481.44,242.86
740.02,77.12
689.23,119.17
1064.07,173.77
550.57,105.59
1005.63,157.88
1168.13,232.92
1329.43,248.98
864.95,150.45
828.71,127.47
592.71,161.98
610.59,109.64
820.73,140.08
1028.58,190.75
1219.75,170.53
618.89,94.13
1422.44,272.91
805.11,165.8
892.52,173.32
638.48,60.56
250.0,40.32
1209.42,195.76
1157.9,219.95
801.54,147.87
923.45,186.0
1080.58,185.09
353.11,65.61
714.83,164.69
1177.99,250.62
461.0,107.73
1002.75,136.34
425.2,65.04
1063.25,224.38
887.53,158.73
334.7,42.75
1307.66,239.26
642.89,100.12
616.41,114.84
970.2,178.68
1302.02,219.91
544.46,103.09
921.59,154.43
1050.09,176.48
1142.59,213.22
961.75,188.08
771.54,139.95
610.34,82.84
930.15,143.74
524.75,126.78
250.0,39.32
1052.8,172.54
1216.38,268.31
250.0,77.92
546.59,125.29
1116.7,201.21
1620.12,285.86
907.28,157.88
645.2,108.17
835.99,161.59
1381.21,270.1
673.91,56.14
620.28,88.61
731.04,116.08
566.33,59.64
942.93,174.85
1468.64,234.69
1013.08,211.96
811.68,142.36
797.87,146.17
352.88,83.3
1209.09,225.33
872.76,159.81
836.83,141.35
2017.59,358.05
1004.56,163.16
636.87,137.71
750.77,147.78
1301.96,285.55
939.64,182.14
396.6,75.56
1221.73,226.78
666.15,102.58
1555.65,310.06
1278.02,226.04
743.44,81.91
1348.36,208.35
923.75,161.97
1198.47,177.93
1069.66,167.93
603.78,128.38
674.76,142.71
1260.49,242.58
782.83,160.42
758.72,152.67
565.71,120.56
1048.26,198.21
1621.88,306.49
526.36,135.67
908.48,157.59
1394.28,308.0
872.13,147.95
1058.33,178.55
528.16,102.78
1049.91,178.72
834.5,95.66
1245.01,201.66
1315.59,221.94
1806.35,315.13
1102.87,154.22
1014.03,164.48
968.03,158.58
776.39,121.42
1018.47,174.1
796.61,164.17
958.96,195.37
1361.16,251.35
547.71,124.8
1298.96,235.17
1360.99,273.18
858.68,164.3
250.0,28.25
