match_id,team1,team2,winner,venue,runs,wickets,overs
83,KKR,CSK,SRH,Chinnaswamy,172,4,13.3
84,CSK,RCB,RCB,Chinnaswamy,168,3,14.7
85,MI,SRH,PBKS,Chepauk,92,9,16.8
86,CSK,SRH,RR,Wankhede,205,6,15.7
87,MI,SRH,SRH,Chinnaswamy,81,6,12.6
88,MI,DC,PBKS,Chepauk,83,5,12.1
89,RR,CSK,SRH,Wankhede,199,1,16.1
90,SRH,PBKS,SRH,Chepauk,138,5,14.5
91,RCB,RCB,RCB,Kotla,227,3,10.9
92,RR,RR,RCB,Wankhede,147,4,13.3
93,SRH,CSK,PBKS,Kotla,169,0,11.9
94,RCB,RR,SRH,Eden Gardens,194,5,11.5
95,DC,KKR,RR,Narendra Modi Stadium,236,8,19.3
96,KKR,KKR,SRH,Eden Gardens,142,6,14.1
97,MI,DC,SRH,Chepauk,232,6,19.4
98,PBKS,RCB,CSK,Chinnaswamy,85,8,18.3
99,RCB,DC,RR,Chepauk,193,7,19.6
100,RCB,MI,PBKS,Chinnaswamy,117,3,10.5
101,RCB,KKR,KKR,Eden Gardens,157,7,19.1
102,DC,CSK,RR,Chepauk,111,1,11.3
103,RCB,MI,PBKS,Wankhede,227,1,16.5
104,RCB,PBKS,SRH,Eden Gardens,174,5,16.7
105,RCB,MI,MI,Wankhede,130,4,19.1
106,RCB,MI,RR,Eden Gardens,124,1,19.1
107,SRH,PBKS,KKR,Narendra Modi Stadium,207,8,13.9
108,KKR,PBKS,SRH,Eden Gardens,131,1,15.9
109,SRH,PBKS,RCB,Narendra Modi Stadium,190,6,13.6
110,RR,CSK,SRH,Eden Gardens,205,7,17.5
111,RCB,RR,RR,Chinnaswamy,163,5,11.2
112,KKR,KKR,KKR,Kotla,239,1,18.7
113,DC,SRH,RCB,Narendra Modi Stadium,187,5,12.1
114,PBKS,CSK,CSK,Chinnaswamy,180,5,10.4
115,DC,MI,RCB,Kotla,239,1,17.3
116,MI,DC,PBKS,Eden Gardens,139,3,19.2
117,RR,PBKS,MI,Kotla,238,7,18.1
118,RCB,PBKS,KKR,Chinnaswamy,167,9,12.6
119,RCB,SRH,RR,Wankhede,142,5,19.9
120,RR,KKR,SRH,Wankhede,129,8,19.7
121,KKR,RCB,MI,Eden Gardens,98,9,17.1
122,RR,CSK,CSK,Narendra Modi Stadium,195,4,14.2
123,DC,MI,KKR,Wankhede,114,4,15.9
124,DC,SRH,MI,Eden Gardens,150,5,14.1
125,PBKS,RR,RR,Eden Gardens,103,8,16.4
126,SRH,RCB,KKR,Chinnaswamy,182,4,13.8
127,DC,CSK,RR,Chepauk,176,0,18.8
128,SRH,DC,DC,Kotla,91,3,14.7
129,RR,SRH,PBKS,Chepauk,127,8,15.8
130,RCB,SRH,RR,Chinnaswamy,111,9,19.0
131,RCB,RCB,RR,Chinnaswamy,129,2,10.0
132,RCB,CSK,RR,Narendra Modi Stadium,190,5,15.1
133,MI,RCB,RCB,Narendra Modi Stadium,203,0,17.3
134,PBKS,CSK,MI,Eden Gardens,110,7,17.4
135,MI,RR,RR,Wankhede,177,2,13.9
136,MI,RCB,SRH,Kotla,120,8,10.9
137,SRH,CSK,KKR,Chepauk,125,2,12.1
138,MI,CSK,MI,Kotla,85,2,13.7
139,RCB,CSK,PBKS,Chepauk,134,0,19.8
140,DC,DC,RCB,Eden Gardens,222,3,11.3
141,MI,PBKS,CSK,Chepauk,182,1,17.0
142,KKR,CSK,RR,Chinnaswamy,118,7,11.4
143,CSK,DC,PBKS,Wankhede,233,1,18.3
144,DC,CSK,MI,Chinnaswamy,109,6,15.1
145,SRH,KKR,KKR,Chepauk,212,2,10.5
146,PBKS,MI,MI,Eden Gardens,225,5,16.3
147,PBKS,RCB,KKR,Eden Gardens,239,4,18.7
148,KKR,KKR,DC,Chepauk,200,1,11.9
149,PBKS,PBKS,KKR,Chepauk,162,7,16.9
150,RCB,RCB,KKR,Chepauk,191,5,17.9
151,DC,SRH,RCB,Narendra Modi Stadium,97,9,18.5
152,KKR,RR,KKR,Kotla,203,4,12.9
153,PBKS,KKR,KKR,Wankhede,113,4,13.8
154,CSK,KKR,MI,Kotla,136,1,12.4
155,DC,DC,KKR,Chinnaswamy,159,9,14.8
156,MI,MI,CSK,Kotla,185,7,10.2
157,DC,RCB,SRH,Chinnaswamy,167,6,15.3
158,CSK,PBKS,RR,Eden Gardens,195,9,11.7
159,SRH,SRH,MI,Chinnaswamy,209,8,10.7
160,DC,PBKS,CSK,Eden Gardens,151,7,18.2
161,RR,PBKS,KKR,Chinnaswamy,128,0,15.3
162,SRH,KKR,CSK,Narendra Modi Stadium,97,6,17.9
163,PBKS,MI,DC,Chinnaswamy,168,9,12.8
164,SRH,PBKS,KKR,Wankhede,197,5,13.2
165,RCB,SRH,SRH,Eden Gardens,156,9,18.9
166,PBKS,SRH,CSK,Narendra Modi Stadium,184,1,15.0
167,RCB,SRH,CSK,Chinnaswamy,118,4,17.8
168,RR,CSK,CSK,Kotla,233,6,14.4
169,RR,CSK,PBKS,Wankhede,227,7,16.1
170,CSK,DC,SRH,Narendra Modi Stadium,237,3,13.3
171,MI,MI,KKR,Narendra Modi Stadium,138,5,16.0
172,KKR,MI,CSK,Chepauk,204,3,19.2
173,DC,CSK,DC,Chepauk,126,3,18.6
174,PBKS,SRH,KKR,Kotla,221,4,16.0
175,RCB,RR,RCB,Kotla,211,1,16.4
176,KKR,CSK,KKR,Kotla,222,8,17.6
177,PBKS,MI,RCB,Chepauk,150,9,19.9
178,MI,KKR,SRH,Chepauk,169,1,17.0
179,SRH,MI,RCB,Wankhede,89,1,13.5
180,PBKS,CSK,SRH,Eden Gardens,131,0,15.7
181,SRH,KKR,SRH,Narendra Modi Stadium,91,3,18.6
182,KKR,RR,RR,Kotla,108,0,12.6
183,RR,SRH,KKR,Narendra Modi Stadium,165,5,14.2
184,SRH,DC,MI,Chepauk,119,3,16.6
185,SRH,RR,RCB,Kotla,195,7,11.4
186,MI,KKR,SRH,Chinnaswamy,170,9,13.4
187,RR,RR,PBKS,Wankhede,91,5,15.1
188,KKR,MI,DC,Eden Gardens,119,5,14.6
189,CSK,RR,SRH,Kotla,113,1,18.1
190,KKR,RCB,RCB,Narendra Modi Stadium,148,1,13.4
191,KKR,DC,CSK,Chepauk,220,2,10.6
192,PBKS,RCB,SRH,Eden Gardens,182,5,19.4
193,MI,PBKS,RR,Wankhede,237,8,17.8
194,MI,MI,KKR,Narendra Modi Stadium,148,9,19.4
195,DC,CSK,RR,Chinnaswamy,233,8,13.2
196,RR,RR,RR,Eden Gardens,145,2,16.2
197,RR,PBKS,KKR,Narendra Modi Stadium,215,6,15.3
198,DC,RCB,KKR,Wankhede,130,4,10.4
199,RR,KKR,KKR,Kotla,220,1,11.7
200,CSK,KKR,DC,Wankhede,214,0,12.1
201,PBKS,RCB,KKR,Chinnaswamy,120,2,13.6
202,KKR,CSK,MI,Eden Gardens,126,1,15.5
203,PBKS,SRH,MI,Narendra Modi Stadium,173,7,17.8
204,KKR,SRH,DC,Kotla,192,9,11.4
205,CSK,RR,RCB,Eden Gardens,101,9,12.3
206,KKR,RR,RR,Eden Gardens,136,7,15.0
207,RCB,SRH,RR,Kotla,187,8,14.2
208,SRH,DC,CSK,Chinnaswamy,196,1,11.6
209,KKR,DC,KKR,Wankhede,157,1,12.0
210,DC,CSK,KKR,Wankhede,121,8,17.6
211,DC,KKR,KKR,Wankhede,136,1,19.6
212,DC,MI,PBKS,Kotla,169,1,19.7
213,PBKS,CSK,CSK,Chinnaswamy,190,4,20.0
214,SRH,SRH,RR,Narendra Modi Stadium,214,4,19.9
215,SRH,PBKS,PBKS,Eden Gardens,121,1,12.8
216,RCB,SRH,SRH,Narendra Modi Stadium,145,3,18.1
217,RR,PBKS,DC,Kotla,100,1,19.0
218,KKR,PBKS,MI,Chinnaswamy,117,0,14.6
219,SRH,KKR,MI,Eden Gardens,184,6,10.9
220,CSK,CSK,SRH,Kotla,214,1,10.8
221,DC,MI,MI,Chinnaswamy,239,1,13.6
222,SRH,RCB,DC,Eden Gardens,131,5,19.3
223,PBKS,PBKS,SRH,Wankhede,176,7,16.4
224,PBKS,SRH,CSK,Chinnaswamy,180,2,13.9
225,RR,SRH,PBKS,Chinnaswamy,108,6,13.0
226,RR,KKR,SRH,Narendra Modi Stadium,197,3,19.5
227,RCB,PBKS,PBKS,Kotla,95,7,15.4
228,RCB,MI,SRH,Narendra Modi Stadium,234,4,18.3
229,RR,SRH,MI,Narendra Modi Stadium,193,1,18.1
230,CSK,RCB,RR,Chepauk,137,4,18.8
231,RCB,RCB,CSK,Wankhede,106,7,19.1
232,KKR,RR,DC,Eden Gardens,90,5,10.3
233,PBKS,SRH,CSK,Chepauk,149,3,17.7
234,SRH,KKR,SRH,Eden Gardens,133,6,15.5
235,DC,RR,RR,Kotla,160,2,11.5
236,RR,SRH,KKR,Wankhede,195,1,10.0
237,PBKS,MI,PBKS,Kotla,209,9,16.3
238,PBKS,KKR,MI,Chepauk,103,9,17.1
239,PBKS,CSK,KKR,Wankhede,157,2,12.8
240,DC,KKR,DC,Narendra Modi Stadium,122,0,14.1
241,PBKS,RR,KKR,Chepauk,164,5,14.2
242,RCB,MI,RCB,Kotla,157,8,19.6
243,PBKS,PBKS,MI,Wankhede,184,1,16.8
244,RCB,KKR,RCB,Wankhede,98,1,10.5
245,DC,RCB,CSK,Chepauk,213,5,17.7
246,KKR,RR,CSK,Kotla,149,2,19.3
247,DC,MI,KKR,Eden Gardens,138,9,14.0
248,DC,DC,MI,Narendra Modi Stadium,164,8,12.8
249,RCB,PBKS,PBKS,Chinnaswamy,231,6,12.7
250,PBKS,DC,CSK,Eden Gardens,232,3,16.1
251,MI,RR,MI,Narendra Modi Stadium,149,1,16.7
252,SRH,SRH,PBKS,Kotla,202,0,14.0
253,DC,RR,PBKS,Chepauk,169,0,19.5
254,RCB,KKR,DC,Kotla,130,0,15.8
255,SRH,CSK,CSK,Chepauk,159,9,15.6
256,RCB,MI,RR,Narendra Modi Stadium,189,8,10.2
257,KKR,SRH,MI,Narendra Modi Stadium,97,1,11.1
258,DC,KKR,RR,Narendra Modi Stadium,209,2,17.6
259,KKR,SRH,KKR,Chepauk,117,2,18.1
260,KKR,MI,SRH,Chepauk,96,9,15.7
261,RR,PBKS,RR,Wankhede,206,7,16.0
262,RCB,RCB,RR,Chepauk,222,8,15.7
263,RCB,MI,MI,Narendra Modi Stadium,186,9,17.2
264,PBKS,RCB,MI,Kotla,91,9,15.8
265,DC,RR,RCB,Kotla,144,5,14.9
266,RCB,RR,CSK,Eden Gardens,210,1,18.7
267,KKR,CSK,KKR,Kotla,80,1,12.1
268,RCB,DC,KKR,Narendra Modi Stadium,182,0,19.4
269,DC,CSK,CSK,Narendra Modi Stadium,151,8,15.9
270,RCB,MI,DC,Wankhede,146,4,18.9
271,DC,RCB,SRH,Chinnaswamy,215,6,10.5
272,KKR,PBKS,KKR,Chepauk,112,0,17.9
273,PBKS,RCB,KKR,Chinnaswamy,165,2,11.0
274,MI,SRH,KKR,Chinnaswamy,237,0,11.7
275,PBKS,PBKS,CSK,Chepauk,230,5,14.0
276,KKR,MI,RR,Eden Gardens,169,4,13.8
277,MI,PBKS,RCB,Eden Gardens,189,9,10.7
278,RR,CSK,SRH,Chepauk,185,5,18.4
279,MI,KKR,RCB,Chepauk,164,0,19.3
280,CSK,SRH,CSK,Kotla,142,5,17.2
281,PBKS,MI,PBKS,Chinnaswamy,189,7,15.6
282,SRH,SRH,RR,Wankhede,125,6,15.3
283,MI,RCB,PBKS,Kotla,198,4,19.6
284,RR,MI,PBKS,Kotla,155,4,18.9
285,KKR,RR,DC,Narendra Modi Stadium,116,2,14.6
286,MI,CSK,PBKS,Wankhede,194,6,12.2
287,RCB,CSK,RR,Chinnaswamy,192,9,13.6
288,MI,RCB,KKR,Narendra Modi Stadium,204,7,13.8
289,RR,DC,KKR,Narendra Modi Stadium,145,7,16.2
290,MI,MI,MI,Kotla,222,1,11.2
291,RCB,MI,SRH,Chepauk,154,0,17.3
292,MI,CSK,MI,Eden Gardens,86,7,16.1
293,RR,DC,RCB,Chinnaswamy,212,9,11.4
294,SRH,PBKS,CSK,Chepauk,140,1,15.9
295,CSK,DC,RCB,Chinnaswamy,124,6,19.6
296,RCB,SRH,RR,Narendra Modi Stadium,143,7,16.8
297,CSK,RR,PBKS,Chinnaswamy,83,3,12.2
298,CSK,MI,CSK,Chinnaswamy,236,4,11.2
299,SRH,PBKS,RR,Kotla,194,0,17.7
300,SRH,RCB,DC,Wankhede,182,6,11.3
301,SRH,DC,PBKS,Chepauk,163,5,14.6
302,DC,SRH,CSK,Kotla,83,1,19.1
303,MI,MI,RCB,Chepauk,105,7,14.7
304,PBKS,DC,MI,Kotla,109,9,13.6
305,KKR,DC,KKR,Chepauk,228,8,14.2
306,RR,KKR,DC,Eden Gardens,186,4,13.8
307,RCB,CSK,CSK,Wankhede,167,4,17.5
308,CSK,PBKS,PBKS,Eden Gardens,170,3,12.6
309,KKR,MI,KKR,Chinnaswamy,224,0,10.5
310,RR,CSK,KKR,Chepauk,141,7,12.3
311,MI,KKR,DC,Eden Gardens,91,9,17.7
312,RCB,RR,SRH,Chepauk,103,9,13.7
313,KKR,RR,MI,Eden Gardens,230,0,11.2
314,MI,MI,RCB,Eden Gardens,163,9,17.1
315,PBKS,SRH,CSK,Narendra Modi Stadium,169,7,19.3
316,SRH,MI,MI,Narendra Modi Stadium,131,8,16.9
317,DC,DC,RR,Eden Gardens,103,4,11.9
318,MI,MI,PBKS,Chinnaswamy,212,5,16.8
319,MI,SRH,SRH,Wankhede,150,3,12.3
320,RCB,PBKS,SRH,Narendra Modi Stadium,136,7,12.2
321,SRH,DC,PBKS,Kotla,219,7,13.1
322,MI,RCB,MI,Wankhede,236,4,18.3
323,RR,DC,PBKS,Kotla,117,8,13.8
324,MI,PBKS,DC,Chinnaswamy,170,9,17.6
325,DC,KKR,RCB,Kotla,156,5,10.1
326,RCB,RCB,MI,Chinnaswamy,93,6,15.0
327,CSK,CSK,MI,Kotla,168,4,11.8
328,DC,RCB,MI,Chepauk,226,2,14.2
329,KKR,CSK,PBKS,Kotla,106,9,16.6
330,RCB,RR,PBKS,Eden Gardens,85,8,17.6
331,PBKS,MI,CSK,Kotla,156,5,13.0
332,DC,SRH,SRH,Chinnaswamy,210,5,19.5
333,SRH,CSK,CSK,Narendra Modi Stadium,216,5,13.0
334,RR,RCB,CSK,Kotla,83,7,19.6
335,KKR,RCB,CSK,Eden Gardens,135,4,11.6
336,RR,RCB,KKR,Eden Gardens,85,4,16.1
337,MI,PBKS,PBKS,Kotla,105,0,19.8
338,SRH,PBKS,DC,Kotla,229,9,20.0
339,RR,RCB,PBKS,Chinnaswamy,90,5,19.0
340,MI,PBKS,CSK,Chinnaswamy,212,1,10.7
341,RCB,RR,DC,Eden Gardens,86,1,10.1
342,CSK,KKR,RR,Narendra Modi Stadium,172,5,16.3
343,DC,RCB,RCB,Chinnaswamy,164,2,11.1
344,DC,RR,SRH,Chepauk,165,8,14.0
345,RR,KKR,KKR,Narendra Modi Stadium,157,9,10.0
346,PBKS,RCB,MI,Kotla,102,5,10.6
347,SRH,SRH,PBKS,Kotla,160,0,14.6
348,SRH,KKR,PBKS,Chinnaswamy,233,4,19.1
349,PBKS,MI,CSK,Narendra Modi Stadium,155,3,16.5
350,PBKS,KKR,PBKS,Kotla,159,3,18.2
351,DC,PBKS,KKR,Narendra Modi Stadium,85,1,12.1
352,CSK,PBKS,DC,Kotla,239,1,16.3
353,RR,SRH,MI,Eden Gardens,91,5,11.9
354,CSK,PBKS,KKR,Chinnaswamy,205,6,16.0
355,CSK,CSK,DC,Chinnaswamy,169,5,10.7
356,CSK,MI,KKR,Narendra Modi Stadium,141,3,17.8
357,KKR,CSK,SRH,Chinnaswamy,123,8,10.5
358,PBKS,DC,KKR,Narendra Modi Stadium,164,4,12.4
359,CSK,RCB,SRH,Chepauk,137,8,15.6
360,DC,CSK,DC,Chinnaswamy,150,5,10.7
361,KKR,PBKS,KKR,Wankhede,94,6,12.3
362,CSK,KKR,RCB,Narendra Modi Stadium,80,6,19.5
363,MI,CSK,DC,Kotla,155,6,18.3
364,RR,CSK,CSK,Eden Gardens,184,4,11.9
365,RR,KKR,MI,Chepauk,145,2,10.3
366,RCB,RR,CSK,Eden Gardens,166,1,16.9
367,RCB,RR,PBKS,Chepauk,147,0,13.8
368,SRH,MI,SRH,Eden Gardens,125,8,16.1
369,RCB,MI,RCB,Chinnaswamy,94,9,19.0
370,RCB,CSK,PBKS,Kotla,93,6,13.1
371,CSK,PBKS,RCB,Narendra Modi Stadium,87,4,12.6
372,RCB,RR,RR,Kotla,103,6,12.6
373,RR,RR,CSK,Kotla,120,7,11.2
374,SRH,DC,PBKS,Chepauk,135,7,17.2
375,PBKS,SRH,CSK,Eden Gardens,203,5,14.3
376,KKR,PBKS,PBKS,Wankhede,190,3,16.8
377,MI,PBKS,CSK,Chepauk,168,0,14.7
378,CSK,DC,RR,Chinnaswamy,133,8,14.1
379,RCB,PBKS,MI,Eden Gardens,138,8,10.2
380,DC,DC,RCB,Wankhede,191,4,10.3
381,RCB,DC,KKR,Kotla,106,4,19.5
382,KKR,PBKS,CSK,Chepauk,85,0,14.7
383,PBKS,MI,PBKS,Narendra Modi Stadium,181,3,11.5
384,CSK,KKR,RR,Kotla,168,2,12.5
385,MI,KKR,RR,Chepauk,236,5,11.2
386,CSK,RCB,KKR,Narendra Modi Stadium,89,7,15.4
387,RCB,RCB,CSK,Eden Gardens,186,7,16.4
388,SRH,MI,PBKS,Wankhede,174,0,14.2
389,SRH,SRH,DC,Chepauk,141,4,10.9
390,SRH,CSK,SRH,Eden Gardens,85,9,16.2
391,MI,RCB,MI,Chepauk,175,2,18.1
392,SRH,KKR,RCB,Eden Gardens,126,0,19.6
393,DC,PBKS,SRH,Eden Gardens,194,1,17.5
394,PBKS,RR,MI,Chepauk,181,5,12.7
395,MI,RR,PBKS,Chepauk,104,2,20.0
396,DC,MI,CSK,Eden Gardens,210,8,12.3
397,DC,KKR,KKR,Narendra Modi Stadium,90,9,14.7
398,RCB,KKR,DC,Chinnaswamy,185,9,10.3
399,DC,RR,PBKS,Kotla,198,0,13.5
400,SRH,RR,SRH,Kotla,106,0,13.1
401,DC,CSK,MI,Kotla,99,7,12.3
402,PBKS,MI,RCB,Wankhede,148,0,15.4
403,CSK,MI,MI,Kotla,145,4,11.8
404,KKR,DC,PBKS,Chepauk,225,6,13.8
405,KKR,CSK,PBKS,Chepauk,132,5,13.8
406,MI,RR,MI,Chinnaswamy,114,6,13.6
407,RCB,KKR,RCB,Wankhede,116,3,18.3
408,KKR,KKR,CSK,Narendra Modi Stadium,130,0,16.7
409,RCB,DC,RR,Chinnaswamy,199,8,15.2
410,PBKS,RCB,RCB,Wankhede,205,1,17.1
411,RCB,DC,RR,Kotla,84,3,19.0
412,CSK,RR,MI,Narendra Modi Stadium,182,5,15.2
413,SRH,RCB,RR,Narendra Modi Stadium,124,1,10.0
414,DC,DC,RR,Narendra Modi Stadium,130,7,19.1
415,KKR,MI,PBKS,Chepauk,108,7,13.0
416,DC,SRH,KKR,Kotla,81,8,14.1
417,RCB,PBKS,CSK,Chinnaswamy,227,1,12.7
418,SRH,KKR,RCB,Kotla,83,0,10.6
419,MI,RCB,KKR,Wankhede,134,6,12.2
420,DC,RCB,RCB,Narendra Modi Stadium,116,9,12.8
421,PBKS,DC,MI,Wankhede,201,1,19.5
422,DC,PBKS,RCB,Wankhede,88,1,16.3
423,KKR,MI,RCB,Narendra Modi Stadium,104,5,10.1
424,PBKS,CSK,MI,Wankhede,124,5,13.0
425,DC,DC,SRH,Chepauk,152,6,19.5
426,CSK,DC,RCB,Narendra Modi Stadium,190,3,15.8
427,CSK,RCB,RR,Wankhede,117,5,10.7
428,RR,RCB,MI,Chepauk,106,4,16.5
429,RCB,KKR,KKR,Chepauk,133,3,17.3
430,CSK,KKR,SRH,Narendra Modi Stadium,149,8,13.5
431,DC,DC,RR,Kotla,97,5,11.6
432,RCB,PBKS,RR,Chinnaswamy,221,6,13.9
433,RCB,MI,MI,Wankhede,118,8,13.3
434,MI,KKR,RCB,Chepauk,83,9,12.4
435,KKR,PBKS,RR,Chepauk,204,1,18.6
436,PBKS,CSK,MI,Eden Gardens,108,2,15.5
437,KKR,CSK,CSK,Chepauk,126,0,17.1
438,RCB,RR,KKR,Wankhede,200,9,12.1
439,MI,RR,MI,Chinnaswamy,80,2,16.8
440,DC,CSK,MI,Chepauk,195,8,12.6
441,MI,KKR,KKR,Eden Gardens,220,4,17.8
442,MI,CSK,CSK,Narendra Modi Stadium,89,4,17.0
443,MI,MI,DC,Wankhede,214,1,17.5
444,CSK,PBKS,RCB,Kotla,201,3,10.4
445,RCB,PBKS,SRH,Narendra Modi Stadium,197,2,10.8
446,PBKS,RR,RR,Eden Gardens,85,9,13.6
447,SRH,RR,CSK,Chepauk,228,9,19.1
448,KKR,CSK,SRH,Chepauk,219,5,11.0
449,CSK,PBKS,RCB,Wankhede,209,1,10.1
450,DC,RCB,PBKS,Chepauk,219,1,14.9
451,MI,MI,CSK,Eden Gardens,100,9,13.8
452,SRH,MI,CSK,Chinnaswamy,120,7,17.3
453,DC,KKR,KKR,Eden Gardens,148,3,14.7
454,KKR,MI,KKR,Chinnaswamy,160,3,10.5
455,CSK,KKR,MI,Narendra Modi Stadium,126,9,11.9
456,RR,CSK,RCB,Narendra Modi Stadium,227,9,12.3
457,RCB,DC,KKR,Chepauk,227,5,18.6
458,DC,KKR,RR,Chepauk,85,8,15.4
459,CSK,RR,RR,Narendra Modi Stadium,128,3,11.0
460,MI,RCB,RR,Kotla,220,9,17.8
461,MI,SRH,RCB,Wankhede,98,7,16.8
462,SRH,RR,MI,Chinnaswamy,139,5,10.9
463,DC,RR,KKR,Chinnaswamy,217,6,19.7
464,KKR,PBKS,PBKS,Kotla,180,0,19.5
465,PBKS,MI,DC,Chinnaswamy,99,1,14.8
466,RR,RR,PBKS,Wankhede,231,0,17.3
467,KKR,DC,DC,Narendra Modi Stadium,104,3,10.8
468,KKR,KKR,KKR,Eden Gardens,91,1,11.0
469,RR,KKR,MI,Chinnaswamy,239,3,12.8
470,SRH,DC,RR,Narendra Modi Stadium,179,9,18.4
471,RR,SRH,MI,Eden Gardens,209,0,10.4
472,DC,CSK,RR,Chepauk,228,7,13.4
473,RCB,DC,CSK,Chepauk,219,1,11.4
474,MI,KKR,KKR,Chinnaswamy,165,3,18.6
475,MI,DC,RR,Eden Gardens,233,4,12.4
476,RCB,DC,MI,Wankhede,110,2,10.5
477,RCB,DC,RCB,Chinnaswamy,86,8,19.4
478,KKR,DC,KKR,Kotla,194,0,18.1
479,RR,DC,DC,Narendra Modi Stadium,98,8,14.5
480,MI,CSK,DC,Chepauk,117,6,16.8
481,KKR,DC,DC,Eden Gardens,151,7,19.6
