ticket_id,city,match,ticket_price,quantity
70,Pune,RCB vs SRH,2125.68,1
71,Pune,DC vs KKR,424.28,4
72,Ahmedabad,KKR vs SRH,1937.89,5
73,Chennai,DC vs RR,1179.42,1
74,Delhi,PBKS vs PBKS,2763.13,7
75,Chennai,CSK vs KKR,3904.04,5
76,Ahmedabad,KKR vs CSK,888.5,5
77,Kolkata,RR vs MI,1497.01,1
78,Ahmedabad,KKR vs KKR,4728.3,7
79,Kolkata,MI vs CSK,2484.47,2
80,Bangalore,MI vs KKR,2718.61,4
81,Bangalore,CSK vs MI,4634.18,6
82,Mumbai,RR vs CSK,3198.97,3
83,Kolkata,KKR vs SRH,2233.49,4
84,Delhi,PBKS vs KKR,4961.62,5
85,Hyderabad,RCB vs PBKS,846.95,7
86,Delhi,KKR vs PBKS,1777.04,1
87,Pune,DC vs KKR,3367.93,3
88,Bangalore,CSK vs CSK,452.44,3
89,Hyderabad,DC vs RR,1478.18,6
90,Mumbai,DC vs DC,2547.36,1
91,Ahmedabad,PBKS vs MI,4661.41,3
92,Surat,CSK vs MI,2359.79,7
93,Ahmedabad,DC vs RR,1483.29,3
94,Kolkata,CSK vs KKR,4856.16,4
95,Chennai,KKR vs KKR,2309.6,5
96,Chennai,PBKS vs RCB,2327.3,3
97,Pune,DC vs RCB,4290.35,2
98,Kolkata,SRH vs PBKS,2964.56,5
99,Ahmedabad,KKR vs CSK,2038.47,5
100,Ahmedabad,PBKS vs CSK,3177.02,3
101,Hyderabad,MI vs MI,891.78,7
102,Hyderabad,CSK vs KKR,4502.46,6
103,Hyderabad,RCB vs DC,4344.51,4
104,Mumbai,PBKS vs PBKS,1775.0,6
105,Mumbai,KKR vs DC,2845.73,5
106,Pune,MI vs RCB,2000.02,7
107,Delhi,DC vs MI,3871.79,6
108,Kolkata,DC vs SRH,2506.22,7
109,Surat,PBKS vs SRH,2370.24,3
110,Ahmedabad,DC vs PBKS,391.53,6
111,Pune,RCB vs KKR,4589.27,6
112,Mumbai,SRH vs KKR,3100.5,4
113,Kolkata,MI vs MI,1167.14,6
114,Pune,RR vs MI,3041.13,7
115,Hyderabad,MI vs PBKS,2398.1,3
116,Hyderabad,RCB vs MI,3835.26,3
117,Pune,CSK vs RCB,409.77,1
118,Pune,CSK vs CSK,3295.29,1
119,Kolkata,KKR vs DC,3633.54,4
120,Kolkata,CSK vs KKR,4198.51,7
121,Kolkata,MI vs CSK,3386.22,2
122,Delhi,DC vs RR,2058.07,7
123,Pune,SRH vs KKR,2918.95,7
124,Pune,RR vs KKR,3096.92,2
125,Kolkata,SRH vs DC,1439.63,1
126,Ahmedabad,RCB vs SRH,3641.44,4
127,Delhi,PBKS vs RR,2382.37,7
128,Pune,CSK vs MI,3595.51,3
129,Pune,PBKS vs CSK,936.16,5
130,Bangalore,CSK vs KKR,1248.22,7
131,Kolkata,SRH vs RCB,4469.17,4
132,Hyderabad,RR vs CSK,4846.96,6
133,Delhi,KKR vs RR,1856.16,1
134,Kolkata,SRH vs RCB,1384.46,7
135,Delhi,PBKS vs SRH,4386.48,7
136,Mumbai,MI vs SRH,2001.36,4
137,Mumbai,CSK vs RCB,1944.14,1
138,Delhi,SRH vs CSK,4662.65,7
139,Bangalore,CSK vs RCB,3342.35,2
140,Pune,SRH vs SRH,2526.97,3
141,Bangalore,KKR vs RR,1397.42,4
142,Delhi,KKR vs SRH,844.91,3
143,Chennai,PBKS vs SRH,3316.83,5
144,Chennai,MI vs CSK,1299.34,3
145,Mumbai,DC vs SRH,4867.49,4
146,Pune,MI vs MI,1054.86,3
147,Mumbai,RR vs RCB,1728.84,7
148,Chennai,SRH vs RCB,4371.09,3
149,Bangalore,PBKS vs DC,3238.6,4
150,Bangalore,MI vs CSK,4366.02,5
151,Mumbai,CSK vs RCB,4108.09,1
152,Mumbai,MI vs RR,1399.06,7
153,Pune,RCB vs DC,608.37,5
154,Ahmedabad,RCB vs MI,2148.78,7
155,Hyderabad,SRH vs RR,2722.75,7
156,Pune,MI vs RR,709.81,6
157,Hyderabad,KKR vs KKR,2426.44,3
158,Pune,CSK vs RR,1610.09,7
159,Pune,DC vs RCB,2780.39,7
160,Mumbai,KKR vs RCB,2876.56,4
161,Delhi,RCB vs DC,4687.37,3
162,Surat,MI vs RCB,2693.35,5
163,Surat,RR vs DC,2876.34,1
164,Chennai,KKR vs SRH,1730.02,4
165,Kolkata,RCB vs CSK,715.5,5
166,Mumbai,DC vs MI,3517.26,5
167,Bangalore,PBKS vs KKR,2169.28,6
168,Mumbai,KKR vs PBKS,2452.89,3
169,Bangalore,RR vs SRH,4213.54,4
170,Ahmedabad,KKR vs KKR,2438.11,2
171,Pune,MI vs KKR,4170.03,7
172,Pune,DC vs RR,875.6,4
173,Chennai,SRH vs CSK,3797.09,2
174,Mumbai,SRH vs RR,4486.0,3
175,Pune,DC vs RR,1732.43,5
176,Chennai,MI vs CSK,2055.28,5
177,Hyderabad,SRH vs RCB,3445.15,5
178,Delhi,SRH vs MI,2678.03,3
179,Bangalore,CSK vs DC,4182.22,5
180,Ahmedabad,RR vs RR,4528.19,7
181,Chennai,DC vs CSK,1945.89,7
182,Surat,DC vs KKR,1794.79,3
183,Pune,SRH vs MI,4048.77,2
184,Ahmedabad,DC vs MI,4806.91,5
185,Chennai,KKR vs RR,361.68,3
186,Hyderabad,DC vs CSK,2541.54,4
187,Delhi,RR vs RR,2393.96,4
188,Kolkata,CSK vs SRH,4061.36,2
189,Ahmedabad,SRH vs DC,1446.28,5
190,Chennai,RR vs DC,3244.36,6
191,Mumbai,SRH vs RCB,3349.52,6
192,Pune,KKR vs DC,3062.43,3
193,Ahmedabad,DC vs RCB,915.29,6
194,Delhi,SRH vs DC,474.34,4
195,Pune,MI vs SRH,1339.38,3
196,Surat,SRH vs KKR,3790.56,6
197,Delhi,DC vs RR,3938.51,2
198,Chennai,PBKS vs PBKS,2832.8,4
199,Ahmedabad,PBKS vs KKR,1402.43,7
200,Kolkata,PBKS vs RCB,4001.97,2
201,Pune,CSK vs SRH,433.43,7
202,Pune,RR vs CSK,1904.5,1
203,Chennai,KKR vs SRH,1854.57,5
204,Mumbai,KKR vs KKR,3414.5,2
205,Hyderabad,RCB vs MI,2666.15,2
206,Mumbai,MI vs KKR,935.63,5
207,Kolkata,PBKS vs CSK,957.57,5
208,Bangalore,PBKS vs DC,4576.08,6
209,Bangalore,KKR vs DC,2302.48,2
210,Pune,PBKS vs DC,432.68,6
211,Delhi,KKR vs RCB,1750.17,3
212,Hyderabad,MI vs CSK,2331.24,1
213,Kolkata,DC vs KKR,2789.06,3
214,Surat,RCB vs PBKS,1451.58,3
215,Hyderabad,MI vs KKR,3282.25,5
216,Delhi,CSK vs PBKS,1118.63,5
217,Chennai,RCB vs PBKS,318.25,3
218,Kolkata,RR vs PBKS,1313.28,4
219,Surat,DC vs PBKS,3550.75,6
220,Mumbai,RCB vs PBKS,2265.83,7
221,Chennai,PBKS vs SRH,4545.28,5
222,Hyderabad,KKR vs SRH,4959.11,7
223,Delhi,PBKS vs KKR,2325.11,2
224,Kolkata,SRH vs PBKS,3475.35,3
225,Surat,CSK vs SRH,3237.11,2
226,Ahmedabad,KKR vs SRH,1035.64,3
227,Delhi,RR vs RR,375.65,1
228,Hyderabad,CSK vs RCB,3552.17,5
229,Mumbai,RCB vs KKR,4086.2,3
230,Delhi,DC vs RCB,1122.99,2
231,Kolkata,KKR vs CSK,3115.83,7
232,Chennai,DC vs DC,1687.87,2
233,Bangalore,RR vs PBKS,3509.19,7
234,Mumbai,DC vs MI,3791.34,4
235,Hyderabad,KKR vs DC,3715.27,6
236,Kolkata,DC vs MI,4515.84,6
237,Surat,DC vs PBKS,3450.5,2
238,Bangalore,MI vs RR,4056.76,4
239,Kolkata,SRH vs DC,1818.06,1
240,Mumbai,DC vs KKR,4248.26,1
241,Pune,PBKS vs KKR,1716.49,1
242,Mumbai,SRH vs DC,2672.47,5
243,Chennai,PBKS vs MI,586.73,7
244,Kolkata,DC vs RR,2822.39,1
245,Hyderabad,DC vs RCB,1622.72,7
246,Mumbai,PBKS vs RCB,4250.88,1
247,Pune,MI vs DC,2909.94,5
248,Surat,MI vs CSK,1351.08,1
249,Chennai,DC vs RCB,3012.94,1
250,Delhi,PBKS vs RCB,1304.39,3
251,Pune,MI vs SRH,384.48,7
252,Hyderabad,DC vs RR,3904.17,3
253,Kolkata,KKR vs PBKS,3777.9,7
254,Pune,RR vs RR,1192.37,4
255,Delhi,DC vs SRH,4263.45,4
256,Mumbai,DC vs SRH,3244.49,4
257,Bangalore,CSK vs PBKS,4206.05,2
258,Pune,MI vs MI,4096.44,1
259,Bangalore,RR vs KKR,3069.6,3
260,Pune,CSK vs MI,3596.64,3
261,Ahmedabad,MI vs KKR,2897.83,5
262,Surat,KKR vs MI,1140.55,2
263,Surat,RCB vs KKR,1898.28,2
264,Hyderabad,RCB vs PBKS,1702.59,3
265,Surat,CSK vs KKR,2880.24,1
266,Bangalore,PBKS vs SRH,1688.85,5
267,Bangalore,RR vs RCB,1821.98,3
268,Mumbai,CSK vs RCB,4046.3,4
269,Pune,SRH vs CSK,890.29,1
270,Bangalore,MI vs SRH,3133.96,2
271,Bangalore,DC vs DC,4880.6,2
272,Surat,KKR vs CSK,913.27,3
273,Kolkata,KKR vs CSK,2964.19,1
274,Ahmedabad,SRH vs CSK,4036.73,3
275,Chennai,MI vs RR,4846.82,7
276,Chennai,DC vs RR,1739.49,6
277,Ahmedabad,CSK vs RR,1839.03,2
278,Delhi,MI vs DC,1562.29,1
279,Kolkata,PBKS vs CSK,568.51,5
280,Pune,DC vs RR,2503.03,3
281,Delhi,PBKS vs RCB,4101.87,2
282,Delhi,DC vs RCB,4842.88,6
283,Ahmedabad,SRH vs PBKS,1882.83,3
284,Chennai,PBKS vs DC,4025.51,3
285,Delhi,SRH vs RR,4270.57,3
286,Kolkata,KKR vs CSK,2077.2,3
287,Delhi,SRH vs PBKS,4927.61,1
288,Hyderabad,KKR vs PBKS,1556.7,2
289,Delhi,DC vs RR,2817.91,4
290,Hyderabad,MI vs PBKS,4828.28,3
291,Pune,RR vs RCB,4105.91,4
292,Pune,PBKS vs KKR,2713.98,4
293,Delhi,RR vs SRH,1556.35,2
294,Delhi,RR vs SRH,872.97,6
295,Bangalore,SRH vs MI,3294.41,7
296,Ahmedabad,KKR vs CSK,2464.18,2
297,Kolkata,KKR vs DC,4015.95,1
298,Delhi,PBKS vs KKR,690.77,2
299,Hyderabad,PBKS vs PBKS,1358.29,7
300,Surat,PBKS vs MI,3004.48,3
301,Bangalore,CSK vs SRH,1143.18,4
302,Delhi,KKR vs DC,1168.38,1
303,Chennai,KKR vs SRH,3082.2,7
304,Hyderabad,RR vs PBKS,2123.0,6
305,Delhi,RR vs DC,2549.2,7
306,Hyderabad,RR vs RR,4362.69,5
307,Ahmedabad,PBKS vs SRH,984.89,3
308,Mumbai,SRH vs SRH,3802.51,1
309,Kolkata,KKR vs CSK,1779.99,4
310,Hyderabad,KKR vs RR,4136.36,5
311,Delhi,CSK vs RCB,2646.4,1
312,Hyderabad,KKR vs KKR,1107.0,5
313,Pune,PBKS vs SRH,4655.6,6
314,Pune,SRH vs CSK,3276.91,6
315,Hyderabad,KKR vs SRH,3574.95,3
316,Mumbai,KKR vs RR,2054.6,1
317,Bangalore,RCB vs SRH,2299.81,1
318,Kolkata,MI vs RCB,4948.57,7
319,Surat,SRH vs MI,499.83,4
320,Chennai,MI vs SRH,4428.64,3
321,Pune,RCB vs PBKS,2999.18,2
322,Hyderabad,CSK vs MI,4464.39,6
323,Bangalore,SRH vs PBKS,2389.83,7
324,Bangalore,PBKS vs PBKS,4227.38,5
325,Surat,RR vs RCB,3349.44,6
326,Ahmedabad,MI vs SRH,4233.8,2
327,Surat,PBKS vs CSK,4961.18,2
328,Pune,CSK vs DC,2796.82,3
329,Pune,PBKS vs CSK,4207.1,1
330,Mumbai,MI vs RCB,4890.39,1
331,Mumbai,RCB vs SRH,463.77,2
332,Hyderabad,CSK vs KKR,4465.21,2
333,Pune,CSK vs DC,1447.64,7
334,Chennai,KKR vs DC,531.24,2
335,Bangalore,PBKS vs PBKS,4114.94,6
336,Chennai,SRH vs DC,3530.96,6
337,Bangalore,SRH vs MI,2216.14,6
338,Mumbai,CSK vs KKR,306.23,4
339,Hyderabad,KKR vs SRH,3253.36,5
340,Mumbai,CSK vs RCB,3358.69,2
341,Kolkata,KKR vs RCB,2130.07,3
342,Surat,CSK vs RCB,1542.94,2
343,Pune,MI vs DC,663.59,7
344,Ahmedabad,PBKS vs PBKS,1054.85,7
345,Hyderabad,SRH vs MI,1815.99,1
346,Ahmedabad,KKR vs SRH,981.67,7
347,Pune,SRH vs PBKS,3187.6,7
348,Pune,CSK vs KKR,3992.27,7
349,Chennai,SRH vs KKR,4881.5,2
350,Chennai,DC vs CSK,3857.08,1
351,Delhi,KKR vs RCB,2166.24,3
352,Ahmedabad,SRH vs RCB,1262.33,5
353,Bangalore,CSK vs MI,4099.99,4
354,Mumbai,RCB vs SRH,2166.06,4
355,Pune,SRH vs PBKS,2319.82,5
356,Ahmedabad,CSK vs PBKS,3128.73,1
357,Delhi,SRH vs DC,1638.47,4
358,Hyderabad,SRH vs PBKS,1357.62,3
359,Mumbai,PBKS vs CSK,2846.77,7
360,Hyderabad,MI vs DC,3928.73,6
361,Surat,RR vs SRH,2332.63,3
362,Surat,MI vs CSK,1295.51,6
363,Chennai,KKR vs MI,721.05,3
364,Delhi,SRH vs MI,3493.68,3
365,Kolkata,RCB vs PBKS,3310.78,2
366,Ahmedabad,PBKS vs SRH,4431.2,3
367,Delhi,RCB vs DC,2461.53,5
368,Kolkata,PBKS vs CSK,4504.38,7
369,Hyderabad,PBKS vs RR,2522.01,5
370,Pune,DC vs RR,1094.24,2
371,Pune,RR vs CSK,1883.27,1
372,Mumbai,RCB vs RR,3269.92,6
373,Chennai,DC vs PBKS,3492.84,4
374,Kolkata,SRH vs DC,1350.8,6
375,Mumbai,MI vs PBKS,2387.75,7
376,Kolkata,CSK vs RR,4841.63,6
377,Pune,SRH vs RR,4667.67,2
378,Surat,CSK vs DC,2112.46,1
379,Kolkata,MI vs PBKS,3454.06,5
380,Kolkata,DC vs MI,3150.27,6
381,Delhi,KKR vs RR,4101.09,5
382,Mumbai,PBKS vs PBKS,1580.7,7
383,Kolkata,MI vs KKR,3903.88,4
384,Delhi,SRH vs RCB,1528.87,3
385,Bangalore,SRH vs PBKS,3392.5,2
386,Hyderabad,PBKS vs CSK,1379.44,4
387,Mumbai,MI vs KKR,3141.91,5
388,Pune,RCB vs SRH,3750.05,3
389,Bangalore,MI vs DC,4062.08,6
390,Pune,CSK vs KKR,1434.21,6
391,Delhi,CSK vs PBKS,3466.58,6
392,Bangalore,CSK vs RCB,1133.27,5
393,Mumbai,PBKS vs SRH,3220.26,6
394,Delhi,SRH vs DC,1333.35,3
395,Hyderabad,PBKS vs PBKS,4550.1,6
396,Delhi,KKR vs PBKS,1888.84,1
397,Pune,RCB vs DC,823.15,7
398,Mumbai,KKR vs RCB,652.02,3
399,Kolkata,CSK vs SRH,4376.52,3
400,Pune,DC vs RR,3523.03,3
401,Ahmedabad,SRH vs MI,3833.94,6
402,Bangalore,SRH vs SRH,2274.31,6
403,Delhi,PBKS vs RCB,4297.26,5
404,Pune,PBKS vs PBKS,2952.1,1
405,Chennai,RR vs RR,3054.49,7
406,Kolkata,DC vs PBKS,3753.42,6
407,Bangalore,RR vs KKR,1309.37,7
408,Bangalore,KKR vs DC,3394.45,7
409,Hyderabad,KKR vs DC,1109.01,2
410,Surat,MI vs RR,4000.51,2
411,Delhi,PBKS vs DC,600.95,5
412,Surat,DC vs RCB,3873.76,6
413,Pune,PBKS vs MI,829.59,3
414,Surat,RCB vs RR,2509.8,1
415,Chennai,CSK vs PBKS,473.91,2
416,Bangalore,CSK vs PBKS,4261.22,4
417,Ahmedabad,MI vs RCB,4502.4,2
418,Pune,DC vs RCB,4810.38,1
419,Bangalore,CSK vs PBKS,1653.64,2
420,Delhi,SRH vs RR,4093.8,7
421,Ahmedabad,DC vs CSK,3775.6,4
422,Chennai,RR vs DC,3542.34,1
423,Mumbai,RR vs PBKS,4451.98,2
424,Chennai,MI vs CSK,2248.35,1
425,Bangalore,KKR vs SRH,4223.93,2
426,Bangalore,KKR vs CSK,3787.02,7
427,Hyderabad,DC vs CSK,1097.12,1
428,Hyderabad,CSK vs PBKS,2140.15,7
429,Surat,RCB vs SRH,3498.27,5
430,Delhi,MI vs MI,4726.91,5
431,Chennai,RR vs MI,450.31,2
432,Surat,SRH vs RR,853.84,4
433,Pune,RR vs DC,3593.57,2
434,Kolkata,RCB vs KKR,2404.17,2
435,Mumbai,DC vs RCB,985.83,6
436,Kolkata,RCB vs RCB,3406.75,6
437,Pune,CSK vs DC,4292.74,6
438,Bangalore,KKR vs PBKS,3407.02,3
439,Hyderabad,RCB vs KKR,1672.43,2
440,Hyderabad,PBKS vs SRH,3746.02,3
441,Kolkata,PBKS vs SRH,2763.41,7
442,Ahmedabad,MI vs PBKS,2561.95,3
443,Chennai,SRH vs RCB,3517.31,6
444,Ahmedabad,CSK vs PBKS,3051.4,7
445,Kolkata,RR vs SRH,3395.96,5
446,Surat,DC vs SRH,4247.95,4
447,Bangalore,PBKS vs SRH,1556.91,6
448,Ahmedabad,KKR vs DC,4404.52,7
449,Mumbai,PBKS vs CSK,2887.42,5
450,Delhi,KKR vs DC,853.16,3
451,Bangalore,RR vs SRH,2455.15,1
452,Hyderabad,SRH vs MI,3820.83,1
453,Delhi,DC vs SRH,1588.24,6
454,Delhi,MI vs MI,311.28,5
455,Bangalore,PBKS vs SRH,2891.99,2
456,Delhi,KKR vs RR,1048.67,7
457,Mumbai,KKR vs KKR,4602.64,2
458,Mumbai,SRH vs RCB,3078.15,7
459,Surat,CSK vs MI,339.25,7
460,Surat,SRH vs PBKS,1924.25,4
461,Surat,MI vs RR,4594.81,7
462,Mumbai,RCB vs CSK,330.4,6
463,Chennai,SRH vs RR,1847.61,2
464,Chennai,DC vs RCB,2881.5,4
465,Kolkata,KKR vs RCB,1855.23,6
466,Bangalore,RR vs SRH,4004.82,3
467,Delhi,RCB vs SRH,4391.36,5
468,Mumbai,PBKS vs SRH,710.5,5
469,Ahmedabad,RR vs CSK,723.86,2
470,Kolkata,PBKS vs CSK,2402.56,4
471,Ahmedabad,RCB vs KKR,2193.07,3
472,Ahmedabad,DC vs RR,2836.71,2
473,Ahmedabad,CSK vs DC,4158.81,1
474,Hyderabad,MI vs SRH,2852.14,7
475,Surat,CSK vs PBKS,4525.73,7
476,Mumbai,RR vs SRH,4235.47,7
477,Chennai,DC vs RR,1688.45,2
478,Mumbai,CSK vs KKR,1265.81,1
479,Ahmedabad,PBKS vs MI,3096.11,3
480,Delhi,RR vs KKR,378.28,7
481,Mumbai,CSK vs PBKS,3811.59,4
482,Delhi,SRH vs DC,1413.33,2
483,Surat,CSK vs RCB,3574.67,2
484,Hyderabad,MI vs MI,1015.21,5
485,Ahmedabad,SRH vs PBKS,2041.49,7
486,Bangalore,CSK vs CSK,4381.28,1
487,Bangalore,KKR vs RCB,1549.74,3
488,Chennai,DC vs PBKS,2195.19,1
489,Surat,RR vs DC,2464.07,5
490,Hyderabad,RCB vs DC,1012.69,2
491,Surat,CSK vs PBKS,2598.59,7
492,Chennai,DC vs SRH,1609.79,6
493,Delhi,MI vs RR,4752.91,7
494,Delhi,KKR vs PBKS,3822.55,1
495,Ahmedabad,PBKS vs KKR,1253.95,1
496,Bangalore,RR vs CSK,3897.62,1
497,Surat,RR vs RR,1083.36,2
498,Pune,MI vs DC,548.07,3
499,Bangalore,SRH vs KKR,4281.84,7
500,Bangalore,CSK vs PBKS,3311.03,1
501,Pune,CSK vs KKR,1992.43,2
502,Mumbai,MI vs MI,2187.56,7
503,Delhi,RR vs KKR,1213.81,2
504,Chennai,RCB vs KKR,4922.38,6
505,Chennai,CSK vs KKR,3636.65,3
506,Mumbai,KKR vs KKR,1103.88,7
507,Delhi,RR vs RCB,2716.2,4
508,Bangalore,MI vs SRH,4151.44,1
509,Delhi,RCB vs RCB,3265.01,6
510,Chennai,SRH vs RCB,3626.67,5
511,Bangalore,CSK vs MI,3982.35,7
512,Delhi,RCB vs MI,821.45,7
513,Kolkata,RR vs KKR,1025.7,7
514,Chennai,RR vs MI,1338.29,1
515,Hyderabad,RCB vs SRH,2865.44,5
516,Bangalore,MI vs RCB,535.78,7
517,Surat,DC vs CSK,1153.61,2
518,Delhi,CSK vs PBKS,612.3,1
519,Delhi,PBKS vs RR,741.69,1
520,Hyderabad,CSK vs PBKS,1504.03,1
521,Ahmedabad,KKR vs MI,3849.53,1
522,Surat,SRH vs PBKS,2672.07,4
523,Bangalore,MI vs MI,2230.52,3
524,Kolkata,PBKS vs DC,4210.61,3
525,Hyderabad,DC vs CSK,3803.99,5
526,Pune,PBKS vs PBKS,4877.37,3
527,Kolkata,CSK vs CSK,2495.87,3
528,Pune,RR vs RCB,4172.86,6
529,Surat,CSK vs RCB,586.71,1
530,Surat,SRH vs RR,1691.71,5
531,Mumbai,DC vs SRH,2622.76,4
532,Delhi,PBKS vs DC,3142.7,7
533,Mumbai,CSK vs CSK,316.79,3
534,Mumbai,KKR vs DC,2962.26,6
535,Chennai,PBKS vs KKR,1028.13,4
536,Pune,DC vs RR,2895.37,4
537,Pune,PBKS vs DC,3949.27,6
538,Pune,DC vs CSK,1722.26,6
539,Ahmedabad,RR vs DC,2837.44,4
540,Ahmedabad,RR vs SRH,4828.14,2
541,Delhi,RR vs RCB,2336.31,6
542,Mumbai,PBKS vs CSK,2628.42,3
543,Chennai,CSK vs CSK,3203.8,4
544,Mumbai,CSK vs DC,4565.45,6
545,Delhi,CSK vs RR,647.6,2
546,Mumbai,RCB vs MI,3544.07,4
547,Ahmedabad,RR vs CSK,1659.94,2
548,Bangalore,DC vs RR,546.43,2
549,Hyderabad,DC vs MI,3276.26,6
550,Mumbai,SRH vs SRH,890.24,6
551,Kolkata,RR vs CSK,1519.37,6
552,Ahmedabad,KKR vs RCB,3570.69,1
553,Hyderabad,PBKS vs KKR,1732.05,5
554,Hyderabad,CSK vs RR,1019.55,3
555,Surat,RR vs CSK,752.34,3
556,Pune,SRH vs KKR,2101.4,1
557,Kolkata,DC vs MI,4966.27,1
558,Pune,SRH vs MI,412.02,4
559,Surat,RCB vs SRH,3019.08,7
560,Surat,SRH vs RR,4978.4,2
561,Surat,RR vs MI,1753.12,2
562,Delhi,RCB vs RCB,972.43,1
563,Mumbai,DC vs CSK,1925.83,2
564,Surat,RCB vs MI,2151.68,7
565,Surat,CSK vs KKR,626.13,5
566,Surat,DC vs DC,2815.42,2
567,Hyderabad,PBKS vs RR,2795.76,5
568,Hyderabad,RCB vs RR,940.96,7
569,Ahmedabad,SRH vs RR,4629.81,5
570,Ahmedabad,CSK vs MI,1851.65,1
571,Hyderabad,RCB vs RCB,1907.12,6
572,Hyderabad,MI vs CSK,2000.21,5
573,Chennai,SRH vs PBKS,3691.07,7
574,Mumbai,DC vs PBKS,3467.31,4
575,Ahmedabad,PBKS vs DC,2837.69,5
576,Ahmedabad,SRH vs KKR,748.4,6
577,Mumbai,CSK vs RR,3111.83,2
578,Bangalore,DC vs CSK,3803.7,5
579,Hyderabad,SRH vs PBKS,1588.67,2
580,Bangalore,SRH vs MI,4472.25,4
581,Kolkata,KKR vs DC,4877.91,3
582,Hyderabad,MI vs MI,3296.15,2
583,Bangalore,KKR vs SRH,1198.42,6
584,Mumbai,KKR vs RCB,4790.27,4
585,Mumbai,SRH vs SRH,3088.22,1
586,Mumbai,RR vs CSK,409.7,3
587,Ahmedabad,MI vs PBKS,787.18,5
588,Bangalore,DC vs RCB,4730.87,2
589,Kolkata,RCB vs DC,3313.23,6
590,Surat,KKR vs RR,1251.69,1
591,Pune,CSK vs DC,2551.31,5
592,Bangalore,MI vs DC,4114.56,5
593,Pune,MI vs PBKS,4312.87,7
594,Ahmedabad,CSK vs RR,3229.96,3
595,Ahmedabad,DC vs DC,2009.53,7
596,Kolkata,DC vs SRH,4273.91,4
597,Hyderabad,CSK vs DC,2319.56,3
598,Kolkata,MI vs RR,3125.39,3
599,Surat,RCB vs PBKS,4586.34,6
600,Pune,RR vs CSK,394.91,3
601,Kolkata,DC vs CSK,3780.98,1
602,Mumbai,KKR vs DC,3326.68,5
603,Bangalore,DC vs CSK,2741.44,7
604,Pune,DC vs SRH,4777.54,7
605,Kolkata,RR vs KKR,4008.12,4
606,Delhi,RR vs RCB,1047.33,6
