date,product,city,amount
2024-12-21,Headphones,Delhi,47714.71
2025-06-10,Headphones,Ahmedabad,18558.95
2024-09-05,Laptop,Mumbai,20956.46
2024-06-27,Tablet,Surat,20075.0
2024-03-28,Laptop,Ahmedabad,41850.13
2025-05-07,Tablet,Delhi,22936.18
2024-05-22,Tablet,Surat,19075.23
2025-05-29,Laptop,Surat,31282.5
2024-07-29,Laptop,Surat,24781.38
2024-05-10,Tablet,Surat,26904.46
2024-03-28,Phone,Surat,20647.15
2025-11-01,Headphones,Delhi,23295.45
2025-03-14,Laptop,Mumbai,2280.78
2026-01-30,Headphones,Bangalore,46326.22
2025-07-18,Phone,Mumbai,2013.35
2025-09-21,Phone,Bangalore,38754.21
2025-07-28,Phone,Ahmedabad,15264.3
2026-02-13,Laptop,Surat,6056.59
2025-10-13,Phone,Ahmedabad,30679.86
2024-07-12,Laptop,Ahmedabad,35494.11
2025-09-02,Phone,Bangalore,31694.98
2025-11-21,Headphones,Delhi,29016.15
2025-08-14,Headphones,Surat,27041.23
2025-10-06,Tablet,Ahmedabad,27282.41
2026-01-29,Headphones,Mumbai,43338.34
2026-03-04,Tablet,Surat,4962.61
2024-12-25,Headphones,Delhi,8289.75
2024-11-06,Laptop,Surat,40726.22
2026-02-15,Headphones,Ahmedabad,15500.48
2024-10-08,Tablet,Mumbai,38692.23
2024-11-03,Tablet,Ahmedabad,17958.45
2024-07-14,Phone,Delhi,46307.8
2024-11-07,Laptop,Bangalore,14426.02
2024-12-17,Headphones,Mumbai,21631.37
2025-04-02,Phone,Delhi,8362.65
2024-07-07,Headphones,Delhi,33500.88
2024-07-26,Headphones,Ahmedabad,20442.61
2024-08-02,Phone,Ahmedabad,47089.61
2024-04-06,Phone,Ahmedabad,1279.53
2025-11-27,Phone,Bangalore,19688.74
2024-11-26,Phone,Surat,1669.67
2025-08-08,Phone,Surat,16787.56
2025-06-09,Headphones,Ahmedabad,19322.14
2024-10-15,Phone,Ahmedabad,13277.75
2024-05-15,Laptop,Bangalore,13148.79
2025-11-17,Tablet,Surat,13372.95
2025-08-19,Phone,Bangalore,13679.7
2024-08-12,Phone,Delhi,14473.17
2025-01-03,Headphones,Surat,42639.25
2024-12-23,Phone,Ahmedabad,2433.18
2025-01-18,Phone,Mumbai,49451.03
2025-04-14,Phone,Delhi,14435.4
2025-12-28,Headphones,Mumbai,1883.33
2025-04-14,Phone,Bangalore,9170.38
2025-05-12,Tablet,Bangalore,47122.38
2024-09-23,Headphones,Bangalore,49877.41
2024-08-30,Tablet,Ahmedabad,12714.28
2026-02-24,Headphones,Bangalore,11659.74
2025-02-28,Phone,Mumbai,41886.47
2024-08-14,Tablet,Delhi,45753.49
2024-07-23,Headphones,Ahmedabad,32692.88
2024-07-06,Laptop,Delhi,46823.11
2025-06-02,Phone,Bangalore,47525.62
2025-01-28,Headphones,Surat,38104.57
2025-10-14,Laptop,Ahmedabad,17761.06
2025-10-06,Headphones,Bangalore,7898.25
2024-06-06,Laptop,Ahmedabad,26124.79
2025-05-22,Phone,Surat,14835.7
2024-10-25,Tablet,Mumbai,6365.84
2024-03-23,Laptop,Mumbai,20002.82
2024-09-29,Headphones,Mumbai,24248.4
2026-01-06,Phone,Surat,33268.31
2025-01-06,Laptop,Delhi,11446.4
2025-07-27,Headphones,Surat,43490.44
2025-08-05,Headphones,Surat,9679.37
2026-01-28,Headphones,Bangalore,49862.87
2025-01-15,Laptop,Mumbai,28065.52
2024-10-13,Laptop,Ahmedabad,7768.7
2024-12-17,Laptop,Delhi,41802.49
2024-04-02,Tablet,Ahmedabad,13059.69
2024-07-19,Laptop,Bangalore,9821.49
2024-10-26,Laptop,Bangalore,7172.24
2024-05-02,Laptop,Delhi,27769.29
2024-04-11,Tablet,Ahmedabad,44026.66
2026-01-15,Laptop,Delhi,44906.95
2024-07-28,Headphones,Delhi,39388.12
2025-03-02,Laptop,Mumbai,29281.64
2024-08-03,Headphones,Ahmedabad,26729.24
2024-04-25,Headphones,Mumbai,19001.7
2025-08-15,Headphones,Mumbai,2681.29
2025-12-23,Tablet,Mumbai,41911.15
2025-10-15,Tablet,Surat,49973.88
2024-07-21,Tablet,Bangalore,46081.93
2025-09-19,Laptop,Bangalore,46685.41
2026-02-09,Headphones,Surat,16994.54
2025-11-11,Tablet,Delhi,5415.64
2025-02-19,Tablet,Ahmedabad,43643.37
2025-02-14,Laptop,Ahmedabad,38308.59
2026-02-10,Tablet,Ahmedabad,19823.52
2024-11-05,Laptop,Mumbai,41762.09
2024-05-14,Phone,Ahmedabad,7367.42
2024-06-28,Tablet,Ahmedabad,32728.67
2025-03-26,Phone,Ahmedabad,47692.5
2025-12-15,Laptop,Bangalore,45565.71
2024-07-22,Headphones,Surat,38162.06
2026-01-25,Tablet,Delhi,13695.85
2025-01-10,Laptop,Surat,5576.9
2025-08-11,Headphones,Ahmedabad,16574.44
2025-09-12,Headphones,Delhi,31059.0
2025-12-19,Phone,Delhi,16167.04
2024-09-14,Laptop,Surat,20949.16
2025-10-06,Headphones,Surat,20478.51
2025-08-07,Tablet,Surat,17123.42
2025-01-02,Tablet,Surat,46210.85
2024-09-20,Phone,Mumbai,16337.65
2024-08-25,Headphones,Bangalore,49679.6
2024-12-19,Laptop,Bangalore,10862.04
2025-10-20,Tablet,Ahmedabad,43694.94
2024-11-10,Headphones,Mumbai,36750.69
2025-08-26,Headphones,Delhi,33605.85
2024-05-05,Phone,Surat,22544.74
2024-12-25,Tablet,Ahmedabad,40921.06
2025-09-16,Tablet,Delhi,24864.84
2025-10-08,Laptop,Bangalore,7209.25
2025-05-02,Tablet,Delhi,14384.62
2024-07-14,Laptop,Surat,9530.26
2026-01-24,Tablet,Surat,28695.86
2024-03-20,Phone,Bangalore,32942.57
2024-12-17,Tablet,Surat,17128.77
2025-11-10,Laptop,Mumbai,2456.03
2025-05-17,Laptop,Ahmedabad,33107.51
2024-12-17,Phone,Bangalore,3567.01
2025-12-27,Tablet,Bangalore,48300.84
2024-05-02,Tablet,Delhi,44420.25
2025-11-14,Phone,Bangalore,41628.64
2024-04-12,Tablet,Ahmedabad,18693.38
2024-10-05,Tablet,Mumbai,37377.15
2026-01-22,Laptop,Delhi,2769.71
2024-11-04,Tablet,Ahmedabad,4936.92
2024-11-08,Tablet,Bangalore,24980.03
2026-01-13,Phone,Surat,29544.89
2024-10-11,Phone,Surat,38464.06
2025-01-21,Headphones,Ahmedabad,15236.86
2026-01-22,Laptop,Mumbai,27358.95
2024-08-17,Tablet,Surat,3595.86
2024-05-03,Tablet,Ahmedabad,23807.95
2024-12-30,Headphones,Delhi,33727.39
2026-03-12,Tablet,Bangalore,49487.26
2024-12-13,Laptop,Mumbai,38514.04
2025-10-31,Headphones,Mumbai,49776.35
2026-01-18,Laptop,Delhi,25146.82
2025-03-23,Headphones,Mumbai,21931.14
2024-08-13,Headphones,Ahmedabad,41793.21
2025-10-02,Phone,Mumbai,23388.06
2024-03-17,Laptop,Mumbai,37928.84
2024-10-26,Tablet,Mumbai,49727.9
2025-11-27,Tablet,Ahmedabad,36367.5
2024-06-12,Laptop,Bangalore,1207.99
2024-06-04,Tablet,Surat,9424.03
2025-05-07,Tablet,Mumbai,14175.27
2025-01-19,Laptop,Delhi,41195.71
2025-03-10,Headphones,Delhi,46640.6
2025-11-23,Laptop,Ahmedabad,32660.03
2025-06-09,Headphones,Bangalore,4857.84
2026-02-11,Tablet,Mumbai,25226.46
2025-10-30,Tablet,Ahmedabad,43022.6
2025-07-19,Tablet,Surat,18428.19
2024-08-24,Phone,Bangalore,3731.05
2025-03-11,Headphones,Bangalore,39089.24
2026-01-14,Phone,Ahmedabad,33027.42
2024-05-14,Phone,Delhi,23615.08
2025-07-15,Laptop,Bangalore,42565.4
2025-07-28,Phone,Delhi,42560.76
2024-05-19,Laptop,Bangalore,35197.49
2024-05-28,Laptop,Bangalore,47144.76
2025-05-15,Phone,Bangalore,22970.23
2025-09-02,Headphones,Surat,36581.98
2024-08-12,Headphones,Delhi,41618.75
2024-11-22,Headphones,Surat,31961.92
2024-09-27,Headphones,Delhi,27878.96
2025-04-26,Headphones,Surat,36733.91
2025-03-14,Phone,Surat,18048.01
2026-01-02,Phone,Surat,18638.3
2024-05-01,Tablet,Ahmedabad,48842.36
2024-07-19,Headphones,Surat,6382.47
2024-09-21,Phone,Bangalore,42178.86
2025-10-07,Tablet,Mumbai,39542.92
2024-12-23,Headphones,Surat,3180.93
2024-07-03,Laptop,Mumbai,35323.37
2025-06-08,Tablet,Mumbai,5147.23
2024-06-23,Phone,Bangalore,10919.82
2025-08-08,Laptop,Mumbai,47931.6
2024-05-01,Laptop,Mumbai,18426.45
2026-01-15,Laptop,Mumbai,3311.69
2025-01-06,Tablet,Delhi,26299.31
2025-10-28,Phone,Surat,10717.46
2024-12-29,Laptop,Surat,21603.3
2024-06-27,Headphones,Mumbai,5532.07
2024-07-01,Laptop,Bangalore,5250.46
2025-03-23,Laptop,Delhi,25455.08
2025-06-27,Tablet,Bangalore,17125.93
2025-12-07,Tablet,Bangalore,8185.88
2024-05-10,Phone,Mumbai,29228.37
2026-01-01,Headphones,Ahmedabad,3578.51
2026-02-06,Tablet,Mumbai,37760.57
2024-04-18,Laptop,Ahmedabad,3041.24
2024-04-14,Phone,Delhi,48533.37
2025-12-26,Laptop,Ahmedabad,36913.42
2024-05-08,Laptop,Mumbai,44912.03
2025-07-10,Tablet,Mumbai,22277.48
2024-08-23,Phone,Bangalore,3375.01
2025-02-11,Headphones,Mumbai,11857.29
2024-06-14,Headphones,Mumbai,48569.2
2025-03-30,Tablet,Surat,31135.13
2025-05-26,Tablet,Surat,11779.65
2025-07-04,Phone,Bangalore,24399.47
2024-09-30,Headphones,Ahmedabad,16213.35
2026-01-12,Headphones,Ahmedabad,24741.03
2025-09-12,Headphones,Surat,41912.9
2025-08-11,Laptop,Delhi,11516.5
2025-11-16,Headphones,Surat,20254.86
2026-01-29,Laptop,Delhi,22581.45
2025-05-04,Phone,Ahmedabad,29559.14
2025-10-20,Laptop,Surat,4347.56
2026-03-03,Phone,Mumbai,10747.07
2024-05-20,Headphones,Delhi,20192.72
2024-10-19,Headphones,Delhi,40562.37
2024-11-30,Phone,Delhi,9748.68
2025-11-10,Tablet,Ahmedabad,44135.43
2024-11-21,Phone,Bangalore,17288.62
2024-09-06,Tablet,Mumbai,13065.05
2025-12-21,Laptop,Surat,20764.42
2024-07-05,Laptop,Delhi,27908.53
2026-01-13,Laptop,Ahmedabad,36831.72
2024-07-03,Headphones,Delhi,24108.63
2025-08-30,Laptop,Surat,40991.15
2024-11-14,Tablet,Mumbai,41027.77
2024-03-16,Laptop,Delhi,586.13
2025-05-21,Phone,Ahmedabad,39683.36
2024-10-31,Phone,Ahmedabad,22416.3
2025-03-26,Headphones,Bangalore,48370.82
2025-04-20,Phone,Ahmedabad,41101.21
2024-09-12,Tablet,Bangalore,19508.35
2024-05-17,Laptop,Mumbai,31914.33
2026-02-10,Headphones,Surat,10115.07
2025-05-01,Laptop,Bangalore,14872.3
2025-09-06,Laptop,Delhi,10504.22
2024-08-21,Tablet,Delhi,37682.24
2024-07-22,Phone,Surat,906.69
2025-08-30,Phone,Ahmedabad,20660.02
2025-10-19,Laptop,Delhi,41959.52
2024-10-03,Headphones,Bangalore,35599.46
2024-08-01,Phone,Surat,21376.84
2026-02-06,Headphones,Delhi,31835.65
2025-07-14,Phone,Ahmedabad,21874.0
2025-12-30,Headphones,Ahmedabad,42278.37
2025-06-21,Tablet,Delhi,28843.78
2024-04-22,Headphones,Surat,31814.6
2025-07-04,Tablet,Mumbai,49436.75
2025-05-29,Tablet,Delhi,38620.31
2024-08-17,Headphones,Ahmedabad,14654.99
2024-05-09,Tablet,Mumbai,38762.22
2026-02-16,Laptop,Surat,46460.09
2026-02-05,Tablet,Ahmedabad,15106.28
2025-11-28,Phone,Surat,40956.32
2024-07-18,Headphones,Delhi,12272.16
2025-06-22,Laptop,Surat,21984.65
2025-12-22,Headphones,Ahmedabad,34663.56
2024-11-19,Phone,Delhi,12554.61
2025-12-10,Phone,Ahmedabad,9771.12
2024-04-09,Phone,Ahmedabad,23395.91
2024-09-25,Tablet,Mumbai,39268.48
2024-05-01,Tablet,Bangalore,29995.23
2025-07-01,Headphones,Surat,35210.12
2026-01-14,Headphones,Surat,34619.22
2025-03-19,Laptop,Mumbai,27452.7
2026-03-14,Laptop,Surat,16122.7
2024-04-28,Headphones,Mumbai,21374.71
2025-11-26,Tablet,Surat,19340.71
2024-07-14,Phone,Surat,4413.95
2024-08-28,Headphones,Ahmedabad,44973.88
2025-09-02,Laptop,Mumbai,32271.82
2024-08-28,Tablet,Surat,42930.86
2024-07-27,Headphones,Bangalore,38914.99
2025-07-24,Headphones,Mumbai,3880.62
2024-10-13,Tablet,Mumbai,11207.2
2026-01-31,Headphones,Mumbai,47561.36
2025-03-27,Tablet,Ahmedabad,23365.56
2024-05-16,Phone,Mumbai,40691.04
2025-10-16,Tablet,Ahmedabad,28986.1
2024-07-20,Tablet,Bangalore,41266.31
2025-02-08,Tablet,Delhi,36863.11
2024-09-02,Headphones,Ahmedabad,14346.71
2024-06-29,Headphones,Surat,49565.12
2025-08-05,Tablet,Mumbai,24780.79
2025-12-27,Headphones,Delhi,29457.21
2025-04-12,Laptop,Ahmedabad,27251.53
2025-02-18,Laptop,Surat,44316.51
2025-07-13,Headphones,Delhi,14354.55
2025-03-10,Headphones,Bangalore,3554.77
2024-08-08,Tablet,Ahmedabad,21690.59
2025-02-06,Phone,Ahmedabad,45956.78
2024-08-20,Headphones,Bangalore,22245.96
2024-06-22,Laptop,Ahmedabad,14239.29
2024-09-09,Tablet,Mumbai,31115.55
2025-10-30,Headphones,Ahmedabad,37008.61
2024-05-14,Laptop,Mumbai,23406.46
2024-03-30,Laptop,Ahmedabad,19311.37
2026-01-13,Phone,Surat,18542.97
2026-03-13,Tablet,Surat,21354.97
2025-10-07,Tablet,Delhi,42212.24
2024-07-12,Phone,Surat,24386.74
2024-03-25,Phone,Bangalore,16060.62
2025-09-30,Tablet,Delhi,9524.59
2024-07-08,Tablet,Surat,14489.5
2025-04-23,Headphones,Mumbai,23405.13
2025-08-24,Headphones,Ahmedabad,27616.79
2025-11-15,Phone,Surat,31263.72
2025-10-13,Headphones,Mumbai,4033.28
2025-07-18,Laptop,Delhi,30851.96
2024-12-16,Headphones,Ahmedabad,17923.66
2025-04-22,Headphones,Surat,13220.0
2025-05-30,Laptop,Delhi,16887.46
2025-11-10,Phone,Surat,39331.04
2024-08-03,Laptop,Delhi,40262.76
2025-04-29,Headphones,Surat,5636.02
2024-11-15,Phone,Mumbai,24986.35
2024-04-15,Headphones,Bangalore,26710.17
2025-10-10,Laptop,Mumbai,1995.61
2024-05-20,Laptop,Ahmedabad,35994.63
2025-02-04,Headphones,Surat,18656.3
2024-08-08,Tablet,Bangalore,21190.89
2025-05-25,Tablet,Bangalore,30691.45
2025-12-21,Laptop,Ahmedabad,23712.55
2024-10-13,Laptop,Ahmedabad,37523.52
2024-09-08,Tablet,Bangalore,29995.0
2025-10-05,Tablet,Ahmedabad,11688.73
2024-07-02,Headphones,Ahmedabad,43589.15
2025-05-18,Headphones,Surat,11181.74
2025-03-10,Tablet,Mumbai,35819.87
2024-11-06,Headphones,Delhi,39714.36
2024-06-16,Headphones,Bangalore,34569.97
2025-11-26,Phone,Delhi,21379.32
2025-12-27,Headphones,Bangalore,43958.67
2026-01-15,Laptop,Bangalore,16721.14
2025-07-27,Headphones,Mumbai,34510.28
2025-10-18,Headphones,Bangalore,43944.32
2025-04-04,Tablet,Bangalore,8193.68
2025-11-29,Laptop,Mumbai,32805.44
2025-09-02,Headphones,Ahmedabad,45097.48
2026-02-03,Headphones,Delhi,5602.52
2025-02-05,Phone,Bangalore,7714.79
2025-10-18,Headphones,Mumbai,19223.65
2025-11-29,Headphones,Bangalore,49718.38
2026-03-11,Phone,Mumbai,11584.82
2025-04-16,Tablet,Delhi,16573.65
2024-10-12,Headphones,Surat,41837.29
2025-11-09,Phone,Ahmedabad,6971.8
2025-09-14,Laptop,Surat,49812.22
2024-05-08,Tablet,Mumbai,37073.65
2025-08-28,Laptop,Bangalore,47978.93
2025-06-08,Laptop,Ahmedabad,7647.7
2024-11-28,Phone,Delhi,12005.65
2024-09-04,Headphones,Ahmedabad,18853.35
2025-01-21,Phone,Bangalore,3025.06
2024-04-18,Phone,Surat,3504.24
2025-04-23,Phone,Mumbai,45239.16
2025-10-01,Phone,Surat,2616.04
2025-02-09,Tablet,Ahmedabad,37623.01
2024-07-13,Headphones,Bangalore,36023.3
2026-02-27,Laptop,Mumbai,4104.32
2024-06-24,Laptop,Bangalore,9787.97
2025-08-15,Headphones,Bangalore,23013.46
2024-07-05,Laptop,Ahmedabad,32262.03
2024-12-06,Headphones,Surat,44843.43
2025-08-30,Laptop,Bangalore,26578.18
2024-05-20,Phone,Bangalore,46850.16
2025-09-30,Laptop,Bangalore,9917.65
2025-07-10,Headphones,Mumbai,31327.61
2025-07-15,Headphones,Bangalore,42309.7
2024-10-27,Headphones,Bangalore,12049.57
2024-04-12,Headphones,Ahmedabad,39532.99
2025-06-07,Headphones,Bangalore,20314.32
2026-02-10,Tablet,Bangalore,49981.4
2024-07-04,Tablet,Ahmedabad,5031.8
2024-12-29,Laptop,Mumbai,27886.98
2024-11-21,Headphones,Surat,39260.23
2025-11-15,Laptop,Ahmedabad,33971.73
2025-10-25,Headphones,Mumbai,25526.45
2025-11-06,Headphones,Surat,25898.89
2024-10-09,Tablet,Bangalore,20568.76
2025-07-26,Tablet,Ahmedabad,17443.87
2024-10-18,Phone,Bangalore,29886.49
2025-12-15,Tablet,Ahmedabad,37544.19
2025-09-29,Phone,Surat,14323.89
2025-10-07,Phone,Mumbai,47357.64
2024-04-02,Phone,Ahmedabad,18558.51
2024-12-23,Phone,Mumbai,21981.75
2024-03-27,Phone,Bangalore,20851.43
2024-04-04,Laptop,Bangalore,6011.32
2025-10-12,Tablet,Surat,6237.6
2025-08-04,Phone,Surat,39865.91
2025-05-27,Headphones,Delhi,19375.5
2025-01-26,Tablet,Delhi,11191.39
2024-09-20,Tablet,Surat,35531.17
2025-02-01,Phone,Bangalore,48007.17
2024-05-26,Laptop,Mumbai,46871.72
2025-01-23,Phone,Surat,36308.65
2024-06-17,Laptop,Mumbai,9985.31
2025-09-26,Headphones,Delhi,8127.59
2025-08-22,Tablet,Mumbai,43614.82
2025-08-31,Headphones,Surat,48159.31
2026-02-22,Laptop,Bangalore,31304.78
2025-03-18,Laptop,Surat,45112.1
2025-10-07,Headphones,Ahmedabad,40837.05
2024-05-08,Laptop,Ahmedabad,8123.63
2025-02-25,Headphones,Ahmedabad,11537.0
2025-11-22,Tablet,Bangalore,3854.08
2025-09-06,Headphones,Surat,23965.82
2025-04-13,Tablet,Ahmedabad,16535.44
2026-01-17,Headphones,Surat,21589.28
2025-07-12,Laptop,Delhi,928.87
2024-10-13,Headphones,Ahmedabad,36201.58
2024-11-07,Laptop,Ahmedabad,10428.3
2025-01-03,Headphones,Bangalore,18729.16
2024-07-21,Headphones,Surat,20417.6
2025-03-09,Phone,Bangalore,3779.1
2024-11-19,Laptop,Bangalore,18592.98
2025-08-19,Phone,Surat,45042.42
2024-03-25,Laptop,Delhi,44713.57
2024-07-27,Phone,Surat,1717.2
2024-09-23,Tablet,Delhi,1974.59
2025-03-01,Headphones,Bangalore,29901.3
2025-09-28,Laptop,Delhi,10638.74
2024-07-25,Laptop,Delhi,44976.31
2025-12-30,Headphones,Delhi,24401.28
2024-04-27,Laptop,Ahmedabad,16626.75
2024-09-26,Laptop,Ahmedabad,47687.21
2025-07-09,Phone,Bangalore,16237.44
2025-03-12,Laptop,Surat,16381.01
2024-06-15,Tablet,Delhi,7088.31
2025-03-17,Tablet,Ahmedabad,11501.48
2025-06-09,Headphones,Surat,38144.29
2025-12-16,Laptop,Delhi,38107.42
2025-11-29,Headphones,Surat,19636.64
2025-07-31,Tablet,Mumbai,17794.07
2025-04-05,Laptop,Delhi,21210.53
2024-07-21,Laptop,Surat,15391.43
2025-12-08,Headphones,Delhi,30585.82
2024-10-17,Tablet,Delhi,41910.83
2025-10-06,Laptop,Mumbai,963.99
2026-03-14,Headphones,Surat,46832.35
2024-08-31,Tablet,Bangalore,6338.69
2024-12-24,Headphones,Ahmedabad,45035.45
2024-07-17,Phone,Delhi,12061.09
2024-06-19,Laptop,Delhi,45893.11
2025-11-05,Phone,Delhi,39472.89
2025-02-26,Tablet,Delhi,13823.88
2025-01-08,Phone,Ahmedabad,1899.68
2025-11-22,Phone,Bangalore,35934.24
2025-12-17,Tablet,Mumbai,41177.26
2024-11-20,Headphones,Bangalore,34148.32
2026-03-14,Phone,Ahmedabad,19392.48
2024-06-25,Headphones,Surat,6805.91
2026-01-13,Phone,Mumbai,17678.91
2025-05-25,Headphones,Mumbai,13794.91
2026-01-02,Tablet,Surat,36292.94
2024-10-27,Phone,Delhi,8388.37
2026-01-10,Tablet,Ahmedabad,41067.36
2025-04-17,Phone,Surat,30791.15
2025-08-29,Tablet,Bangalore,24387.15
2025-03-30,Tablet,Bangalore,18331.49
2025-06-15,Phone,Surat,25620.94
2024-09-24,Phone,Ahmedabad,27237.37
2024-06-27,Phone,Mumbai,12230.75
2025-11-13,Laptop,Mumbai,49443.35
2025-04-16,Headphones,Delhi,45522.61
2025-04-28,Laptop,Ahmedabad,19844.5
2024-06-11,Laptop,Bangalore,13074.07
2024-05-23,Tablet,Bangalore,15698.75
2025-06-29,Phone,Delhi,49018.31
2025-02-13,Headphones,Bangalore,20649.7
2026-01-04,Tablet,Delhi,45640.54
2024-07-18,Laptop,Delhi,3421.67
2025-11-10,Phone,Surat,38951.42
2024-10-06,Tablet,Mumbai,38225.23
2025-12-21,Phone,Ahmedabad,32723.84
2024-06-23,Tablet,Ahmedabad,6495.35
2025-08-23,Phone,Mumbai,49079.26
2024-05-08,Laptop,Ahmedabad,11032.59
2024-10-27,Headphones,Bangalore,35630.75
2025-02-03,Laptop,Bangalore,37698.07
2026-02-28,Headphones,Ahmedabad,38115.99
2024-10-11,Phone,Surat,41387.25
2024-03-28,Tablet,Ahmedabad,49461.64
2024-03-19,Laptop,Delhi,5251.51
2025-01-08,Headphones,Delhi,23873.36
2025-01-21,Laptop,Mumbai,48754.61
2024-12-07,Headphones,Bangalore,44163.22
2025-10-19,Laptop,Surat,49535.71
2026-02-08,Headphones,Ahmedabad,29330.51
2025-06-21,Headphones,Delhi,33806.04
2025-09-30,Phone,Bangalore,13558.27
2025-08-07,Headphones,Bangalore,23187.34
2025-04-01,Phone,Surat,1536.97
2025-01-01,Headphones,Surat,36126.18
2024-12-24,Tablet,Surat,46330.93
2025-08-19,Tablet,Surat,6051.39
2024-05-14,Tablet,Delhi,22991.71
2025-12-09,Headphones,Surat,31346.78
2025-06-20,Phone,Bangalore,31792.82
2025-08-31,Phone,Bangalore,15673.32
2025-07-28,Headphones,Ahmedabad,1479.34
2025-06-23,Tablet,Bangalore,44446.85
2025-06-21,Tablet,Bangalore,5042.96
2025-08-27,Phone,Delhi,9295.15
2024-07-10,Tablet,Bangalore,48157.97
2026-03-12,Laptop,Mumbai,25268.48
2024-06-29,Phone,Bangalore,43764.83
2024-12-14,Tablet,Ahmedabad,44898.8
2025-03-23,Phone,Ahmedabad,49477.44
2024-10-20,Laptop,Surat,2514.72
2025-02-23,Phone,Delhi,3123.51
2024-07-22,Phone,Ahmedabad,9940.74
2025-11-07,Phone,Mumbai,32991.72
2024-07-03,Phone,Mumbai,13467.31
2026-01-26,Laptop,Surat,25033.44
2024-05-23,Headphones,Delhi,39424.69
2024-10-29,Phone,Delhi,9696.69
2024-10-06,Phone,Bangalore,14651.29
2025-05-23,Tablet,Mumbai,36512.52
2024-04-12,Phone,Mumbai,880.45
2025-04-25,Tablet,Mumbai,37990.33
2025-07-13,Headphones,Mumbai,33975.77
2024-06-30,Laptop,Ahmedabad,6914.51
2025-10-06,Laptop,Delhi,12570.98
2025-02-19,Headphones,Bangalore,1262.51
2024-08-27,Laptop,Ahmedabad,29279.96
2024-04-25,Headphones,Delhi,20156.12
2024-05-29,Headphones,Surat,21459.94
2025-10-13,Headphones,Mumbai,5607.65
2025-03-12,Laptop,Bangalore,17939.31
2024-10-25,Tablet,Delhi,45990.41
2025-12-22,Headphones,Surat,3704.45
2026-01-14,Phone,Mumbai,48760.43
2025-06-21,Laptop,Surat,42476.48
2025-01-03,Headphones,Surat,10548.0
2025-08-04,Headphones,Ahmedabad,35418.38
2024-09-29,Phone,Surat,5001.85
2024-04-03,Tablet,Ahmedabad,8403.45
2025-02-14,Tablet,Ahmedabad,24654.08
2024-07-19,Tablet,Surat,20322.58
2025-12-25,Headphones,Delhi,40843.92
2024-12-19,Headphones,Surat,46993.12
2025-04-03,Headphones,Surat,47169.36
2025-02-25,Laptop,Delhi,7776.64
2025-07-27,Phone,Mumbai,34468.29
2025-08-14,Headphones,Bangalore,28753.95
2025-05-19,Phone,Mumbai,18826.4
2024-08-12,Phone,Surat,49744.01
2025-01-14,Tablet,Mumbai,23074.23
2024-06-09,Laptop,Bangalore,33433.9
2025-01-12,Headphones,Mumbai,25390.66
2026-02-19,Tablet,Bangalore,5593.74
